recipe_id,ingredient_id,ingredient_index,qty_value,unit,portion_factor,ingredient_line_raw,parse_status,review_reason,std_unit,actual_measure,standard_unit,measure_only
1,525,16,,,1.0,"Salt and black pepper, to taste",review,mixed_seasoning;contains_conjunction,"Salt and black pepper, to taste",,"Salt and black pepper, to taste",
1,501,17,,,1.0,¼ tsp crushed red pepper flakes,ok,,¼ teaspoon crushed red pepper flakes,,¼ teaspoon crushed red pepper flakes,¼ teaspoon
1,504,18,,,1.0,1 tbsp (15 ml) red wine vinegar,ok,,1 tablespoon (15 ml) red wine vinegar,15 ml,1 tablespoon red wine vinegar,1 tablespoon
1,616,19,,,1.0,"Vegetable oil, as needed",ok,,"Vegetable oil, as needed",,"Vegetable oil, as needed",
1,399,20,,,1.0,"2 large onions, thinly sliced",ok,,"2 large onions, thinly sliced",,"2 large onions, thinly sliced",2 large
1,150,21,,,1.0,"1 (15-oz [420-g]) can chickpeas, drained and rinsed",review,contains_conjunction,"1 (15-oz [420-g]) can chickpeas, drained and rinsed",15-oz [420-g],"1 can chickpeas, drained and rinsed",1 can
2,514,1,,,1.0,"5 medium Roma tomatoes, roughly chopped",ok,,"5 medium Roma tomatoes, roughly chopped",,"5 medium Roma tomatoes, roughly chopped",5 medium
2,489,2,,,1.0,"1 large red bell pepper, roughly chopped",ok,,"1 large red bell pepper, roughly chopped",,"1 large red bell pepper, roughly chopped",1 large
2,533,3,,,1.0,2 small Scotch bonnet chiles or habanero chiles,review,long_base_phrase;contains_conjunction,2 small Scotch bonnet chiles or habanero chiles,,2 small Scotch bonnet chiles or habanero chiles,2 small
2,277,4,,,1.0,¼ cup (60 ml) groundnut oil or vegetable oil,review,contains_conjunction,¼ cup (60 ml) groundnut oil or vegetable oil,60 ml,¼ cup groundnut oil or vegetable oil,¼ cup
2,399,5,,,1.0,"1 medium onion, roughly chopped",ok,,"1 medium onion, roughly chopped",,"1 medium onion, roughly chopped",1 medium
2,598,6,,,1.0,3 tbsp (48 g) tomato paste,ok,,3 tablespoon (48 g) tomato paste,48 g,3 tablespoon tomato paste,3 tablespoon
2,134,7,,,1.0,2½ cups (600 ml) chicken stock,ok,,2½ cups (600 ml) chicken stock,600 ml,2½ cups chicken stock,
2,522,8,,,1.0,1 tsp salt,ok,,1 teaspoon salt,,1 teaspoon salt,1 teaspoon
2,202,9,,,1.0,½ tsp curry powder,ok,,½ teaspoon curry powder,,½ teaspoon curry powder,½ teaspoon
2,591,10,,,1.0,½ tsp dried thyme,ok,,½ teaspoon dried thyme,,½ teaspoon dried thyme,½ teaspoon
2,15,11,,,1.0,1 tsp all-purpose seasoning,ok,,1 teaspoon all-purpose seasoning,,1 teaspoon all-purpose seasoning,1 teaspoon
2,44,12,,,1.0,"1 beef, chicken or vegetable bouillon cube",review,contains_conjunction,"1 beef, chicken or vegetable bouillon cube",,"1 beef, chicken or vegetable bouillon cube",
2,507,13,,,1.0,"2 cups parboiled rice, rinsed",ok,,"2 cups parboiled rice, rinsed",,"2 cups parboiled rice, rinsed",2 cups
2,36,14,,,1.0,3 bay leaves,ok,,3 bay leaves,,3 bay leaves,
3,135,1,,,1.0,3 lb (1.4 kg) chicken (any cut),ok,,3 lb (1.4 kg) chicken (any cut),1.4 kg,3 lb chicken,
3,591,2,,,1.0,1 tbsp (3 g) dried thyme,ok,,1 tablespoon (3 g) dried thyme,3 g,1 tablespoon dried thyme,1 tablespoon
3,253,3,,,1.0,1 tsp garlic powder,ok,,1 teaspoon garlic powder,,1 teaspoon garlic powder,1 teaspoon
3,133,4,,,1.0,1 chicken bouillon cube,ok,,1 chicken bouillon cube,,1 chicken bouillon cube,
3,526,5,,,1.0,"Salt and black pepper, as needed",review,mixed_seasoning;contains_conjunction,"Salt and black pepper, as needed",,"Salt and black pepper, as needed",
3,615,6,,,1.0,"1½ cups (360 ml) vegetable oil, divided",ok,,"1½ cups (360 ml) vegetable oil, divided",360 ml,"1½ cups vegetable oil, divided",
3,514,7,,,1.0,"4 medium Roma tomatoes, roughly chopped",ok,,"4 medium Roma tomatoes, roughly chopped",,"4 medium Roma tomatoes, roughly chopped",4 medium
3,438,8,,,1.0,"1 (28-oz [784-g]) can whole peeled plum tomatoes, drained",ok,,"1 (28-oz [784-g]) can whole peeled plum tomatoes, drained",28-oz [784-g],"1 can whole peeled plum tomatoes, drained",1 can
3,489,9,,,1.0,"1 large red bell pepper, roughly chopped",ok,,"1 large red bell pepper, roughly chopped",,"1 large red bell pepper, roughly chopped",1 large
3,280,10,,,1.0,2 small habanero chiles,ok,,2 small habanero chiles,,2 small habanero chiles,2 small
3,399,11,,,1.0,"1 medium onion, thinly sliced",ok,,"1 medium onion, thinly sliced",,"1 medium onion, thinly sliced",1 medium
3,598,12,,,1.0,2 tbsp (32 g) tomato paste,ok,,2 tablespoon (32 g) tomato paste,32 g,2 tablespoon tomato paste,2 tablespoon
3,134,13,,,1.0,1 cup (240 ml) chicken stock,ok,,1 cup (240 ml) chicken stock,240 ml,1 cup chicken stock,1 cup
3,591,14,,,1.0,1½ tsp (2 g) dried thyme,ok,,1½ teaspoon (2 g) dried thyme,2 g,1½ teaspoon dried thyme,
3,388,15,,,1.0,1 tbsp (8 g) Nigerian red pepper or cayenne pepper,review,long_base_phrase;contains_conjunction,1 tablespoon (8 g) Nigerian red pepper or cayenne pepper,8 g,1 tablespoon Nigerian red pepper or cayenne pepper,1 tablespoon
3,15,16,,,1.0,1 tsp all-purpose seasoning,ok,,1 teaspoon all-purpose seasoning,,1 teaspoon all-purpose seasoning,1 teaspoon
3,35,18,,,1.0,1 bay leaf,ok,,1 bay leaf,,1 bay leaf,
4,140,1,,,1.0,"1½ lb (680 g) chicken breasts, cut into 2-inch (6-cm) pieces",ok,,"1½ lb (680 g) chicken breasts, cut into 2-inch (6-cm) pieces",680 g,"1½ lb chicken breasts, cut into 2-inch pieces",
4,522,2,,,1.0,"1 tbsp (15 g) salt, plus more to taste",ok,,"1 tablespoon (15 g) salt, plus more to taste",15 g,"1 tablespoon salt, plus more to taste",1 tablespoon
4,63,3,,,1.0,"1 tsp black pepper, plus more to taste",ok,,"1 teaspoon black pepper, plus more to taste",,"1 teaspoon black pepper, plus more to taste",1 teaspoon
4,399,4,,,1.0,"1 small onion, thickly sliced",ok,,"1 small onion, thickly sliced",,"1 small onion, thickly sliced",1 small
4,625,5,,,1.0,3 cups (720 ml) water,ok,,3 cups (720 ml) water,720 ml,3 cups water,3 cups
4,615,6,,,1.0,¼ cup (60 ml) vegetable oil,ok,,¼ cup (60 ml) vegetable oil,60 ml,¼ cup vegetable oil,¼ cup
4,597,7,,,1.0,"2 medium tomatoes, roughly chopped",ok,,"2 medium tomatoes, roughly chopped",,"2 medium tomatoes, roughly chopped",2 medium
4,399,8,,,1.0,"1 medium onion, roughly chopped, divided",ok,,"1 medium onion, roughly chopped, divided",,"1 medium onion, roughly chopped, divided",1 medium
4,254,9,,,1.0,"3 to 4 cloves garlic, whole",ok,,"3 to 4 cloves garlic, whole",,"3 to 4 cloves garlic, whole",
4,414,10,,,1.0,2 to 3 tbsp (6 to 9 g) dried parsley,ok,,2 to 3 tablespoon (6 to 9 g) dried parsley,6 to 9 g,2 to 3 tablespoon dried parsley,
4,411,11,,,1.0,1 tsp smoked paprika,ok,,1 teaspoon smoked paprika,,1 teaspoon smoked paprika,1 teaspoon
4,127,12,,,1.0,1 tbsp (8 g) cayenne pepper,ok,,1 tablespoon (8 g) cayenne pepper,8 g,1 tablespoon cayenne pepper,1 tablespoon
4,639,13,,,1.0,½ tsp white pepper,ok,,½ teaspoon white pepper,,½ teaspoon white pepper,½ teaspoon
4,519,14,,,1.0,"¾ lb (340 g) russet potatoes, roughly chopped",ok,,"¾ lb (340 g) russet potatoes, roughly chopped",340 g,"¾ lb russet potatoes, roughly chopped",
4,120,15,,,1.0,"¼ lb (113 g) carrots, roughly chopped",ok,,"¼ lb (113 g) carrots, roughly chopped",113 g,"¼ lb carrots, roughly chopped",
4,556,16,,,1.0,½ cup (90 g) smooth peanut butter,ok,,½ cup (90 g) smooth peanut butter,90 g,½ cup smooth peanut butter,½ cup
4,280,17,,,1.0,"1 small habanero chile, diced",ok,,"1 small habanero chile, diced",,"1 small habanero chile, diced",1 small
5,49,1,,,1.0,1½ lb (680 g) beef stew meat,ok,,1½ lb (680 g) beef stew meat,680 g,1½ lb beef stew meat,
5,526,2,,,1.0,"Salt and black pepper, as needed",review,mixed_seasoning;contains_conjunction,"Salt and black pepper, as needed",,"Salt and black pepper, as needed",
5,591,3,,,1.0,1 tbsp (3 g) dried thyme,ok,,1 tablespoon (3 g) dried thyme,3 g,1 tablespoon dried thyme,1 tablespoon
5,399,4,,,1.0,"1 small onion, roughly chopped",ok,,"1 small onion, roughly chopped",,"1 small onion, roughly chopped",1 small
5,625,5,,,1.0,1 cup (240 ml) water,ok,,1 cup (240 ml) water,240 ml,1 cup water,1 cup
5,40,6,,,1.0,6 cups (1.4 L) beef stock,ok,,6 cups (1.4 L) beef stock,1.4 L,6 cups beef stock,6 cups
5,212,7,,,1.0,"4 cups (600 g) egusi melon seeds, ground",ok,,"4 cups (600 g) egusi melon seeds, ground",600 g,"4 cups egusi melon seeds, ground",4 cups
5,399,8,,,1.0,"1 large onion, roughly chopped",ok,,"1 large onion, roughly chopped",,"1 large onion, roughly chopped",1 large
5,282,9,,,1.0,"2 small habanero chiles, stems removed",ok,,"2 small habanero chiles, stems removed",,"2 small habanero chiles, stems removed",2 small
5,409,10,,,1.0,¾ cup (180 ml) palm oil,ok,,¾ cup (180 ml) palm oil,180 ml,¾ cup palm oil,¾ cup
5,58,11,,,1.0,"4 tbsp (85 g) bitter leaf, washed",ok,,"4 tablespoon (85 g) bitter leaf, washed",85 g,"4 tablespoon bitter leaf, washed",4 tablespoon
5,562,12,,,1.0,6 cups (180 g) roughly chopped spinach,ok,,6 cups (180 g) roughly chopped spinach,180 g,6 cups roughly chopped spinach,6 cups
5,191,13,,,1.0,3 tbsp (18 g) ground crayfish,ok,,3 tablespoon (18 g) ground crayfish,18 g,3 tablespoon ground crayfish,3 tablespoon
5,387,14,,,1.0,1 tbsp (8 g) Nigerian red pepper,ok,,1 tablespoon (8 g) Nigerian red pepper,8 g,1 tablespoon Nigerian red pepper,1 tablespoon
5,245,15,,,1.0,"Fufu , for serving",ok,,"Fufu , for serving",,"Fufu , for serving",
6,85,1,,,1.0,"4 boneless, skinless chicken breasts",ok,,"4 boneless, skinless chicken breasts",,"4 boneless, skinless chicken breasts",
6,142,2,,,1.0,4 chicken drumsticks,ok,,4 chicken drumsticks,,4 chicken drumsticks,
6,399,3,,,1.0,4 cups (460 g) sliced onions,ok,,4 cups (460 g) sliced onions,460 g,4 cups sliced onions,4 cups
6,333,4,,,1.0,⅓ cup (80 ml) fresh lemon juice,ok,,⅓ cup (80 ml) fresh lemon juice,80 ml,⅓ cup fresh lemon juice,
6,522,5,,,1.0,1 tsp salt,ok,,1 teaspoon salt,,1 teaspoon salt,1 teaspoon
6,63,6,,,1.0,½ tsp black pepper,ok,,½ teaspoon black pepper,,½ teaspoon black pepper,½ teaspoon
6,281,7,,,1.0,"1 small habanero chile, seeded and minced",review,contains_conjunction,"1 small habanero chile, seeded and minced",,"1 small habanero chile, seeded and minced",1 small
6,423,8,,,1.0,1½ tbsp (23 ml) peanut oil,ok,,1½ tablespoon (23 ml) peanut oil,23 ml,1½ tablespoon peanut oil,
6,134,9,,,1.0,1½ cups (360 g) chicken stock,ok,,1½ cups (360 g) chicken stock,360 g,1½ cups chicken stock,
6,430,10,,,1.0,½ cup (75 g) pimento-stuffed olives,ok,,½ cup (75 g) pimento-stuffed olives,75 g,½ cup pimento-stuffed olives,½ cup
6,625,11,,,1.0,½ cup (120 ml) water,ok,,½ cup (120 ml) water,120 ml,½ cup water,½ cup
6,205,12,,,1.0,1 tbsp (16 g) Dijon mustard,ok,,1 tablespoon (16 g) Dijon mustard,16 g,1 tablespoon Dijon mustard,1 tablespoon
6,508,13,,,1.0,"Rice, for serving",ok,,"Rice, for serving",,"Rice, for serving",
7,616,1,,,1.0,"Vegetable oil, as needed",ok,,"Vegetable oil, as needed",,"Vegetable oil, as needed",
7,17,2,,,1.0,¼ cup (43 g) roasted almonds,ok,,¼ cup (43 g) roasted almonds,43 g,¼ cup roasted almonds,¼ cup
7,128,3,,,1.0,2 tbsp (16 g) cayenne pepper or Nigerian red pepper,review,long_base_phrase;contains_conjunction,2 tablespoon (16 g) cayenne pepper or Nigerian red pepper,16 g,2 tablespoon cayenne pepper or Nigerian red pepper,2 tablespoon
7,411,4,,,1.0,2 tsp (6 g) smoked paprika,ok,,2 teaspoon (6 g) smoked paprika,6 g,2 teaspoon smoked paprika,2 teaspoon
7,253,5,,,1.0,1 tbsp (8 g) garlic powder,ok,,1 tablespoon (8 g) garlic powder,8 g,1 tablespoon garlic powder,1 tablespoon
7,400,6,,,1.0,1 tbsp (8 g) onion powder,ok,,1 tablespoon (8 g) onion powder,8 g,1 tablespoon onion powder,1 tablespoon
7,639,7,,,1.0,1 tbsp (8 g) white pepper,ok,,1 tablespoon (8 g) white pepper,8 g,1 tablespoon white pepper,1 tablespoon
7,133,8,,,1.0,1 chicken bouillon cube,ok,,1 chicken bouillon cube,,1 chicken bouillon cube,
7,522,9,,,1.0,"Salt, to taste",ok,,"Salt, to taste",,"Salt, to taste",
7,551,10,,,1.0,2 lb (900 g) sirloin or chuck roast,review,contains_conjunction,2 lb (900 g) sirloin or chuck roast,900 g,2 lb sirloin or chuck roast,
8,71,2,,,1.0,"2 cups (303 g) dried black-eyed peas, soaked overnight",ok,,"2 cups (303 g) dried black-eyed peas, soaked overnight",303 g,"2 cups dried black-eyed peas, soaked overnight",2 cups
8,625,3,,,1.0,4 cups (960 ml) water,ok,,4 cups (960 ml) water,960 ml,4 cups water,4 cups
8,409,4,,,1.0,¾ cup (180 ml) palm oil,ok,,¾ cup (180 ml) palm oil,180 ml,¾ cup palm oil,¾ cup
8,191,5,,,1.0,3 tbsp (18 g) ground crayfish,ok,,3 tablespoon (18 g) ground crayfish,18 g,3 tablespoon ground crayfish,3 tablespoon
8,280,6,,,1.0,"1 small habanero chile, finely chopped",ok,,"1 small habanero chile, finely chopped",,"1 small habanero chile, finely chopped",1 small
8,42,7,,,1.0,1 beef or chicken bouillon cube,review,contains_conjunction,1 beef or chicken bouillon cube,,1 beef or chicken bouillon cube,
8,512,8,,,1.0,"1 large ripe plantain, cut into ¼-inch (6-mm) thick rounds",review,long_base_phrase,"1 large ripe plantain, cut into ¼-inch (6-mm) thick rounds",6-mm,"1 large ripe plantain, cut into ¼-inch thick rounds",1 large
8,593,9,,,1.0,"2 cups (60 g) tightly packed spinach, roughly chopped",ok,,"2 cups (60 g) tightly packed spinach, roughly chopped",60 g,"2 cups tightly packed spinach, roughly chopped",2 cups
8,522,10,,,1.0,"Salt, to taste",ok,,"Salt, to taste",,"Salt, to taste",
9,511,1,,,1.0,2 large ripe plantains,ok,,2 large ripe plantains,,2 large ripe plantains,2 large
9,615,2,,,1.0,"¼ cup (60 ml) vegetable oil, divided",ok,,"¼ cup (60 ml) vegetable oil, divided",60 ml,"¼ cup vegetable oil, divided",¼ cup
9,399,3,,,1.0,"1 medium onion, diced",ok,,"1 medium onion, diced",,"1 medium onion, diced",1 medium
9,280,4,,,1.0,"1 small habanero chile, diced",ok,,"1 small habanero chile, diced",,"1 small habanero chile, diced",1 small
9,51,5,,,1.0,"1 large bell pepper (any color), diced",ok,,"1 large bell pepper (any color), diced",any color,"1 large bell pepper, diced",1 large
9,597,6,,,1.0,"1 small tomato, diced",ok,,"1 small tomato, diced",,"1 small tomato, diced",1 small
9,251,7,,,1.0,1 tsp minced garlic,ok,,1 teaspoon minced garlic,,1 teaspoon minced garlic,1 teaspoon
9,209,8,,,1.0,6 large eggs,ok,,6 large eggs,,6 large eggs,6 large
9,159,9,,,1.0,"¼ cup (10 g) fresh cilantro, roughly chopped",ok,,"¼ cup (10 g) fresh cilantro, roughly chopped",10 g,"¼ cup fresh cilantro, roughly chopped",¼ cup
9,364,10,,,1.0,2 tbsp (30 ml) milk,ok,,2 tablespoon (30 ml) milk,30 ml,2 tablespoon milk,2 tablespoon
9,412,11,,,1.0,1 tsp paprika,ok,,1 teaspoon paprika,,1 teaspoon paprika,1 teaspoon
9,591,12,,,1.0,1 tsp dried thyme,ok,,1 teaspoon dried thyme,,1 teaspoon dried thyme,1 teaspoon
10,615,1,,,1.0,2 tbsp (30 ml) vegetable oil,ok,,2 tablespoon (30 ml) vegetable oil,30 ml,2 tablespoon vegetable oil,2 tablespoon
10,399,2,,,1.0,"1 medium onion, roughly chopped",ok,,"1 medium onion, roughly chopped",,"1 medium onion, roughly chopped",1 medium
10,280,3,,,1.0,"1 small habanero chile, minced",ok,,"1 small habanero chile, minced",,"1 small habanero chile, minced",1 small
10,514,4,,,1.0,"1 large Roma tomato, roughly chopped",ok,,"1 large Roma tomato, roughly chopped",,"1 large Roma tomato, roughly chopped",1 large
10,186,5,,,1.0,2 (12-oz [336-g]) cans corned beef,ok,,2 (12-oz [336-g]) cans corned beef,12-oz [336-g],2 cans corned beef,2 cans
10,562,6,,,1.0,2 lb (900 g) roughly chopped spinach,ok,,2 lb (900 g) roughly chopped spinach,900 g,2 lb roughly chopped spinach,
10,387,7,,,1.0,1 tbsp (8 g) Nigerian red pepper,ok,,1 tablespoon (8 g) Nigerian red pepper,8 g,1 tablespoon Nigerian red pepper,1 tablespoon
10,253,8,,,1.0,2 tsp (6 g) garlic powder,ok,,2 teaspoon (6 g) garlic powder,6 g,2 teaspoon garlic powder,2 teaspoon
10,400,9,,,1.0,1 tsp onion powder,ok,,1 teaspoon onion powder,,1 teaspoon onion powder,1 teaspoon
10,133,10,,,1.0,1 chicken bouillon cube,ok,,1 chicken bouillon cube,,1 chicken bouillon cube,
10,15,11,,,1.0,1 tbsp (8 g) all-purpose seasoning,ok,,1 tablespoon (8 g) all-purpose seasoning,8 g,1 tablespoon all-purpose seasoning,1 tablespoon
10,75,12,,,1.0,"Boiled yams, for serving, optional",ok,,"Boiled yams, for serving, optional",,"Boiled yams, for serving, optional",
10,74,13,,,1.0,"Boiled or fried plantains, for serving, optional",review,contains_conjunction,"Boiled or fried plantains, for serving, optional",,"Boiled or fried plantains, for serving, optional",
11,595,1,,,1.0,"4 whole tilapia, washed and cleaned thoroughly",review,contains_conjunction,"4 whole tilapia, washed and cleaned thoroughly",,"4 whole tilapia, washed and cleaned thoroughly",
11,522,2,,,1.0,2 tsp (10 g) salt,ok,,2 teaspoon (10 g) salt,10 g,2 teaspoon salt,2 teaspoon
11,63,3,,,1.0,2 tsp (6 g) black pepper,ok,,2 teaspoon (6 g) black pepper,6 g,2 teaspoon black pepper,2 teaspoon
11,331,4,,,1.0,2 medium lemons,ok,,2 medium lemons,,2 medium lemons,2 medium
11,5,5,,,1.0,2 tsp (6 g) ground African nutmeg (ehuru),ok,,2 teaspoon (6 g) ground African nutmeg (ehuru),6 g,2 teaspoon ground African nutmeg,2 teaspoon
11,572,6,,,1.0,2 tsp (5 g) star anise seeds,ok,,2 teaspoon (5 g) star anise seeds,5 g,2 teaspoon star anise seeds,2 teaspoon
11,159,7,,,1.0,½ cup fresh cilantro,ok,,½ cup fresh cilantro,,½ cup fresh cilantro,½ cup
11,260,8,,,1.0,"1 (1-inch [5-cm]) piece fresh ginger, peeled",ok,,"1 (1-inch [5-cm]) piece fresh ginger, peeled",1-inch [5-cm],"1 piece fresh ginger, peeled",
11,251,9,,,1.0,10 cloves garlic,ok,,10 cloves garlic,,10 cloves garlic,10 cloves
11,411,10,,,1.0,1 tsp smoked paprika,ok,,1 teaspoon smoked paprika,,1 teaspoon smoked paprika,1 teaspoon
11,133,11,,,1.0,1 chicken bouillon cube,ok,,1 chicken bouillon cube,,1 chicken bouillon cube,
11,399,12,,,1.0,"1 medium onion, roughly chopped",ok,,"1 medium onion, roughly chopped",,"1 medium onion, roughly chopped",1 medium
11,616,13,,,1.0,"Vegetable oil, as needed",ok,,"Vegetable oil, as needed",,"Vegetable oil, as needed",
11,508,14,,,1.0,"Rice, for serving",ok,,"Rice, for serving",,"Rice, for serving",
12,23,1,,,1.0,"1½ lb (680 g) assorted boneless meats (e.g., beef, goat, chicken), cut into bite-size pieces",ok,,"1½ lb (680 g) assorted boneless meats (e.g., beef, goat, chicken), cut into bite-size pieces",680 g,"1½ lb assorted boneless meats, cut into bite-size pieces",
12,399,2,,,1.0,"1 large onion, roughly chopped",ok,,"1 large onion, roughly chopped",,"1 large onion, roughly chopped",1 large
12,260,3,,,1.0,"1 (½-inch [13-mm]) piece fresh ginger, peeled",ok,,"1 (½-inch [13-mm]) piece fresh ginger, peeled",½-inch [13-mm],"1 piece fresh ginger, peeled",
12,251,4,,,1.0,2 cloves garlic,ok,,2 cloves garlic,,2 cloves garlic,2 cloves
12,43,5,,,1.0,3 beef or chicken bouillon cubes,review,contains_conjunction,3 beef or chicken bouillon cubes,,3 beef or chicken bouillon cubes,
12,523,6,,,1.0,"Salt, as needed",ok,,"Salt, as needed",,"Salt, as needed",
12,625,7,,,1.0,6 cups (1.4 L) water,ok,,6 cups (1.4 L) water,1.4 L,6 cups water,6 cups
12,280,8,,,1.0,"4 small habanero chiles, thinly sliced",ok,,"4 small habanero chiles, thinly sliced",,"4 small habanero chiles, thinly sliced",4 small
12,127,9,,,1.0,1 tbsp (8 g) cayenne pepper,ok,,1 tablespoon (8 g) cayenne pepper,8 g,1 tablespoon cayenne pepper,1 tablespoon
12,639,10,,,1.0,1 tbsp (8 g) white pepper,ok,,1 tablespoon (8 g) white pepper,8 g,1 tablespoon white pepper,1 tablespoon
12,426,11,,,1.0,3 tbsp (24 g) pepper soup spice mix,ok,,3 tablespoon (24 g) pepper soup spice mix,24 g,3 tablespoon pepper soup spice mix,3 tablespoon
12,649,12,,,1.0,"Yams, plantains or rice, for serving",review,contains_conjunction,"Yams, plantains or rice, for serving",,"Yams, plantains or rice, for serving",
13,49,1,,,1.0,½ lb (225 g) beef stew meat,ok,,½ lb (225 g) beef stew meat,225 g,½ lb beef stew meat,
13,526,2,,,1.0,"Salt and black pepper, as needed",review,mixed_seasoning;contains_conjunction,"Salt and black pepper, as needed",,"Salt and black pepper, as needed",
13,399,3,,,1.0,"1 medium onion, roughly chopped, divided",ok,,"1 medium onion, roughly chopped, divided",,"1 medium onion, roughly chopped, divided",1 medium
13,625,4,,,1.0,"2 cups (480 ml) water, divided",ok,,"2 cups (480 ml) water, divided",480 ml,"2 cups water, divided",2 cups
13,82,5,,,1.0,"½ lb (225 g) bone-in chicken breast, cut into bite-size pieces",ok,,"½ lb (225 g) bone-in chicken breast, cut into bite-size pieces",225 g,"½ lb bone-in chicken breast, cut into bite-size pieces",
13,392,6,,,1.0,1 lb (450 g) fresh okra,ok,,1 lb (450 g) fresh okra,450 g,1 lb fresh okra,
13,191,7,,,1.0,1 tbsp (6 g) ground crayfish,ok,,1 tablespoon (6 g) ground crayfish,6 g,1 tablespoon ground crayfish,1 tablespoon
13,42,8,,,1.0,1 beef or chicken bouillon cube,review,contains_conjunction,1 beef or chicken bouillon cube,,1 beef or chicken bouillon cube,
13,411,9,,,1.0,1 tbsp (8 g) smoked paprika,ok,,1 tablespoon (8 g) smoked paprika,8 g,1 tablespoon smoked paprika,1 tablespoon
13,127,10,,,1.0,1 tbsp (8 g) cayenne pepper,ok,,1 tablespoon (8 g) cayenne pepper,8 g,1 tablespoon cayenne pepper,1 tablespoon
13,593,11,,,1.0,"3 cups (90 g) tightly packed spinach, roughly chopped",ok,,"3 cups (90 g) tightly packed spinach, roughly chopped",90 g,"3 cups tightly packed spinach, roughly chopped",3 cups
13,31,12,,,1.0,"Banku or Fufu , for serving",review,contains_conjunction,"Banku or Fufu , for serving",,"Banku or Fufu , for serving",
14,397,1,,,1.0,2 tbsp (30 ml) olive oil,ok,,2 tablespoon (30 ml) olive oil,30 ml,2 tablespoon olive oil,2 tablespoon
14,591,2,,,1.0,½ tsp dried thyme,ok,,½ teaspoon dried thyme,,½ teaspoon dried thyme,½ teaspoon
14,202,3,,,1.0,1 tsp curry powder,ok,,1 teaspoon curry powder,,1 teaspoon curry powder,1 teaspoon
14,127,4,,,1.0,½ tsp cayenne pepper,ok,,½ teaspoon cayenne pepper,,½ teaspoon cayenne pepper,½ teaspoon
14,253,5,,,1.0,½ tsp garlic powder,ok,,½ teaspoon garlic powder,,½ teaspoon garlic powder,½ teaspoon
14,604,6,,,1.0,⅛ tsp ground turmeric,ok,,⅛ teaspoon ground turmeric,,⅛ teaspoon ground turmeric,
14,197,7,,,1.0,⅛ tsp ground cumin,ok,,⅛ teaspoon ground cumin,,⅛ teaspoon ground cumin,
14,280,8,,,1.0,"1 small habanero chile, minced",ok,,"1 small habanero chile, minced",,"1 small habanero chile, minced",1 small
14,505,9,,,1.0,"1 medium red or yellow bell pepper, diced",review,contains_conjunction,"1 medium red or yellow bell pepper, diced",,"1 medium red or yellow bell pepper, diced",1 medium
14,399,10,,,1.0,"1 small onion, diced",ok,,"1 small onion, diced",,"1 small onion, diced",1 small
14,531,11,,,1.0,1 (4-oz [112-g]) can smoked sardines in olive oil,ok,,1 (4-oz [112-g]) can smoked sardines in olive oil,4-oz [112-g],1 can smoked sardines in olive oil,1 can
14,33,12,,,1.0,¼ cup roughly chopped fresh basil,ok,,¼ cup roughly chopped fresh basil,,¼ cup roughly chopped fresh basil,¼ cup
14,209,13,,,1.0,4 large eggs,ok,,4 large eggs,,4 large eggs,4 large
14,522,14,,,1.0,Pinch of salt,ok,,Pinch of salt,,Pinch of salt,
