recipe_id,ingredient_index,ingredient_line_raw,ingredient_name_clean,base_ingredient,form,parse_status,review_reason
43,1,2 large jarred or fresh roasted red bell peppers,jarred red bell pepper (fresh),jarred red bell pepper,fresh,review,contains_conjunction
51,1,"2 lb (900 g) Yukon gold potatoes, peeled and cut into large chunks",yukon gold potato chunk,yukon gold potato chunk,unspecified,review,contains_conjunction
7,10,2 lb (900 g) sirloin or chuck roast,sirloin chuck roast,sirloin chuck roast,unspecified,review,contains_conjunction
60,9,"2 medium jalapeño chiles or serrano chiles, diced",jalape chile serrano chile,jalape chile serrano chile,unspecified,review,contains_conjunction
148,10,2 tbsp mango chutney or other chutney,mango chutney other chutney,mango chutney other chutney,unspecified,review,contains_conjunction
145,3,"200g/7oz pork shoulder or belly, coarsely minced",pork shoulder belly coarsely,pork shoulder belly coarsely,unspecified,review,contains_conjunction
128,3,"2cm/Â¾in piece fresh root ginger , peeled and grated",cm root ginger (fresh),cm root ginger,fresh,review,contains_conjunction
173,1,2½ cup water cornmeal and salt,water cornmeal salt,water cornmeal salt,unspecified,review,contains_conjunction
55,13,2½ to 3 lb (1.1 to 1.4 kg) bone-in or boneless chicken (any cut),bone-in boneles chicken,bone-in boneles chicken,unspecified,review,contains_conjunction
47,9,"3 (16-oz [448-g]) cans chickpeas, drained and rinsed",chickpea,chickpea,unspecified,review,contains_conjunction
12,5,3 beef or chicken bouillon cubes,beef chicken cube (bouillon),beef chicken cube,bouillon,review,contains_conjunction
24,11,"3 large hard-boiled eggs, peeled and halved",hard-boiled egg,hard-boiled egg,unspecified,review,contains_conjunction
129,13,"3 ripe plantain , peeled and sliced",ripe plantain,ripe plantain,unspecified,review,contains_conjunction
166,4,3 tablespoon ghee or unsalted,ghee unsalted,ghee unsalted,unspecified,review,contains_conjunction
171,4,3 tablespoon tamarind paste with salt and serve hot,tamarind salt serve hot (paste),tamarind salt serve hot,paste,review,contains_conjunction
140,3,"4 garlic cloves, finely chopped or grated",garlic (fresh),garlic,fresh,review,contains_conjunction
16,1,4 large green or ripe plantains,green ripe plantain,green ripe plantain,unspecified,review,contains_conjunction
56,7,4 lb (1.8 kg) large prawns or shrimp,prawn shrimp,prawn shrimp,unspecified,review,contains_conjunction
33,10,"4 medium Yukon gold potatoes, peeled and diced",yukon gold potato,yukon gold potato,unspecified,review,contains_conjunction
42,11,4 tbsp (19 g) freshly grated coconut or raw unsweetened coconut flakes,coconut raw unsweetened coconut (flakes),coconut raw unsweetened coconut,flakes,review,contains_conjunction
11,1,"4 whole tilapia, washed and cleaned thoroughly",tilapia washed cleaned thoroughly (whole),tilapia washed cleaned thoroughly,whole,review,contains_conjunction
168,1,5 cup water in the cornmeal and salt,water cornmeal salt,water cornmeal salt,unspecified,review,contains_conjunction
145,10,"50g/1Â¾oz chilli chutney , or plain chutney",chilli chutney plain chutney,chilli chutney plain chutney,unspecified,review,contains_conjunction
277,1,"700g Sweet Potatoes, peeled and cubed",sweet potato,sweet potato,unspecified,review,contains_conjunction
145,1,"700g/1lb 9oz beef silverside or brisket, coarsely minced",beef silverside brisket coarsely,beef silverside brisket coarsely,unspecified,review,contains_conjunction
149,1,8 bone-in chicken thighs or drumsticks,bone-in chicken thigh drumstick,bone-in chicken thigh drumstick,unspecified,review,contains_conjunction
133,9,"8 chicken thighs , skin-on and bone-in",chicken thigh skin-on bone-in,chicken thigh skin-on bone-in,unspecified,review,contains_conjunction
246,1,"8 medium sized potatoes, peeled and cubed",sized potato,sized potato,unspecified,review,contains_conjunction
30,25,"Aunty Bernie’s Chapati or rice, for serving",aunty bernie chapati rice,aunty bernie chapati rice,unspecified,review,contains_conjunction
13,12,"Banku or Fufu , for serving",banku fufu,banku fufu,unspecified,review,contains_conjunction
10,13,"Boiled or fried plantains, for serving, optional",boiled fried plantain,boiled fried plantain,unspecified,review,contains_conjunction
46,12,"Couscous or rice, for serving",couscous rice,couscous rice,unspecified,review,contains_conjunction
49,20,"Grilled lemon slices and fresh parsley, for garnishing",grilled lemon parsley garnishing (fresh),grilled lemon parsley garnishing,fresh,review,contains_conjunction
29,13,"Rice or Injera , for serving",rice injera,rice injera,unspecified,review,contains_conjunction
54,10,"Rice or couscous, for serving",rice couscous,rice couscous,unspecified,review,contains_conjunction
12,12,"Yams, plantains or rice, for serving",yam plantain rice,yam plantain rice,unspecified,review,contains_conjunction
52,17,Zest and juice of 1 lemon,zest juice lemon,zest juice lemon,unspecified,review,contains_conjunction
63,13,Zest and juice of 1 lemon,zest juice lemon,zest juice lemon,unspecified,review,contains_conjunction
50,17,Zest and juice of 2 lemons,zest juice lemon,zest juice lemon,unspecified,review,contains_conjunction
2,4,¼ cup (60 ml) groundnut oil or vegetable oil,groundnut oil vegetable oil,groundnut oil vegetable oil,unspecified,review,contains_conjunction
22,3,"½ large head green cabbage, shredded or finely chopped",head green cabbage shredded,head green cabbage shredded,unspecified,review,contains_conjunction
22,2,"½ large head lettuce, shredded or finely chopped",head lettuce shredded,head lettuce shredded,unspecified,review,contains_conjunction
60,10,"¾ cup (75 g) okra, trimmed and cut into ¼-inch (6-mm) rounds",okra trimmed -inch round,okra trimmed -inch round,unspecified,review,contains_conjunction
72,1,,egusi seed pumpkin seed,egusi seed pumpkin seed,unspecified,review,contains_conjunction
74,1,,sweet potato,sweet potato,unspecified,review,contains_conjunction
103,1,,olive oil as,olive oil as,unspecified,review,contains_conjunction
117,1,,yucca root,yucca root,unspecified,review,contains_conjunction
187,1,,turkey wing chicken quarter,turkey wing chicken quarter,unspecified,review,contains_conjunction
145,11,"1 free-range egg , plus 1 free-range egg yolk, beaten",free-range egg free-range egg yolk,free-range egg free-range egg yolk,unspecified,review,long_base_phrase
8,8,"1 large ripe plantain, cut into ¼-inch (6-mm) thick rounds",ripe plantain -inch thick round,ripe plantain -inch thick round,unspecified,review,long_base_phrase
59,11,"1 lb (450 g) boneless, skinless chicken breast, cut into bite-size pieces",boneles skinles chicken breast bite-size,boneles skinles chicken breast bite-size,unspecified,review,long_base_phrase
180,1,1 pound boneless salt cod bowl,pound boneles salt cod bowl,pound boneles salt cod bowl,unspecified,review,long_base_phrase
153,2,1 tablespoon Berbere Spice texture of mashed potatoes. Season the,berbere spice texture potato season,berbere spice texture potato season,unspecified,review,long_base_phrase
245,2,1 tsp Real Premium Spices Mild Curry Powder,real premium spice mild curry (powder),real premium spice mild curry,powder,review,long_base_phrase
239,3,1 tsp Real Premium Spices Mild Curry powder,real premium spice mild curry (powder),real premium spice mild curry,powder,review,long_base_phrase
248,10,1 tsp Real Premium Spices mild curry powder,real premium spice mild curry (powder),real premium spice mild curry,powder,review,long_base_phrase
250,5,"1 tsp Real Premium Spices’ Lemon, Garlic & Herb Seasoning",real premium spice lemon garlic herb seasoning,real premium spice lemon garlic herb seasoning,unspecified,review,long_base_phrase
250,8,1 tsp Real Premium Spices’ Mild Curry Powder,real premium spice mild curry (powder),real premium spice mild curry,powder,review,long_base_phrase
245,3,1/2 tsp Real Premium Spices Ground Black Pepper,real premium spice black pepper (ground),real premium spice black pepper,ground,review,long_base_phrase
248,12,1/4 tsp Real Premium Spices cayenne pepper,real premium spice cayenne pepper,real premium spice cayenne pepper,unspecified,review,long_base_phrase
252,6,100 ml Mr Sauce Sticky BBQ Basting,mr sauce sticky bbq basting,mr sauce sticky bbq basting,unspecified,review,long_base_phrase
150,4,1½ cup warm water nonstick skillet over medium,warm water nonstick skillet over,warm water nonstick skillet over,unspecified,review,long_base_phrase
167,3,2 cup full-fat unsweetened other large heavy pot,full-fat unsweetened other heavy pot,full-fat unsweetened other heavy pot,unspecified,review,long_base_phrase
236,2,"2 tbsp Real Premium Spices Lemon, Garlic & Herb Seasoning",real premium spice lemon garlic herb seasoning,real premium spice lemon garlic herb seasoning,unspecified,review,long_base_phrase
243,4,2 tbsp Real Premium Spices Sour Cream ‘n Chives,real premium spice sour cream chive,real premium spice sour cream chive,unspecified,review,long_base_phrase
147,8,"2 tbsp fresh coriander leaves, with some stem attached",coriander leave some stem attached (fresh),coriander leave some stem attached,fresh,review,long_base_phrase
226,8,3 tbsp Tammy’s Pure Organic Sesame Oil,tammy pure organic sesame oil,tammy pure organic sesame oil,unspecified,review,long_base_phrase
234,5,3 tsp Real Premium Spices Chisa Nyama,real premium spice chisa nyama,real premium spice chisa nyama,unspecified,review,long_base_phrase
229,6,3-4 tbsp Mr Sauce Miri Piri Sauce,mr sauce miri piri sauce,mr sauce miri piri sauce,unspecified,review,long_base_phrase
227,5,4 tbsp Mr Sauce Sweet Chilli Sauce,mr sauce sweet chilli sauce,mr sauce sweet chilli sauce,unspecified,review,long_base_phrase
246,4,4 tsp Real Premium Spices Potato Mate,real premium spice potato mate,real premium spice potato mate,unspecified,review,long_base_phrase
236,1,"5 – 6 Medium sized Kariba Bream Fish, gutted",sized kariba bream fish gutted,sized kariba bream fish gutted,unspecified,review,long_base_phrase
257,3,500 ml Mr Sauce Lemon & Herb marinade,mr sauce lemon herb marinade,mr sauce lemon herb marinade,unspecified,review,long_base_phrase
231,4,60 ml Mr Sauce Beef Burger Sauce,mr sauce beef burger sauce,mr sauce beef burger sauce,unspecified,review,long_base_phrase
235,10,60 ml Mr Sauce Smokey BBQ Marinade,mr sauce smokey bbq marinade,mr sauce smokey bbq marinade,unspecified,review,long_base_phrase
243,2,Enough water to go just below the potatoes,enough water go just below potato,enough water go just below potato,unspecified,review,long_base_phrase
226,11,"a handful of spring onion green tips, chopped",handful spring onion green tip,handful spring onion green tip,unspecified,review,long_base_phrase
140,5,"generous pinch red chilli flakes, plus extra if desired",generou red chilli extra if desired (flakes),generou red chilli extra if desired,flakes,review,long_base_phrase
230,9,¼ tsp Real Premium Spices ground black pepper,real premium spice black pepper (ground),real premium spice black pepper,ground,review,long_base_phrase
83,1,,red bell pepper thin strip,red bell pepper thin strip,unspecified,review,long_base_phrase
112,1,,mild hot red chile pepper,mild hot red chile pepper,unspecified,review,long_base_phrase
278,9,1 Tablespoon Cream of Mushroom soup/Bisto or gravy thickener (Optional),cream mushroom soup bisto gravy thickener,cream mushroom soup bisto gravy thickener,unspecified,review,long_base_phrase;contains_conjunction
58,5,"1 crusty hoagie roll, split in half and lightly toasted",crusty hoagie roll split half lightly (toasted),crusty hoagie roll split half lightly,toasted,review,long_base_phrase;contains_conjunction
148,4,"1 plum tomato , seeds removed and cut into strips",plum tomato seed removed strip,plum tomato seed removed strip,unspecified,review,long_base_phrase;contains_conjunction
169,1,1 pound skirt steak or flank steak,pound skirt steak flank steak,pound skirt steak flank steak,unspecified,review,long_base_phrase;contains_conjunction
3,15,1 tbsp (8 g) Nigerian red pepper or cayenne pepper,nigerian red pepper cayenne pepper,nigerian red pepper cayenne pepper,unspecified,review,long_base_phrase;contains_conjunction
37,5,1 tsp Pili Pili or store-bought hot sauce,pili pili store-bought hot sauce,pili pili store-bought hot sauce,unspecified,review,long_base_phrase;contains_conjunction
15,2,12 African bird’s eye chiles or 12 small habanero chiles,african bird eye chile habanero chile,african bird eye chile habanero chile,unspecified,review,long_base_phrase;contains_conjunction
147,1,"1kg/2lb 4oz sweet potatoes , skin on and scrubbed clean",sweet potato skin scrubbed clean,sweet potato skin scrubbed clean,unspecified,review,long_base_phrase;contains_conjunction
52,9,"2 lb (900 g) Yukon gold potatoes, peeled and cut into 1-inch (3-cm) cubes",yukon gold potato -inch cube,yukon gold potato -inch cube,unspecified,review,long_base_phrase;contains_conjunction
45,2,"2 slices stale white bread, crusts removed and torn into pieces",stale white bread crust removed,stale white bread crust removed,unspecified,review,long_base_phrase;contains_conjunction
2,3,2 small Scotch bonnet chiles or habanero chiles,scotch bonnet chile habanero chile,scotch bonnet chile habanero chile,unspecified,review,long_base_phrase;contains_conjunction
127,2,"2 sweet potatoes , scrubbed and cut into bite-sized chunks",sweet potato scrubbed bite-sized chunk,sweet potato scrubbed bite-sized chunk,unspecified,review,long_base_phrase;contains_conjunction
7,3,2 tbsp (16 g) cayenne pepper or Nigerian red pepper,cayenne pepper nigerian red pepper,cayenne pepper nigerian red pepper,unspecified,review,long_base_phrase;contains_conjunction
132,3,"700g/1lb 9oz boneless, skinless chicken thighs or breasts",boneles skinles chicken thigh breast,boneles skinles chicken thigh breast,unspecified,review,long_base_phrase;contains_conjunction
56,1,8 African bird’s eye chiles or 8 small habanero chiles,african bird eye chile habanero chile,african bird eye chile habanero chile,unspecified,review,long_base_phrase;contains_conjunction
230,14,1 tbsp all purpose flour plus enough water to make a paste,all purpose flour enough water make (paste),all purpose flour enough water make,paste,review,long_base_phrase;long_raw_phrase
178,2,1 teaspoon active dry yeast batter. Cover the bowl with a clean kitchen,active yeast batter cover bowl clean kitchen (dried),active yeast batter cover bowl clean kitchen,dried,review,long_base_phrase;long_raw_phrase
55,3,1 cup (170 g) African bird’s eye chiles or 8 red Thai chiles and 2 small habanero chiles,african bird eye chile red thai chile habanero chile,african bird eye chile red thai chile habanero chile,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
169,2,1 cup Piri Piri Sauce (page 185) in the refrigerator and let it marinate,piri piri sauce refrigerator let marinate,piri piri sauce refrigerator let marinate,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
48,12,"1 lb (450 g) Yukon gold potatoes, peeled and cut into ½-inch (6-mm) thick slices",yukon gold potato -inch thick,yukon gold potato -inch thick,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
171,1,1 tablespoon canola oil Warm the oil in a large Dutch oven or other heavy,canola oil warm oil dutch oven other heavy,canola oil warm oil dutch oven other heavy,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
181,3,1 teaspoon ground cardamom (The fat from the ghee and the egg yolks will start,cardamom fat ghee egg yolk will start (ground),cardamom fat ghee egg yolk will start,ground,review,long_base_phrase;long_raw_phrase;contains_conjunction
134,1,"120g/4Â½oz black eyed beans , soaked overnight or for at least 5 hours",black eyed bean overnight least hour,black eyed bean overnight least hour,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
231,9,"1kg Homemade or Shop bought Puff Pastry, thawed plus 1 beaten egg",homemade shop bought puff pastry thawed egg,homemade shop bought puff pastry thawed egg,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
127,1,"2 large red or orange peppers , de-seeded and cut into bite-sized chunks",red orange pepper de-seeded bite-sized chunk,red orange pepper de-seeded bite-sized chunk,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
59,13,"2 medium Yukon gold potatoes, peeled and cut into ½- to 1-inch (13-mm to 3-cm]) cubes",yukon gold potato -inch cube,yukon gold potato -inch cube,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
151,1,3 tablespoon canola oil bouillon cube and sprinkle it over the onion,canola oil sprinkle over onion (bouillon),canola oil sprinkle over onion,bouillon,review,long_base_phrase;long_raw_phrase;contains_conjunction
165,1,3 tablespoon canola oil the ends and skin. Cut the plantains in half lengthwise and,canola oil end skin plantain half lengthwise,canola oil end skin plantain half lengthwise,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
25,10,"6 large banana leaves, soaked in hot water to soften and rinsed thoroughly (see note)",banana leave hot water soften thoroughly,banana leave hot water soften thoroughly,unspecified,review,long_base_phrase;long_raw_phrase;contains_conjunction
137,12,"salt, white pepper and ground black pepper",salt white pepper black pepper (ground),salt white pepper black pepper,ground,review,long_base_phrase;mixed_seasoning;contains_conjunction
131,1,"1 whole chicken on the bone, skin on, separated into 6â8 pieces",chicken bone skin separated (whole),chicken bone skin separated,whole,review,long_raw_phrase
140,4,"4cm/1Â½in piece fresh root ginger , peeled and finely grated",cm root ginger (fresh),cm root ginger,fresh,review,long_raw_phrase;contains_conjunction
263,11,"Salt and Pepper, to taste",salt pepper,salt pepper,unspecified,review,mixed_seasoning;contains_conjunction
270,8,"Salt and Pepper, to taste",salt pepper,salt pepper,unspecified,review,mixed_seasoning;contains_conjunction
3,5,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
5,2,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
13,2,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
29,2,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
31,16,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
44,9,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
45,22,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
51,2,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
63,15,"Salt and black pepper, as needed",salt black pepper as,salt black pepper as,unspecified,review,mixed_seasoning;contains_conjunction
1,16,"Salt and black pepper, to taste",salt black pepper,salt black pepper,unspecified,review,mixed_seasoning;contains_conjunction
30,24,"Salt and black pepper, to taste",salt black pepper,salt black pepper,unspecified,review,mixed_seasoning;contains_conjunction
33,16,"Salt and black pepper, to taste",salt black pepper,salt black pepper,unspecified,review,mixed_seasoning;contains_conjunction
35,11,"Salt and black pepper, to taste",salt black pepper,salt black pepper,unspecified,review,mixed_seasoning;contains_conjunction
36,8,"Salt and black pepper, to taste",salt black pepper,salt black pepper,unspecified,review,mixed_seasoning;contains_conjunction
50,21,"Salt and black pepper, to taste",salt black pepper,salt black pepper,unspecified,review,mixed_seasoning;contains_conjunction
55,11,"Salt and black pepper, to taste",salt black pepper,salt black pepper,unspecified,review,mixed_seasoning;contains_conjunction
64,5,"Salt and black pepper, to taste",salt black pepper,salt black pepper,unspecified,review,mixed_seasoning;contains_conjunction
129,14,salt and freshly ground black pepper,salt black pepper (ground),salt black pepper,ground,review,mixed_seasoning;contains_conjunction
142,13,salt and freshly ground black pepper,salt black pepper (ground),salt black pepper,ground,review,mixed_seasoning;contains_conjunction
145,12,salt and freshly ground black pepper,salt black pepper (ground),salt black pepper,ground,review,mixed_seasoning;contains_conjunction
147,9,salt and freshly ground black pepper,salt black pepper (ground),salt black pepper,ground,review,mixed_seasoning;contains_conjunction
148,9,salt and freshly ground black pepper,salt black pepper (ground),salt black pepper,ground,review,mixed_seasoning;contains_conjunction
133,8,salt and freshly ground pepper,salt pepper (ground),salt pepper,ground,review,mixed_seasoning;contains_conjunction
127,7,sea salt and freshly ground black pepper,sea salt black pepper (ground),sea salt black pepper,ground,review,mixed_seasoning;contains_conjunction
