recipe_title,servings,ingredients,cooking_methods,source_url
African Beans With Collards,4,"10 ounces collard greens, de-stemmed and chopped | 2 tablespoons raisins | 2 garlic cloves, minced | 2 medium onions, chopped | 4 mushrooms, chopped | 1 (15 ounce) can diced tomatoes | 2/3 cup unsweetened dried shredded coconut | 2 teaspoons paprika | 1/2 teaspoon chili powder | 1/2 teaspoon cumin | 1/8 teaspoon black pepper (to taste) | 2 (15 ounce) cans low-sodium pinto beans, drained and rinsed | 1/2 cup water | 1/2 teaspoon oil (to coat pan)",fry,https://www.food.com/recipe/african-beans-with-collards-519094
African Breeze,1,1 3/4 ounces Amarula cream liqueur | 3/4 ounce cointreau orange liqueur | brown sugar | ice,,https://www.food.com/recipe/african-breeze-457151
African Chicken Curry,4,"1 tablespoon olive oil | 1 onion, chopped | 2 garlic cloves, peeled and chopped | 1 bay leaf | 14 1/2 ounces whole canned tomatoes, drained | 2 teaspoons curry powder | 1/8 teaspoon salt | 2 -3 lbs chicken, bones and skin removed, cut into pieces | 14 ounces unsweetened coconut milk | 1 lemon, juice of","blend, saute",https://www.food.com/recipe/african-chicken-curry-455721
African Chicken Curry,6,"1 tablespoon butter | 1 cup finely chopped pared apple | 1 cup sliced celery | 1/2 cup chopped onion | 2 tablespoons cornstarch | 2 -3 teaspoons curry powder | 3/4 teaspoon salt | 3/4 cup cold chicken broth | 2 cups milk | 2 cups diced cooked chicken | 1 (6 ounce) can sliced mushrooms (drained) | cooked rice, for 6 servings | raisins | flaked coconut | peanuts | chopped banana | chutney",,https://www.food.com/recipe/african-chicken-curry-50400
African Chicken Stew,4,"2 cups packed fresh cilantro (leaves and a few stems) | 1 cup packed fresh parsley (leaves and a few stems) | 1/4 cup almonds | 1 -2 garlic clove | 1/2 cup extra-virgin olive oil | 1/2 teaspoon kosher salt | 1 pinch cayenne pepper (optional) | 1 1/2 cups chicken broth | 1 cup uncooked couscous | 4 teaspoons kosher salt | fresh ground black pepper, to taste | 1 tablespoon vegetable oil | 1 tablespoon unsalted butter | 6 chicken thighs, boneless and skinless, quartered (about 1 1/4 lbs) | 1 teaspoon ground cumin | 1 teaspoon paprika, preferably smoked | 2 carrots, sliced 1/4 inch thick | 1 small red onion, halved and sliced | 1 2/3 cups chicken broth | 1/4 cup apple cider vinegar | 1 lemon, zest of, grated | 1/3 cup tunisian pesto sauce (you can reserve the rest by freezing)","boil, simmer, stew",https://www.food.com/recipe/african-chicken-stew-428359
African Chicken Wings,60,"1/2 cup butter, melted (1 stick) | 1/2 cup olive oil | 2 tablespoons crushed red pepper flakes | 2/3 cup lemon juice | 4 large garlic cloves, crushed | 2 teaspoons ground black pepper | 5 -6 lbs split chicken wings",bake,https://www.food.com/recipe/african-chicken-wings-455193
African Coconut Clusters,15,1/2 cup milk | 1/2 cup cocoa powder | 2 cups sugar (I only use 1 cup) | 1/2 cup margarine (I used light margarine) | 3 cups oats | 1 teaspoon vanilla flavoring | 1 cup shredded coconut | 1/2 cup chopped walnuts (optional),simmer,https://www.food.com/recipe/african-coconut-clusters-456764
African Coffee Cooler,1,"1/2 ounce Kahlua | 1/2 ounce Amaretto | 4 ounces coffee, chilled | 1/2 cup chocolate ice cream",blend,https://www.food.com/recipe/african-coffee-cooler-456087
African Curry Powder,1,6 teaspoons ground ginger | 6 teaspoons dried garlic | 4 tablespoons ground coriander | 4 tablespoons ground cumin | 4 tablespoons ground turmeric | 2 teaspoons cayenne | 2 teaspoons hot chili powder,,https://www.food.com/recipe/african-curry-powder-457168
African Fruit Salad,1,"avocado | banana | guava | mango | melon | papaya | peach | pear | pineapple | 1 lemon, juice of | fresh grated coconut or chopped roasted peanuts, to garnish | honey (optional) or sugar (optional)",roast,https://www.food.com/recipe/african-fruit-salad-455976
African Lullaby Cocktail,1,40 ml Amarula cream liqueur | 10 ml coconut milk | 80 ml milk | 2 dashes nutmeg | 1 cup ice,blend,https://www.food.com/recipe/african-lullaby-cocktail-309952
African Mint Chutney,8,"1/2 cup raw peanuts, skins on | 3 garlic cloves | 1 chili | 1/2 cup fresh mint leaves | 2 teaspoons coriander seeds | 1 tablespoon vinegar | 2 -4 tablespoons fresh lime juice, to taste | 1 cup plain yogurt (optional) | salt | pepper","roast, toast",https://www.food.com/recipe/african-mint-chutney-454994
African Orange Spice Salad,4,"2 large oranges, peeled and cut into bite-size pieces (squeeze some of the juice into the salad) | 1 cup radish, sliced | 1/4 teaspoon cumin | sea salt and pepper, to taste | 3 -4 fresh dates, chopped (optional) | 2 -3 tablespoons pomegranate seeds (optional) | lettuce leaf (optional)",,https://www.food.com/recipe/african-orange-spice-salad-455529
African Peanut Soup,12,"2 medium onions, chopped | 6 garlic cloves, coarsely chopped | 2 teaspoons olive oil | 2 (400 g) cans chopped tomatoes | 5 cups vegetable broth | 1 (8 ounce) can tomato sauce | 2 mint tea bags | 1 teaspoon chili powder, hot or 1 tablespoon chili powder, mild | 2 teaspoons ground cumin | 1 3/4 teaspoons sea salt | 1/8 teaspoon paprika | 2 cups finely chopped spinach | 3/4 cup smooth peanut butter | 6 medium pita bread, toasted",simmer,https://www.food.com/recipe/african-peanut-soup-312148
Aromatic African Red Beans,8,"1 lb dried red kidney beans, presoaked overnight | 8 cups water | 1 cup celery, chopped | 4 bay leaves | 3 tablespoons fresh garlic, minced | 2 teaspoons dried thyme, crushed | 1 teaspoon powdered kelp (sub sea salt, powered miso, spike or vegetarian bouillon powder) | 1 cup green pepper, diced | 1 tablespoon fresh parsley, finely chopped | sea salt & pepper, to taste",boil,https://www.food.com/recipe/african-red-beans-456933
African Red Beans,6,"1 cup dried pinto bean, picked over | 1 1/4 cups onions, chopped, divided | 1/4 cup peanut oil (or vegetable oil) | 1 cup canned whole tomatoes, drained and chopped | 1 tablespoon tomato paste | 1 large garlic clove, minced | 1/4 teaspoon cayenne pepper | 1/4 teaspoon white pepper | 1 teaspoon salt","boil, saute, simmer",https://www.food.com/recipe/african-red-beans-457028
African Rice Balls,4,"1 1/2 cups basmati rice, rinsed | 3 cups water","boil, simmer",https://www.food.com/recipe/african-rice-balls-456094
African Saucy Chicken,8,"1/4 cup vegetable oil | 1 onion, chopped | 4 garlic cloves, chopped | 3 tablespoons tomato paste | 2 tablespoons paprika | 3/4 teaspoon salt | 3/4 teaspoon pepper | 1/2 ground ginger | 1 cup coconut milk | 3 tablespoons smooth peanut butter | 16 chicken thighs | 2 tablespoons jalapeno peppers, minced | 1/4 cup fresh parsley or 1/4 cup cilantro","saute, slow cook",https://www.food.com/recipe/african-saucy-chicken-457143
African Spinach,4,"1 large onion, chopped | 1 green bell pepper, chopped | 2 tablespoons peanut oil | 1 lb fresh spinach, washed and trimmed | 1 large tomatoes, chopped | 1/2 teaspoon salt | 1/4 teaspoon pepper | 1/4 cup peanut butter, can use chunky, if desired",,https://www.food.com/recipe/african-spinach-309722
"African Spinach and Groundnut Stew (Aka Peanut, Kenya/Tanzania)",6,"1 onion, chopped | 1 chili pepper, chopped | 1 tablespoon oil | 1/2 cup peanut butter | 1 cup light coconut milk | 1 (10 ounce) package frozen chopped spinach, thawed and drained | salt","boil, saute, simmer",https://www.food.com/recipe/african-spinach-and-groundnut-stew-aka-peanut-kenya-tanzania-375912
African Spinach and Peanut Butter Stew,4,2 medium onions | 2 large tomatoes or 410 g canned tomatoes | 2 lbs spinach | 4 tablespoons peanut butter | salt | pepper | oil (for frying),"boil, fry, steam, stew",https://www.food.com/recipe/african-spinach-and-peanut-butter-stew-348276
African Style Grilled Peanut Butter Chicken,6,1 chicken (cut in serving pieces) | 1/2 cup peanut butter | 1/4 cup water (hot) | 1 tablespoon mayonnaise | 2 tablespoons lime juice | 2 tablespoons sherry wine | 1 tablespoon soy sauce | 2 garlic cloves | 1 tablespoon curry powder | 1/2 teaspoon red pepper (dried-crushed) | 1/4 cup cilantro (chopped fine) | salt & freshly ground black pepper,"grill, marinate",https://www.food.com/recipe/african-style-grilled-peanut-butter-chicken-456733
African-Style Shish Kebab,6,"8 ounces plain yogurt | 2 tablespoons lemon juice | 1 teaspoon olive oil | 1 large onion, minced | 1/2 cup chopped mint leaf | 2 tablespoons chopped fresh cilantro or 2 tablespoons fresh parsley | salt and pepper | 1/4 teaspoon cayenne pepper | 2 lbs boneless leg of lamb or 2 lbs beef sirloin, cut into cubes | 18 cherry tomatoes | 2 green peppers, cut into chunks | 18 small white onions, peeled (you can use pearl onions) | 18 medium mushrooms",grill,https://www.food.com/recipe/african-style-shish-kebab-504294
African Sweet Potato Peanut Stew,2,"4 carrots | 2 celery ribs | 1/2 cup chopped onion (or 2T minced flakes, or more of either, if desired) | 1/8 teaspoon pepper | 1/8 teaspoon turmeric | 1/8 teaspoon cinnamon | 1 1/2 teaspoons curry powder | 1/4 teaspoon clove | 1 dash cardamom (or more, if desired) | 1/8 teaspoon cayenne (optional) | 2 garlic cloves | 2 tomatoes, diced (about 8oz) | 2 sweet potatoes | 3 cups water (plus more, if needed) | 1 cup milk (cow, goat, or coconut) | 3/4 cup peanut butter | 12 ounces okra (chopped, frozen)","blend, simmer, stew",https://www.food.com/recipe/african-sweet-potato-peanut-stew-528072
African Sweet Potato Pudding,8,"1 quart water | 6 medium sweet potatoes, peeled and cut into 1/2 inch cubes (about 2 pounds) | 3 cups whole milk | 1 cup heavy cream | 1/2 cup sugar | 1/2 teaspoon powdered saffron | 1/2 teaspoon ground cardamom","boil, simmer",https://www.food.com/recipe/african-sweet-potato-pudding-457063
African Tomato Sauce,1,"3 teaspoons oil (for frying, palm oil is most authentic) | 2 medium onions, finely chopped | 1 (4 ounce) can tomato paste | 3 tomatoes, chopped and mashed | 1 bay leaf | grated nutmeg (to taste) | salt (to Taste) | cayenne pepper (to taste)","boil, fry, grill, roast, simmer",https://www.food.com/recipe/african-tomato-sauce-93298
African Tropical Fruit Salad,8,"4 cups fresh pineapple or 4 cups canned pineapple, 1/2 inch cubed | 2 medium oranges, peeled and divided into sections | 2 medium mangoes, peeled and diced | 2 bananas, cut in 1/2 inch slices | 2 tablespoons lime juice | 2 tablespoons dark brown sugar | 1 cup unsweetened coconut, shredded, toasted",,https://www.food.com/recipe/african-tropical-fruit-salad-455887
Ainsley's Spicy Casablanca Couscous,1,"2 tablespoons olive oil | 1 garlic clove, finely chopped | 1 tablespoon ground cumin | 1 teaspoon ground coriander | 1 teaspoon paprika | 350 ml chicken stock or 350 ml vegetable stock | good pinch saffron strand | 6 spring onions, trimmed and thinly sliced | 225 g couscous | 1 lemon, juice and zest of | 2 red chili, seeded and finely chopped | 50 g pine nuts, toasted","boil, fry",https://www.food.com/recipe/ainsleys-spicy-casablanca-couscous-436201
Algerian Couscous,6,"1 eggplant | 3 tablespoons olive oil | 2 onions, chopped | 1 carrot, peeled and chopped | 1 green bell pepper, seeded and chopped | 1 red pepper, seeded and chopped | 1 lb chicken thigh (4 ea) | 1 lb lamb, cut into 2-inch cubes | salt | fresh ground black pepper | 4 tomatoes, seeded and chopped | 7 ounces green beans or 7 ounces peas | 9 ounces artichoke hearts | 15 ounces chickpeas, cooked and drained (canned are fine) | 3 tablespoons unsalted butter | 3 shallots, cnopped | 3 cups chicken stock | salt | fresh ground black pepper | 1 1/2 cups couscous","boil, simmer, stew",https://www.food.com/recipe/algerian-couscous-498167
Algerian Vegetable Couscous,6,"2 tablespoons olive oil | 1 medium onion, chopped | 8 ounces mushrooms, sliced | 1 grated carrot | 2 garlic cloves, minced | 1/2 teaspoon cumin | 1/2 teaspoon ground coriander | 1 lemon, zest of | 1 lemon, juice of | 1/2 cup raisins | 1 1/4 cups chicken stock | 1 cup couscous","saute, simmer",https://www.food.com/recipe/algerian-vegetable-couscous-465251
Almond Butter and Ras-El-Hanout Pasta,1,"60 g pasta | 1 tablespoon almond butter | 1 teaspoon ras-el-hanout mixed spice | salt, to taste",boil,https://www.food.com/recipe/almond-butter-and-ras-el-hanout-pasta-417710
Aloha  Albacore Tuna Salad,5,24 ounces albacore tuna | 2 teaspoons celery seeds | 8 ounces water chestnuts | 2 celery ribs | 2 scallions | 6 ounces green apples | 4 ounces sugar | 12 ounces mayonnaise,grill,https://www.food.com/recipe/aloha-albacore-tuna-salad-335370
Aloha Cheesecake,10,"1 cup vanilla wafer crumbs | 1/4 cup margarine, melted | 16 ounces cream cheese, softened | 1/3 cup sugar | 2 tablespoons milk | 2 large eggs | 1/2 cup macadamia nuts, toasted | 8 1/2 ounces pineapple, crushed, drained | 1 medium kiwi, peeled, sliced","bake, blend",https://www.food.com/recipe/aloha-cheesecake-6787
Aloha Chicken Wings,12,"3 lbs chicken wings | 1 cup pineapple preserves | 1/2 cup dry sherry | 1/2 cup frozen orange juice concentrate | 1/2 cup soy sauce | 1/2 cup brown sugar, packed | 1/4 cup vegetable oil | 1 teaspoon garlic powder | 1 teaspoon ground ginger","bake, marinate",https://www.food.com/recipe/aloha-chicken-wings-77820
Aloha Dip,2,"1 (8 ounce) package whipped cream cheese | 1 cup crushed pineapple, drained | 1 cup flaked coconut | 1 1/4 teaspoons ground ginger | 1 tablespoon lemon juice | 1/2 cup pecans",blend,https://www.food.com/recipe/aloha-dip-36642
Aloha Meatballs,40,"1 lb ground turkey or 1 lb 96% lean ground beef | 1 cup cooked brown rice | 1 (8 ounce) can crushed pineapple with juice, drained | 1/2 cup scallion | 1 tablespoon reduced sodium soy sauce | 1 teaspoon ginger | 3/4 cup unsalted chicken stock | 1/3 cup chili sauce | 3 tablespoons rice vinegar | 2 tablespoons brown sugar | 2 teaspoons cornstarch | 1/2 teaspoon ground ginger","bake, boil",https://www.food.com/recipe/aloha-meatballs-30909
Aloha Pizza,4,"1 lb pizza dough | 1 tablespoon extra virgin olive oil | salt & pepper | 2 cups shredded mozzarella cheese | 8 ounces chopped pineapple | 1/4 cup chopped onion | 4 slices prosciutto, torn | 1 1/2 cups frisee, torn",bake,https://www.food.com/recipe/aloha-pizza-473530
Aloha! Sweet &amp; Sour Burgers,6,"1 lb 75% lean ground beef | 12 ounces Spam, grated | 6 tablespoons cold water | 1/4 cup grated sweet yellow onion | 1 1/2 tablespoons cornstarch | fine sea salt | fresh ground white pepper | 1/2 cup pineapple juice | 3 tablespoons dry sake | 3 tablespoons teriyaki sauce | 2 1/2 tablespoons brown sugar | 2 1/2 tablespoons ketchup | 4 teaspoons cornstarch | 2 teaspoons lemon juice | 1 teaspoon sriracha sauce | 1/8 teaspoon garlic powder | 1/8 teaspoon ground ginger | 1/8 teaspoon minced onion flakes | 6 slices havarti cheese | 6 slices cooked crisp bacon (optional) | 6 slices fresh pineapple, cored, trimmed, and sliced 1/2-inch thick | 6 slices sweet red onions, sliced 1/4-inch thick | 6 leaves fresh green leaf lettuce | 1 (4 ounce) can diced green chilies, drained | 6 king's original sweet hawaiian rolls | salted butter (lightly spread over bun halves)","boil, grill, roast, toast",https://www.food.com/recipe/aloha-sweet-sour-burgers-502044
Aloha! Sweet &amp; Sour Sauce,1,1/2 cup pineapple juice | 3 tablespoons dry sake | 3 tablespoons teriyaki sauce | 2 1/2 tablespoons brown sugar | 2 1/2 tablespoons ketchup | 4 teaspoons cornstarch | 2 teaspoons lemon juice | 1 teaspoon sriracha sauce | 1/8 teaspoon garlic powder | 1/8 teaspoon ground ginger | 1/8 teaspoon minced onion flakes,"boil, simmer",https://www.food.com/recipe/aloha-sweet-sour-sauce-504527
Aloha Wings,4,"1/4 cup soy sauce | 1/4 cup crushed pineapple | 1 tablespoon hoisin sauce | 1/2 teaspoon crushed red pepper flakes | 1 tablespoon apple cider vinegar | 1 tablespoon honey | 1 tablespoon light brown sugar | 5 garlic cloves, minced | 1/2 tablespoon fresh gingerroot, finely chopped | 2 tablespoons dark rum | 20 chicken wings, trimmed and split","bake, marinate",https://www.food.com/recipe/aloha-wings-315166
Apple and Mint Couscous,6,"1 zucchini, finely diced | 1 tomatoes, finely diced | 1 cup sweet peas or 1 cup snow peas | 4 garlic cloves, finely chopped | 2 tablespoons extra virgin olive oil | 1 1/2 cups chicken stock | 1 1/2 cups couscous | 1 granny smith apple, finely diced | 2 tablespoons of fresh mint, chopped | 2 tablespoons butter | salt and pepper",boil,https://www.food.com/recipe/apple-and-mint-couscous-356825
Apricot Couscous,4,"1 cup couscous | 1 small red onion, small dice | 1 1/2 cups low sodium chicken broth, warm | 1/4 cup dried apricot, coarsely chopped | 1/4 cup whole almond, toasted & coarsely chopped | 2 scallions, green parts only | 1/4 cup fresh mint leaves, roughly chopped | 1/2 bunch fresh cilantro leaves, roughly chopped plus leaves for garnish | 1 tablespoon fresh lemon juice | 1 pinch lemon zest | 1 tablespoon extra-virgin olive oil, plus extra for drizzle | kosher salt & freshly ground black pepper",saute,https://www.food.com/recipe/apricot-couscous-428496
Apricot-Dijon Mustard Chicken With Couscous,6,2 1/4 cups chicken broth | 1 (10 ounce) package couscous | 1 (12 ounce) can apricot nectar | 3 tablespoons Dijon mustard | 6 boneless skinless chicken breast halves | 2 tablespoons minced fresh basil,"boil, simmer",https://www.food.com/recipe/apricot-dijon-mustard-chicken-with-couscous-327743
Apricot Glazed Chicken and Couscous,2,"1/2 lb boneless chicken, cut into strips | 1/8 teaspoon salt | 1/4 teaspoon black pepper | 2 tablespoons olive oil | 2 tablespoons apricot preserves | 1 teaspoon balsamic vinegar | 1 cup chicken broth | 1/3 cup finely chopped dried apricot | 1/2 cup uncooked couscous","boil, simmer",https://www.food.com/recipe/apricot-glazed-chicken-and-couscous-67468
Asian Ratatouille With Couscous,4,"2 tablespoons extra virgin olive oil, plus more for drizzling | 1 small red onion, 1/4-inch diced | 1 Japanese eggplant, 1/2-inch diced, skin on | 1 red bell pepper, 1/2-inch, diced | 1 large tomatoes, 1/2-inch diced | 2 cups whole wheat instant couscous | 2 tablespoons soy sauce | 3 cups water, boiling | 12 -15 basil leaves, ripped | kosher salt, to taste | fresh ground black pepper, to taste","blend, boil, saute, steam",https://www.food.com/recipe/asian-ratatouille-with-couscous-409308
Baghrir Moroccan Yeast Pancakes,12,"3 cups milk, warm | 1 cup semolina flour | 1 1/2 cups flour | 1 1/2 teaspoons yeast | 1 pinch baking powder | 1/2 teaspoon turmeric | 1/2 cup honey | 3 tablespoons butter | 1/4 teaspoon orange flower water (optional)",blend,https://www.food.com/recipe/baghrir-moroccan-yeast-pancakes-497716
Baked Couscous Patties,15,"1 cup couscous | 2 fresh tomatoes, chopped | 1 large onion, chopped | 1 large bell pepper, chopped | 2 green chilies, chopped | 1 teaspoon cumin powder | 1 teaspoon mustard powder | 6 teaspoons yoghurt | 1 1/2 cups boiling water | 2 teaspoons olive oil | 2 tablespoons dried oregano | 1 1/2 teaspoons salt (adjust to taste)","bake, boil, saute",https://www.food.com/recipe/baked-couscous-patties-470243
Baked Couscous With Tomato and Pesto,4,"10 roma tomatoes, halved | 2 tablespoons thyme leaves | 2 tablespoons olive oil | salt and pepper | 1 1/2 cups couscous | 1 1/2 cups chicken stock | 60 g baby spinach leaves, chopped | 1/2 cup pine nuts, toasted | 1/2 cup parmesan cheese, grated | 1/2 cup olive oil | 2 tablespoons lemon juice | salt and pepper",roast,https://www.food.com/recipe/baked-couscous-with-tomato-and-pesto-398307
Balsamic-Agave Tofu With Beet Infused Couscous,2,"1 1/2 lbs tofu, sliced into 6 thin slabs and pressed for at least an hour | 12 spears fresh asparagus | 1/2 cup balsamic vinegar | 2 tablespoons soy sauce | 1 tablespoon agave nectar | 1 teaspoon fresh thyme, crushed between your fingers | 5 garlic cloves, grated on a mircoplane grater | 2 tablespoons olive oil | salt and pepper | 1 cup of fresh beet, skinned and cubed into 1/2 inch pieces | 1/2 cup red onion, finely diced | 3 tablespoons olive oil | salt and pepper | 1/2 cup large pearl couscous | 1 cup water | white pepper","bake, boil, saute, simmer",https://www.food.com/recipe/balsamic-agave-tofu-with-beet-infused-couscous-447762
Balsamic Chicken With Garlic Couscous,4,"4 chicken breasts | 1/3 cup balsamic vinegar | 1/2 cup chicken stock | 2 tablespoons sugar | 1 clove garlic, crushed | 1 1/2 cups couscous | 2 1/4 cups boiling chicken stock | 2 ounces butter (I use a non dairy margarine) | 4 cloves garlic, sliced | 2 tablespoons fresh thyme","boil, fry, marinate, saute",https://www.food.com/recipe/balsamic-chicken-with-garlic-couscous-90485
Banana Akara (African Banana Fritters),12,"6 bananas, well ripened | 1 cup flour | 1/4 cup sugar | 1/4 cup water | 1 teaspoon nutmeg","blend, fry",https://www.food.com/recipe/banana-akara-african-banana-fritters-456059
Basic Ghanaian Gravy,4,"2 medium onions, diced | 8 tomatoes, Romas preferred | 1/2 cup vegetable oil | 1 teaspoon cayenne pepper | 1 teaspoon seasoning salt | 1/2 teaspoon thyme | 1 green pepper, diced (optional)","fry, saute",https://www.food.com/recipe/basic-ghanaian-gravy-307943
Batata Harra With Ras El Hanout,6,"1 kg potatoes, peeled, cut into 2cm chunks or 1 1/4 lbs potatoes, cut into 3/4 inch chunks | 2 red bell peppers, cut in 2cm pieces (3/4 inch) | 12 garlic cloves, peeled | 20 g coriander, chopped coarsely or 2/3 ounce coriander | 2 teaspoons ras el hanout spice mix | 3 tablespoons olive oil | 2 teaspoons flaked sea salt | 2 teaspoons crushed dried red chilies | 1 lemon, juice and zest of",boil,https://www.food.com/recipe/batata-harra-with-ras-el-hanout-494977
Beef Chapatis (African Version of Tacos),4,"2 1/2 cups all-purpose flour (plus more if needed) | 1 cup water | salt, a pinch | 4 tablespoons olive oil, -divided | all-purpose flour, for dusting | 1/2 cup white onion, diced | 3 garlic cloves, peeled and minced | 2 tablespoons olive oil | 2 small red chilies, minced (can sub jalapenos. ribs and seeds removed) | 1 lb ground beef | salt and black pepper, to taste | shredded lettuce | chopped tomato | shredded cheese | sour cream","knead, saute",https://www.food.com/recipe/beef-chapatis-african-version-of-tacos-456965
