recipe_id,recipe_name,servings,ingredients,source_url,strategy_used
419,Fried Sweet Plantains,4,2-3 rip plantains | vegetable oil as needed | salt to taste,https://www.africanbites.com/fried-plantains/,wprm
420,Fufu Recipe,4,1 medium cassava tuber | 2 fingers green plantain | water (enough to just cover the cassava and plantain) | 1 teaspoon salt (optional),https://www.africanbites.com/fufu-recipe/,wprm
431,"Homemade Akamu (Pap, Ogi, Corn Porridge)",2,10 corn on the cob | water for soaking | water for simmering | sugar or milk to taste,https://www.africanbites.com/homemade-akamupap-ogi-corn-porridge/,wprm
483,Plantain Flour,4,2-3 green plantains per cup of flour,https://www.africanbites.com/plantain-flour/,wprm
489,Pounded Yam,5,2-3 pounds (907-1360g) Ghana yams | Water,https://www.africanbites.com/pounded-yam/,wprm
509,Ugali (Corn Fufu),4,4 cups (945ml) water or more | 1/2-1 teaspoon salt | 2 cups (300g) fine cornmeal,https://www.africanbites.com/ugali-corn-fufu/,wprm
528,African Breeze,1,1 3/4 ounces Amarula cream liqueur | 3/4 ounce cointreau orange liqueur | brown sugar | ice,https://www.food.com/recipe/african-breeze-457151,jsonld
534,African Coffee Cooler,1,"1/2 ounce Kahlua | 1/2 ounce Amaretto | 4 ounces coffee, chilled | 1/2 cup chocolate ice cream",https://www.food.com/recipe/african-coffee-cooler-456087,jsonld
536,African Fruit Salad,1,"avocado | banana | guava | mango | melon | papaya | peach | pear | pineapple | 1 lemon, juice of | fresh grated coconut or chopped roasted peanuts, to garnish | honey (optional) or sugar (optional)",https://www.food.com/recipe/african-fruit-salad-455976,jsonld
588,Berbere Spiced Chickpeas &amp; Sweet Potato,8,"1 . set 3-4 sweet potato | 2 . set 1/2 tsp coconut oil | 3 . set 1/2 red onions, sliced | 4 . set 1 tbsp ginger, finely grated | 5 . set 1 tbsp rawspicebar's berbere | 6 . set 1 cup cooked chickpeas | 7 . set 1 cups Baby Spinach",https://www.food.com/recipe/berbere-spiced-chickpeas-sweet-potato-526262,jsonld
601,Camar&otilde;es Piri-Piri (Angola),4,"2 lbs shrimp, peeled and deveined | 1/2 cup peri-peri, sauce | 6 garlic cloves, minced",https://www.food.com/recipe/camar-es-piri-piri-angola-466888,jsonld
613,Chapatis (Indian or Kenyan Wholewheat Flatbread),8,"1 1/2 cups whole wheat flour, plus extra for kneading and rolling out dough | 1 teaspoon salt | 1 cup water",https://www.food.com/recipe/chapatis-indian-or-kenyan-wholewheat-flatbread-356829,jsonld
699,Doro Wot (Ethiopian National Chicken Dish),12,"2 lbs skinless chicken legs | lemon juice | 2 large red onions, finely chopped | 1 1/2 cups berbere (Ethiopian spice mixture) | 1 cup <a href=""https://www.food.com/recipe/niter-kibbeh-ethiopian-spiced-butter-532825"">Niter Kibbeh: Ethiopian Spiced Butter</a> recipe to make butter, for serving | 1/2 cup fresh garlic, finely ground | 1/2 cup fresh ginger, finely ground | 6 peeled hard-boiled eggs | salt | use <a href=""https://www.food.com/recipe/injera-fermented-sourdough-bread-532832"">Injera (Fermented Sourdough Bread)</a> recipe to make bread, for serving",https://www.food.com/recipe/doro-wot-ethiopian-national-chicken-dish-532837,jsonld
702,East African Cardamom Tea,1,"cold water (three to six cups) | 3 -4 teaspoons tea (Earl Grey, English Breakfast, Irish Breakfast, etc.) | 6 green cardamom pods, bruised | honey or sugar, to taste | milk (I use homemade almond milk to be dairy free)",https://www.food.com/recipe/east-african-cardamom-tea-455974,jsonld
710,Emeril Lagasse's Moroccan Mint Tea,4,"4 teaspoons green tea leaves or 4 teaspoons moroccan tea | 24 fresh spearmint, plus more for garnish | 4 -5 tablespoons sugar (to taste) | 1 quart boiling water",https://www.food.com/recipe/emeril-lagasses-moroccan-mint-tea-505571,jsonld
732,Buttery Mashed Yams,6,3 lbs yams (or malanga or cocoyam or green plantains) | 2 tablespoons butter or 2 tablespoons margarine | salt | pepper,https://www.food.com/recipe/fufu-310286,jsonld
772,"Israeli Couscous, Tomato and Mozzarella Salad",6,"2 cups fresh cherry tomatoes | 1 (8 ounce) container fresh perline mozzarella cheese | 2 tablespoons extra virgin olive oil | 1 teaspoon balsamic vinegar | 1/2 teaspoon salt | 1/4 teaspoon fresh ground black pepper | 1 garlic clove, crushed and minced | 1 (8 ounce) box israeli couscous | 1/4 cup chopped fresh basil | basil leaves, for garnish",https://www.food.com/recipe/israeli-couscous-tomato-and-mozzarella-salad-389857,jsonld
782,Kahawa - Ethiopian Coffee,4,"2 cardamom pods, lightly bruised | 60 g ground coffee | 1 lt water",https://www.food.com/recipe/kahawa-ethiopian-coffee-456986,jsonld
785,Kenkey,3,"2 pepper | 2 onions | 12 ounces , sardine | two tomatoes | 1 tablespoon salt | 2 tilapia fillets | sardine oil | 2 green peppers",https://www.food.com/recipe/kenkey-528961,jsonld
790,Key Wat (Spicy Ethiopian Stewed Beef),8,"1 set 1 tbsp rawspicebar's freshly ground berbere | 2 set 1 tbsp rawspicebar's freshly ground berbere | 3 set 1 lb stewing beef, cut into 1 inch cubes | 4 set 2 tbsp canola oil, separated | 5 set 1 onions, diced | 6 set 2 garlic cloves, minced | 7 set 1 tbsp rawspicebar's freshly ground berbere | 8 set 1 cup chopped canned tomatoes | 9 set 1/2 tsp sugar | 10 set 2 cups beef stock (or 2 cups water and a beef bullion) | 11 . set salt & pepper, to season beef",https://www.food.com/recipe/key-wat-spicy-ethiopian-stewed-beef-524592,jsonld
806,Lebanese Lamb Kefta (Lamb Kabobs),8,"1/2 brown onion, grated | 1/4 cup seasoned breadcrumbs | 3 garlic cloves, minced | 2 tablespoons finely chopped fresh parsley | 1 tablespoon finely chopped of fresh mint | 1/2 teaspoon salt | 1/2 teaspoon seven-spice mix (recipe follows) | 1 egg, beaten | 1 lb ground lamb",https://www.food.com/recipe/lebanese-lamb-kefta-lamb-kabobs-437869,jsonld
835,Mesfouf Qsentena - Sweet Couscous With Dates &amp; Nuts,6,"1 kg fine couscous, cooked (preferably steamed) | 300 g walnuts (or other nuts) | 200 g dates | 80 -100 g butter, softened | 80 -100 g ghee | 1/2 teaspoon salt | sugar",https://www.food.com/recipe/mesfouf-qsentena-sweet-couscous-with-dates-nuts-387392,jsonld
842,Misr Wot (Ethiopian Spicy Lentil Stew),8,"1 set 1 1/2 tbsp rawspicebar's freshly ground berbere | 2 . set 1 cup red lentils | 3 . set 1 yellow onions, diced | 4 . set 4 garlic cloves, minced | 5 set 2 tbsp canola oil | 6 set 1 inch fresh ginger, minced | 7 set 1 cup canned chopped tomatoes | 8 set kosher salt & pepper, to taste | 9 set 2 cups vegetable broth (we love Saffron Road's Vegetable Broth) | 10 set yogurt & cilantro (to garnish) (optional)",https://www.food.com/recipe/misr-wot-ethiopian-spicy-lentil-stew-524591,jsonld
864,Moroccan Carrot Salad With Dates and Yogurt (Vegan-Friendly),4,"6 -8 carrots, grated (I used standard orange, indigo and yellow carrots) | 1/4 cup sliced almonds, toasted (walnuts, pistachios, pine nuts, hazelnuts are good substitutes) | 3 large dates, chopped small (I used a combo of medjool and deglet noor dates) | lettuce leaf | 1 lemon, juice and zest of | 1 -2 tablespoon honey (Local honey is best! I had to warm the honey a little to make it easier to whisk.) | 2 tablespoons extra virgin olive oil | 1 -2 teaspoon orange flower water, to taste | 1 teaspoon ras el hanout spice mix | 1/4 cup greek style plain yogurt | 3 -4 tablespoons of fresh mint, minced (save a few leaves for garnish)",https://www.food.com/recipe/moroccan-carrot-salad-with-dates-and-yogurt-vegan-friendly-480925,jsonld
871,Moroccan Charoset Balls,3,2 cups pitted dates | 1/2 cup golden raisin | 1/2 cup dark raisin | 1/2 cup walnuts | 1 -2 tablespoon sweet red passover wine,https://www.food.com/recipe/moroccan-charoset-balls-87724,jsonld
919,Moroccan Daydream Coffee,1,"1 tablespoon ground coffee (or any amount you prefer for a single cup) | 1/2 teaspoon ras el hanout spice mix (or to your own spice level liking) | sugar (as and if you like, can use honey, Splenda, anything or nothing)",https://www.food.com/recipe/moroccan-daydream-coffee-507584,jsonld
936,Moroccan Grape Juice,1,"1 quart concord grape juice (or white grape juice) | 2 tablespoons sugar (I used honey) or 2 tablespoons honey, to taste (I used honey) | 2 tablespoons orange blossom water (do not omit) | 1/4 teaspoon cinnamon, to taste (original recipe specified 1 teaspoon) or 1/2 small whole cinnamon stick | ice cube | of fresh mint, for garnish",https://www.food.com/recipe/moroccan-grape-juice-505443,jsonld
956,Moroccan Marinated Lamb Blade Chops,8,"32 ounces kefir or 32 ounces whole milk plain yogurt | 1/3 cup ras el hanout spice mix, plus more (about 1.6 ounce jar, for serving) | 8 smashed garlic cloves | 3 tablespoons kosher salt | 8 1/2 inches thick lamb blade chops | cilantro leaves and thinly sliced scallion (for serving) | vegetable oil (for brushing)",https://www.food.com/recipe/moroccan-marinated-lamb-blade-chops-536448,jsonld
964,Moroccan Mint Tea,3,"gunpowder tea (or any green tea) | boiling water | of fresh mint (prefer short leaf bunch, with less stem) | sugar, to taste",https://www.food.com/recipe/moroccan-mint-tea-505563,jsonld
983,Moroccan Preserved Lemons,1,6 -8 meyer lemons (as many as will fit in your jar) | kosher salt,https://www.food.com/recipe/moroccan-preserved-lemons-308919,jsonld
1018,Moroccan Spiced Nuts,3,"1 cup cashews, unsalted | 1 cup peanuts, unsalted | 1 cup pistachios, unsalted | 3 tablespoons ras el hanout spice mix | 1 tablespoon salt | juice of one lime",https://www.food.com/recipe/moroccan-spiced-nuts-505616,jsonld
1105,Piri Piri Dressing,4,"6 small red chilies, chopped | 2 garlic cloves, chopped | 1 lemon, juice of | 1 pinch salt | 3 1/2 ounces extra virgin olive oil",https://www.food.com/recipe/piri-piri-dressing-367617,jsonld
1118,Pumpkin Spice Dabo Kolo (Ethiopian Pumpkin Spice Ricotta Donuts),8,"1 set 1/2 tbsp rawspicebar's freshly ground pumpkin spice | 2 set 1/2 pound ricotta cheese | 3 set 2 eggs | 4 set 1/3 cup unbleached all-purpose flour | 5 set 1/4 teaspoon fine sea salt | 6 set 1 1/2 tablespoons butter, softened | 7 set 1/2 cup honey | 8 set vegetable oil, for frying",https://www.food.com/recipe/pumpkin-spice-dabo-kolo-ethiopian-pumpkin-spice-ricotta-donuts-524594,jsonld
1126,Ras El Hanout Roasted Potatoes,4,"500 g white potatoes | 1 lemon | 2 garlic cloves, crushed | 2 tablespoons ras el hanout spice mix | olive oil",https://www.food.com/recipe/ras-el-hanout-roasted-potatoes-505620,jsonld
1144,Salmon With Couscous,2,"2 (4 ounce) salmon fillets, 1-inch thick | 1/4 teaspoon lemon pepper or 1/4 teaspoon black pepper | 1 teaspoon low sodium soy sauce | 4 orange slices, thin | 1 cup broccoli floret (very small pieces) | 1/2 cup low sodium chicken broth | 1/3 cup water | 1 garlic clove, minced | 1/8 teaspoon salt | 1/2 cup regular couscous or 1/2 cup whole wheat couscous",https://www.food.com/recipe/salmon-with-couscous-501908,jsonld
1153,Shaah Bigays - Somali Spice Tea,2,3 cloves | 1 cinnamon stick | 3 peppercorns | 2 tea bags or 2 loose tea | 4 cups water | 2 -3 teaspoons sugar,https://www.food.com/recipe/shaah-bigays-somali-spice-tea-456985,jsonld
1171,Somalian tea,1,"1/2 teaspoon freshly grated nutmeg | 2 crushed cardamom pods | 5 cloves, crushed | 1 inch cinnamon stick, crushed",https://www.food.com/recipe/somalian-tea-50407,jsonld
1181,South African Creamy Delight,1,1 fluid ounce vodka | 2 ounces Amarula cream liqueur | 2 ounces irish cream (Bailey's) | 2 ounces Amaretto (Disaronno) | 1 fluid ounce Kahlua,https://www.food.com/recipe/south-african-creamy-delight-309558,jsonld
1269,Tsiren Dakakken Nama - Nigerian Kofta,4,"500 g lean ground beef | 1 teaspoon ground dried chile | 1 onion, finely chopped | 1 egg, beaten | 2 tablespoons fresh coriander, chopped | 1 teaspoon nutmeg, ground | salt | oil, for brushing",https://www.food.com/recipe/tsiren-dakakken-nama-nigerian-kofta-455421,jsonld
1280,Weight Watchers Ethiopian Fruit Salad,4,"1 1/2 cups seedless grapes | 1 ripe mango, peeled and cut in pieces | 1 navel orange, peel removed and cut in sections | 1 small ripe papaya, peeled and cut in pieces | 1 banana, sliced",https://www.food.com/recipe/weight-watchers-ethiopian-fruit-salad-306295,jsonld
1291,West African Peanut Stew,4,"1 teaspoon canola oil or 1 teaspoon peanut oil | 1 onion, finely chopped | 1 -2 garlic clove, minced | 1 1/2 tablespoons fresh ginger, grated | 1 jalapeno pepper, diced (or serrano if you like it more spicy) | 2 chicken breasts, finely chopped | 2 -3 medium tomatoes, chopped | 1 carrot, peeled and grated | 1/2-1 teaspoon turmeric | 1 teaspoon berbere, spice powder (or cayenne) | 1/2 teaspoon ground cloves | black pepper, to taste | 1 -2 teaspoon sugar | 3 -4 cups water or 3 -4 cups broth | 1/2-1 cup crunchy peanut butter (adjust to taste) | peanuts, for garnish (optional) | 1 dash lemons (optional) or 1 dash lime juice (optional)",https://www.food.com/recipe/west-african-peanut-stew-438533,jsonld
