recipe_title,servings,ingredients,cooking_methods,source_url
Moroccan-Spiced Pork Roast,12,"1 (3 pound) boneless pork loin roast | 5 teaspoons kosher salt | 2 tablespoons olive oil | 2 teaspoons ground cumin | 1 teaspoon ground coriander | 1 teaspoon ground ginger | 1 teaspoon freshly ground black pepper | 1 teaspoon smoked paprika | 1/4 teaspoon cayenne pepper | 1/2 teaspoon ground cinnamon | 1/4 teaspoon ground cloves | 1/4 teaspoon ground allspice | 3 tablespoons honey, or as needed | 8  baby potatoes | 2  carrots, cut into 2-inch chunks | 2  Anaheim chile peppers, halved and seeded | 1  red onion, roughly chopped | 2 tablespoons olive oil | salt to taste | 1/2 cup plain Greek yogurt | 2 tablespoons thinly sliced fresh mint | 1 clove garlic, finely crushed","roast, smoke",https://www.allrecipes.com/recipe/277576/moroccan-spiced-pork-roast/
Moroccan Beef and Lentil Stew,6,"2 tablespoons vegetable oil | 2  carrots, chopped | 1  celery stalk, chopped | 1  onion, chopped | 4 cloves garlic, minced | 1 1/2 pounds chuck roast, cut into 1-inch cubes | 1 teaspoon salt, or to taste | 1 teaspoon ground turmeric | 1 teaspoon onion powder | 1 teaspoon garlic powder | 1/2 teaspoon ground black pepper, or to taste | 1/2 teaspoon ground cinnamon | 1/2 teaspoon ground ginger | 1/2 teaspoon ground cumin | 1/2 teaspoon ground coriander | 1/4 teaspoon ground allspice | 3 tablespoons tomato paste | 4 cups low-sodium beef broth | 1 tablespoon molasses | 2  bay leaves | 1 cup dried red lentils | 1/2 cup dried apricots, chopped | 1/2  lemon, juiced","simmer, stew",https://www.allrecipes.com/recipe/278891/moroccan-beef-and-lentil-stew/
Harissa Paste,4,"12  mild to medium hot red chile peppers | 1 teaspoon extra-virgin olive oil | 1 teaspoon caraway seeds | 1/2 teaspoon coarsely ground cumin seeds | 1/2 teaspoon coarsely ground coriander | 3 large garlic cloves, finely chopped | 1/4 cup extra-virgin olive oil, or more as desired | salt to taste","bake, fry, toast",https://www.allrecipes.com/recipe/279059/harissa-paste/
African Curry,4,"1 tablespoon olive oil | 1  onion, chopped | 2 cloves garlic, peeled and chopped | 1  bay leaf | 1 (14.5 ounce) can whole peeled tomatoes, drained | 2 teaspoons curry powder | 1/8 teaspoon salt | 1 (2 to 3 pound) whole chicken, bones and skin removed, cut into pieces | 1 (14 ounce) can unsweetened coconut milk | 1  lemon, juiced","blend, saute",https://www.allrecipes.com/recipe/47439/african-curry/
Sambusa,24,"2 tablespoons olive oil | 1 small onion, finely chopped | 1  leek, washed and chopped | 1 clove garlic, minced | 2 pounds ground beef | 2 teaspoons ground cumin | 2 teaspoons ground cardamom | 1 teaspoon salt | 1 teaspoon pepper | 1 tablespoon all-purpose flour | 1 tablespoon water, or as needed | 1 (14 ounce) package spring roll wrappers | 1 quart oil for frying, or as needed","deep fry, fry",https://www.allrecipes.com/recipe/53603/sambusa/
African Sweet Potato and Peanut Soup,6,"1 tablespoon vegetable oil | 1 large onion, chopped | 2 cloves garlic, minced | 2 teaspoons minced fresh ginger root | 1 1/2 teaspoons ground cumin | 1 1/2 teaspoons ground coriander | 1/2 teaspoon ground cinnamon | 1 pinch ground cloves | 3 medium tomatoes, chopped | 1 1/2 pounds sweet potatoes, peeled and chopped | 1  carrot, peeled and chopped | 4 1/2 cups water | 1 teaspoon salt | 1/4 cup chopped, unsalted dry-roasted peanuts | 1 pinch cayenne pepper | 2 tablespoons creamy peanut butter | 1 bunch chopped fresh cilantro","blend, boil, saute, simmer",https://www.allrecipes.com/recipe/55207/african-sweet-potato-and-peanut-soup/
South African Malvapoeding (Marshmallow Pudding),10,"1/2 cup milk | 2 tablespoons unsalted butter | 1 teaspoon distilled white vinegar | 1 1/3 cups cake flour | 1 teaspoon baking soda | 1 pinch salt | 1 cup superfine sugar | 2  eggs | 1 tablespoon apricot jelly | 1 cup heavy cream | 1/2 cup unsalted butter | 1/2 cup white sugar | 1/2 cup water, orange juice, or sherry","bake, boil",https://www.allrecipes.com/recipe/58465/south-african-malvapoeding-marshmallow-pudding/
Fufu,10,"4  yucca (cassava) roots, peeled and sliced | 5 medium yellow plantains, with peels on | 1/2 cup butter, or more as needed",boil,https://www.allrecipes.com/recipe/60516/fufu/
Tomato Bredie,6,"1 tablespoon vegetable oil | 3 1/2 pounds lamb or mutton breast chops, chopped into portions | 2 tablespoons cake flour | 1 large onion, chopped | 2 1/4 pounds fresh tomatoes, chopped | 1 tablespoon white vinegar | 2  bay leaves | 1 cube beef bouillon cube | 1 teaspoon salt | 1 teaspoon brown sugar | 6  whole white peppercorns | 1/2 teaspoon freshly ground black pepper | 1 dash Worcestershire sauce | 2 medium potatoes, quartered (Optional)",simmer,https://www.allrecipes.com/recipe/68735/tomato-bredie/
Homemade Peri Peri Chicken,4,"1 cup fresh lemon juice | 1/4 cup paprika | 2 tablespoons hot chili powder | 3 cloves garlic, minced | 1 1/2 teaspoons chopped fresh ginger | 1 1/2 teaspoons salt | 4  bone-in chicken breast halves","grill, marinate",https://www.allrecipes.com/recipe/72064/peri-peri-african-chicken/
Umm Ali,8,"1  frozen puff pastry, thawed | 1/4 cup raisins | 1/4 cup slivered almonds | 1/4 cup pine nuts | 1/4 cup chopped pistachio nuts | 1/4 cup sweetened, flaked coconut | 5 cups milk | 1 cup white sugar | 1 teaspoon vanilla extract","bake, boil, broil",https://www.allrecipes.com/recipe/73059/umm-ali/
West African Peanut Soup,10,"2 tablespoons olive oil | 2 medium onions, chopped | 2 large red bell peppers, chopped | 4 cloves garlic, minced | 8 cups vegetable broth or stock | 1 (28 ounce) can crushed tomatoes, with liquid | 1/4 teaspoon freshly ground black pepper | 1/4 teaspoon chili powder (Optional) | 2/3 cup extra crunchy peanut butter | 1/2 cup uncooked brown rice","blend, simmer",https://www.allrecipes.com/recipe/73090/african-peanut-soup/
South African Melktert (Milk Tart),8,"cooking spray | 1 cup white sugar | 3 tablespoons butter, melted | 3  egg yolks | 1 cup cake flour | 1 teaspoon baking powder | 1/4 teaspoon salt | 4 cups milk | 1 teaspoon vanilla extract | 3  egg white | 1 tablespoon cinnamon sugar","bake, blend",https://www.allrecipes.com/recipe/80160/south-african-melktert-milk-tart/
Sweet and Nutty Moroccan Couscous,6,"2 cups vegetable broth | 5 tablespoons unsalted butter | 1/3 cup chopped dates | 1/3 cup chopped dried apricots | 1/3 cup golden raisins | 2 cups dry couscous | 3 teaspoons ground cinnamon | 1/2 cup slivered almonds, toasted","bake, boil, toast",https://www.allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous/
Middle Eastern White Beans,6,"1 1/2 cups dried white kidney beans, soaked overnight | 3 tablespoons tomato paste | 1 tablespoon red pimento sauce | 3 cloves garlic, chopped | 3 medium onions, chopped | 1 tablespoon lemon juice | 1 teaspoon ground cumin | 2 tablespoons olive oil | salt and pepper to taste | 1 (14.5 ounce) can beef broth","simmer, slow cook",https://www.allrecipes.com/recipe/82184/middle-eastern-white-beans/
