recipe_id,recipe_name,servings,ingredient_coverage_pct,recipe_url,cuisine,ingredients,ingredient_count
419,FRIED SWEET PLANTAINS,4,0.0,https://www.africanbites.com/fried-plantains/,,rip plantain ; vegetable oil ; salt,3
420,FUFU RECIPE,4,0.0,https://www.africanbites.com/fufu-recipe/,,cassava tuber ; finger green plantain ; water ; salt,4
431,"HOMEMADE AKAMU (PAP, OGI, CORN PORRIDGE)",2,0.0,https://www.africanbites.com/homemade-akamupap-ogi-corn-porridge/,,corn cob ; water ; water ; sugar milk,4
483,PLANTAIN FLOUR,4,0.0,https://www.africanbites.com/plantain-flour/,,green plantain per flour,1
489,POUNDED YAM,5,0.0,https://www.africanbites.com/pounded-yam/,,ghana yam ; water,2
509,UGALI (CORN FUFU),4,0.0,https://www.africanbites.com/ugali-corn-fufu/,,water ; salt ; fine cornmeal,3
528,AFRICAN BREEZE,1,0.0,https://www.food.com/recipe/african-breeze-457151,,amarula cream liqueur ; cointreau orange liqueur ; brown sugar ; ice,4
534,AFRICAN COFFEE COOLER,1,0.0,https://www.food.com/recipe/african-coffee-cooler-456087,,kahlua ; amaretto ; coffee ; chocolate ice cream,4
536,AFRICAN FRUIT SALAD,1,0.0,https://www.food.com/recipe/african-fruit-salad-455976,,avocado ; banana ; guava ; mango ; melon ; papaya ; peach ; pear ; pineapple ; lemon ; coconut roasted peanut ; honey sugar,12
588,BERBERE SPICED CHICKPEAS &AMP; SWEET POTATO,8,0.0,https://www.food.com/recipe/berbere-spiced-chickpeas-sweet-potato-526262,,set sweet potato ; set coconut oil ; set red onion ; set ginger ; set rawspicebar berbere ; set cooked chickpea ; set baby spinach,7
601,CAMAR&OTILDE;ES PIRI-PIRI (ANGOLA),4,0.0,https://www.food.com/recipe/camar-es-piri-piri-angola-466888,,shrimp ; peri-peri ; garlic,3
613,CHAPATIS (INDIAN OR KENYAN WHOLEWHEAT FLATBREAD),8,33.3,https://www.food.com/recipe/chapatis-indian-or-kenyan-wholewheat-flatbread-356829,,wheat flour ; salt ; water,3
699,DORO WOT (ETHIOPIAN NATIONAL CHICKEN DISH),12,0.0,https://www.food.com/recipe/doro-wot-ethiopian-national-chicken-dish-532837,,skinles chicken leg ; lemon juice ; red onion ; berbere ; href http www food com recipe niter-kibbeh-ethiopian-spiced-butter- niter kibbeh ethiopian spiced butter recipe make butter ; garlic ; ginger ; hard-boiled egg ; salt ; use href http www food com recipe injera-fermented-sourdough-bread- injera recipe make bread,10
702,EAST AFRICAN CARDAMOM TEA,1,0.0,https://www.food.com/recipe/east-african-cardamom-tea-455974,,cold water ; tea earl grey ; green cardamom pod ; honey sugar ; milk,5
710,EMERIL LAGASSE'S MOROCCAN MINT TEA,4,0.0,https://www.food.com/recipe/emeril-lagasses-moroccan-mint-tea-505571,,green tea leave moroccan tea ; spearmint ; sugar ; quart boiling water,4
732,BUTTERY MASHED YAMS,6,0.0,https://www.food.com/recipe/fufu-310286,,yam ; butter margarine ; salt ; pepper,4
772,"ISRAELI COUSCOUS, TOMATO AND MOZZARELLA SALAD",6,0.0,https://www.food.com/recipe/israeli-couscous-tomato-and-mozzarella-salad-389857,,cherry tomato ; container perline mozzarella cheese ; extra virgin olive oil ; balsamic vinegar ; salt ; black pepper ; garlic ; box israeli couscous ; basil ; basil leave,10
782,KAHAWA - ETHIOPIAN COFFEE,4,0.0,https://www.food.com/recipe/kahawa-ethiopian-coffee-456986,,cardamom pod ; coffee ; lt water,3
785,KENKEY,3,0.0,https://www.food.com/recipe/kenkey-528961,,pepper ; onion ; two tomato ; salt ; tilapia fillet ; sardine oil ; green pepper,7
790,KEY WAT (SPICY ETHIOPIAN STEWED BEEF),8,0.0,https://www.food.com/recipe/key-wat-spicy-ethiopian-stewed-beef-524592,,set rawspicebar berbere ; set rawspicebar berbere ; set stewing beef ; set canola oil ; set onion ; set garlic ; set rawspicebar berbere ; set tomato ; set sugar ; set beef stock ; set salt pepper,11
806,LEBANESE LAMB KEFTA (LAMB KABOBS),8,0.0,https://www.food.com/recipe/lebanese-lamb-kefta-lamb-kabobs-437869,,brown onion ; seasoned breadcrumb ; garlic ; parsley ; mint ; salt ; seven-spice mix ; egg ; lamb,9
835,MESFOUF QSENTENA - SWEET COUSCOUS WITH DATES &AMP; NUTS,6,0.0,https://www.food.com/recipe/mesfouf-qsentena-sweet-couscous-with-dates-nuts-387392,,fine couscous ; walnut ; date ; butter ; ghee ; salt ; sugar,7
842,MISR WOT (ETHIOPIAN SPICY LENTIL STEW),8,0.0,https://www.food.com/recipe/misr-wot-ethiopian-spicy-lentil-stew-524591,,set rawspicebar berbere ; set red lentil ; set yellow onion ; set garlic ; set canola oil ; set ginger ; set tomato ; set kosher salt pepper ; set vegetable broth ; set yogurt cilantro,10
864,MOROCCAN CARROT SALAD WITH DATES AND YOGURT (VEGAN-FRIENDLY),4,0.0,https://www.food.com/recipe/moroccan-carrot-salad-with-dates-and-yogurt-vegan-friendly-480925,,carrot ; almond ; date ; lettuce leaf ; lemon ; honey ; extra virgin olive oil ; orange flower water ; ras el hanout spice mix ; greek style plain yogurt ; mint,11
871,MOROCCAN CHAROSET BALLS,3,0.0,https://www.food.com/recipe/moroccan-charoset-balls-87724,,date ; golden raisin ; dark raisin ; walnut ; sweet red passover wine,5
919,MOROCCAN DAYDREAM COFFEE,1,0.0,https://www.food.com/recipe/moroccan-daydream-coffee-507584,,coffee any amount you prefer ; ras el hanout spice mix ; sugar as if you like,3
936,MOROCCAN GRAPE JUICE,1,0.0,https://www.food.com/recipe/moroccan-grape-juice-505443,,quart concord grape juice ; sugar honey ; orange blossom water ; cinnamon ; ice cube ; mint,6
956,MOROCCAN MARINATED LAMB BLADE CHOPS,8,0.0,https://www.food.com/recipe/moroccan-marinated-lamb-blade-chops-536448,,kefir ounce milk plain yogurt ; ras el hanout spice mix ; smashed garlic ; kosher salt ; inche thick lamb blade chop ; cilantro leave scallion ; vegetable oil,7
964,MOROCCAN MINT TEA,3,0.0,https://www.food.com/recipe/moroccan-mint-tea-505563,,gunpowder tea ; boiling water ; mint prefer short leaf ; sugar,4
983,MOROCCAN PRESERVED LEMONS,1,0.0,https://www.food.com/recipe/moroccan-preserved-lemons-308919,,meyer lemon ; kosher salt,2
1018,MOROCCAN SPICED NUTS,3,0.0,https://www.food.com/recipe/moroccan-spiced-nuts-505616,,cashew ; peanut ; pistachio ; ras el hanout spice mix ; salt ; juice one lime,6
1105,PIRI PIRI DRESSING,4,0.0,https://www.food.com/recipe/piri-piri-dressing-367617,,red chily ; garlic ; lemon ; salt ; extra virgin olive oil,5
1118,PUMPKIN SPICE DABO KOLO (ETHIOPIAN PUMPKIN SPICE RICOTTA DONUTS),8,0.0,https://www.food.com/recipe/pumpkin-spice-dabo-kolo-ethiopian-pumpkin-spice-ricotta-donuts-524594,,set rawspicebar pumpkin spice ; set ricotta cheese ; set egg ; set unbleached all-purpose flour ; set fine sea salt ; set butter ; set honey ; set vegetable oil,8
1126,RAS EL HANOUT ROASTED POTATOES,4,0.0,https://www.food.com/recipe/ras-el-hanout-roasted-potatoes-505620,,white potato ; lemon ; garlic ; ras el hanout spice mix ; olive oil,5
1144,SALMON WITH COUSCOUS,2,10.0,https://www.food.com/recipe/salmon-with-couscous-501908,,salmon fillet ; lemon pepper black pepper ; low sodium soy sauce ; orange ; broccoli floret ; low sodium chicken broth ; water ; garlic ; salt ; regular couscous wheat couscous,10
1153,SHAAH BIGAYS - SOMALI SPICE TEA,2,20.0,https://www.food.com/recipe/shaah-bigays-somali-spice-tea-456985,,cinnamon stick ; peppercorn ; tea bag loose tea ; water ; sugar,5
1171,SOMALIAN TEA,1,0.0,https://www.food.com/recipe/somalian-tea-50407,,nutmeg ; cardamom pod ; inch cinnamon stick,3
1181,SOUTH AFRICAN CREAMY DELIGHT,1,0.0,https://www.food.com/recipe/south-african-creamy-delight-309558,,fluid ounce vodka ; amarula cream liqueur ; irish cream ; amaretto ; fluid ounce kahlua,5
1269,TSIREN DAKAKKEN NAMA - NIGERIAN KOFTA,4,0.0,https://www.food.com/recipe/tsiren-dakakken-nama-nigerian-kofta-455421,,lean beef ; chile ; onion ; egg ; coriander ; nutmeg ; salt ; oil,8
1280,WEIGHT WATCHERS ETHIOPIAN FRUIT SALAD,4,0.0,https://www.food.com/recipe/weight-watchers-ethiopian-fruit-salad-306295,,seedles grape ; ripe mango ; navel orange ; ripe papaya ; banana,5
1291,WEST AFRICAN PEANUT STEW,4,0.0,https://www.food.com/recipe/west-african-peanut-stew-438533,,canola oil peanut oil ; onion ; garlic ; ginger ; jalapeno pepper ; chicken breast ; medium tomato ; carrot ; turmeric ; berbere ; black pepper ; sugar ; water broth ; crunchy peanut butter ; peanut ; lemon lime juice,17
