recipe_id,ingredient_id,ingredient_index,ingredient_raw,grams_total,servings,grams_per_serving,extraction_method
12,639,10,1 tbsp (8 g) white pepper,8.0,5,1.6,bracketed_metric
12,426,11,3 tbsp (24 g) pepper soup spice mix,24.0,5,4.8,bracketed_metric
12,649,12,"Yams, plantains or rice, for serving",,5,,no_match
13,49,1,½ lb (225 g) beef stew meat,225.0,6,37.5,bracketed_metric
13,526,2,"Salt and black pepper, as needed",,6,,no_match
13,399,3,"1 medium onion, roughly chopped, divided",110.0,6,18.33,count_estimate
13,625,4,"2 cups (480 ml) water, divided",480.0,6,80.0,bracketed_metric
13,82,5,"½ lb (225 g) bone-in chicken breast, cut into bite-size pieces",225.0,6,37.5,bracketed_metric
13,392,6,1 lb (450 g) fresh okra,450.0,6,75.0,bracketed_metric
13,191,7,1 tbsp (6 g) ground crayfish,6.0,6,1.0,bracketed_metric
13,42,8,1 beef or chicken bouillon cube,,6,,no_match
13,411,9,1 tbsp (8 g) smoked paprika,8.0,6,1.33,bracketed_metric
13,127,10,1 tbsp (8 g) cayenne pepper,8.0,6,1.33,bracketed_metric
13,593,11,"3 cups (90 g) tightly packed spinach, roughly chopped",90.0,6,15.0,bracketed_metric
13,31,12,"Banku or Fufu , for serving",,6,,no_match
14,397,1,2 tbsp (30 ml) olive oil,30.0,3,10.0,bracketed_metric
14,591,2,½ tsp dried thyme,2.5,3,0.83,volume_unit
14,202,3,1 tsp curry powder,5.0,3,1.67,volume_unit
14,127,4,½ tsp cayenne pepper,2.5,3,0.83,volume_unit
14,253,5,½ tsp garlic powder,2.5,3,0.83,volume_unit
14,604,6,⅛ tsp ground turmeric,0.62,3,0.21,volume_unit
14,197,7,⅛ tsp ground cumin,0.62,3,0.21,volume_unit
14,280,8,"1 small habanero chile, minced",70.0,3,23.33,count_estimate
14,505,9,"1 medium red or yellow bell pepper, diced",110.0,3,36.67,count_estimate
14,399,10,"1 small onion, diced",70.0,3,23.33,count_estimate
14,531,11,1 (4-oz [112-g]) can smoked sardines in olive oil,112.0,3,37.33,bracketed_metric
14,33,12,¼ cup roughly chopped fresh basil,60.0,3,20.0,volume_unit
14,209,13,4 large eggs,600.0,3,200.0,count_estimate
14,522,14,Pinch of salt,,3,,no_match
15,,1,"I love hot sauce. It’s something that I have with almost every meal. There are so many variations of hot sauce, and I’ve spent a lot of time testing the ones I love best. When it comes down to the nitty-gritty, it’s all about the choice of pepper. This sauce uses one of the hottest chiles known to humanity, the African bird’s eye chile. Dip your sweet fried plantains in this sauce and you’ve got the perfect “sweet and heat” snack.",,4,,no_match
15,3,2,12 African bird’s eye chiles or 12 small habanero chiles,,4,,no_match
15,655,3,"1 small yellow or red bell pepper, roughly chopped",70.0,4,17.5,count_estimate
15,251,4,"2 cloves garlic, roughly chopped",8.0,4,2.0,count_estimate
15,399,5,"1 small onion, roughly chopped",70.0,4,17.5,count_estimate
15,597,6,"1 large tomato, roughly chopped",150.0,4,37.5,count_estimate
15,397,7,¼ cup (60 ml) olive oil,60.0,4,15.0,bracketed_metric
15,522,8,"Salt, to taste",,4,,no_match
16,274,1,4 large green or ripe plantains,600.0,7,85.71,count_estimate
16,411,2,1 tbsp (8 g) smoked paprika,8.0,7,1.14,bracketed_metric
16,522,3,"2 pinches of salt, divided",,7,,no_match
16,618,4,"Vegetable oil, for frying",,7,,no_match
17,,1,"My mum would make us eat boxed macaroni and cheese with frozen fish sticks quite frequently while I was growing up. When I was a little kid, I actually used to love that meal—that quickly starting changing the older I got, though. I started to hate those frozen fish sticks and would secretly dread the entire meal. I started making my own fish sticks in the form of these Senegalese Fried Fish Balls. They’re the perfect way for me to enjoy fish sticks: never frozen and, of course, a spicy tomato sauce to go with them.",,5,,no_match
17,171,2,"1 lb (450 g) frozen cod fillets, thawed",450.0,5,90.0,bracketed_metric
17,625,3,2 tbsp (30 ml) water,30.0,5,6.0,bracketed_metric
17,634,4,1 slice white bread,30.0,5,6.0,count_estimate
17,522,5,1 tsp salt,5.0,5,1.0,volume_unit
17,63,6,½ tsp black pepper,2.5,5,0.5,volume_unit
17,209,7,2 large eggs,300.0,5,60.0,count_estimate
17,251,8,4 cloves garlic,16.0,5,3.2,count_estimate
17,532,9,"1 scallion, finely chopped",,5,,no_match
17,308,10,"1 small jalapeño, finely chopped",70.0,5,14.0,count_estimate
17,415,11,2 tbsp (6 g) chopped fresh parsley,6.0,5,1.2,bracketed_metric
17,10,12,½ cup (63 g) all-purpose flour,63.0,5,12.6,bracketed_metric
17,618,13,"Vegetable oil, for frying",,5,,no_match
17,615,14,2 tbsp (30 ml) vegetable oil,30.0,5,6.0,bracketed_metric
17,532,15,"2 scallions, minced",,5,,no_match
17,597,16,"2 medium tomatoes, roughly chopped",220.0,5,44.0,count_estimate
17,489,17,"1 medium red bell pepper, roughly chopped",110.0,5,22.0,count_estimate
17,312,18,"1 small jalapeño, seeded and roughly chopped",70.0,5,14.0,count_estimate
17,625,19,½ cup (120 ml) water,120.0,5,24.0,bracketed_metric
17,522,20,"Salt, to taste",,5,,no_match
17,416,21,"Fresh parsley, for garnish",,5,,no_match
18,405,1,"4 large overly ripe plantains, peeled",600.0,5,120.0,count_estimate
18,187,2,1 cup (170 g) cornmeal,170.0,5,34.0,bracketed_metric
18,364,3,4 tbsp (60 ml) milk,60.0,5,12.0,bracketed_metric
18,522,4,1 tsp salt,5.0,5,1.0,volume_unit
18,253,5,1 tsp garlic powder,5.0,5,1.0,volume_unit
18,260,6,1 tsp grated fresh ginger,5.0,5,1.0,volume_unit
18,127,7,1 tsp cayenne pepper,5.0,5,1.0,volume_unit
18,532,8,"2 scallions, roughly chopped",,5,,no_match
18,109,9,3 tbsp (45 ml) canola oil,45.0,5,9.0,bracketed_metric
19,10,1,3 cups (375 g) all-purpose flour,375.0,9,41.67,bracketed_metric
19,26,2,1 tsp baking powder,5.0,9,0.56,volume_unit
19,6,3,½ tsp African nutmeg (ehuru),2.5,9,0.28,volume_unit
19,577,4,¾ cup (144 g) sugar,144.0,9,16.0,bracketed_metric
19,354,5,"½ cup (115 g) margarine, cut into pieces",115.0,9,12.78,bracketed_metric
19,364,6,⅓ cup (80 ml) milk,80.0,9,8.89,bracketed_metric
19,616,7,"Vegetable oil, as needed",,9,,no_match
20,615,1,2 tbsp (30 ml) vegetable oil,30.0,6,5.0,bracketed_metric
20,399,2,"1 medium onion, diced",110.0,6,18.33,count_estimate
20,39,3,1 lb (450 g) ground beef,450.0,6,75.0,bracketed_metric
20,45,4,2 beef bouillon cubes,,6,,no_match
20,591,5,1 tsp dried thyme,5.0,6,0.83,volume_unit
20,625,6,"1⅓ cups (320 ml) water, divided",320.0,6,53.33,bracketed_metric
20,520,7,"2 medium russet potatoes, chopped into bite-size pieces",220.0,6,36.67,count_estimate
20,121,8,"2 medium carrots, chopped into bite-size pieces",220.0,6,36.67,count_estimate
20,10,9,2 tbsp (16 g) all-purpose flour,16.0,6,2.67,bracketed_metric
20,523,10,"Salt, as needed",,6,,no_match
20,10,11,8 cups (1 kg) all-purpose flour,1000.0,6,166.67,bracketed_metric
20,26,12,2 tsp (8 g) baking powder,8.0,6,1.33,bracketed_metric
20,522,13,Pinch of salt,,6,,no_match
20,172,14,"1 lb (450 g) cold margarine, cut into tiny pieces",450.0,6,75.0,bracketed_metric
20,304,15,½ cup (120 ml) ice-cold water,120.0,6,20.0,bracketed_metric
20,209,16,"1 large egg, beaten",150.0,6,25.0,count_estimate
21,445,1,1 lb (450 g) ground pork sausage,450.0,4,112.5,bracketed_metric
21,591,2,½ tsp dried thyme,2.5,4,0.62,volume_unit
21,517,3,½ tsp dried rosemary,2.5,4,0.62,volume_unit
21,127,4,½ tsp cayenne pepper,2.5,4,0.62,volume_unit
21,63,5,½ tsp black pepper,2.5,4,0.62,volume_unit
21,522,6,½ tsp salt,2.5,4,0.62,volume_unit
21,38,7,1 beef bouillon cube,,4,,no_match
21,10,8,⅓ cup (42 g) all-purpose flour,42.0,4,10.5,bracketed_metric
21,410,9,½ cup (60 g) panko breadcrumbs,60.0,4,15.0,bracketed_metric
21,209,10,"2 large eggs, beaten",300.0,4,75.0,count_estimate
21,287,11,"8 medium hard-boiled eggs, peeled",880.0,4,220.0,count_estimate
21,616,12,"Vegetable oil, as needed",,4,,no_match
22,123,1,"2 large carrots, peeled and shredded",300.0,5,60.0,count_estimate
22,291,2,"½ large head lettuce, shredded or finely chopped",75.0,5,15.0,count_estimate
22,290,3,"½ large head green cabbage, shredded or finely chopped",75.0,5,15.0,count_estimate
22,597,4,"1 large tomato, roughly chopped",150.0,5,30.0,count_estimate
22,196,5,"1 medium cucumber, roughly chopped",110.0,5,22.0,count_estimate
22,497,6,"1 large red onion, thinly sliced",150.0,5,30.0,count_estimate
22,296,7,½ (14-oz [392-g]) can Heinz brand baked beans,392.0,5,78.4,bracketed_metric
22,578,8,"½ (15-oz [420-g]) can sweet corn, drained",420.0,5,84.0,bracketed_metric
22,287,9,"2 large hard-boiled eggs, peeled and sliced",300.0,5,60.0,count_estimate
22,297,10,"Heinz Salad Cream, for serving",,5,,no_match
23,69,1,1 cup (151 g) dried black-eyed peas,151.0,5,30.2,bracketed_metric
23,625,2,¼ cup (60 ml) water,60.0,5,12.0,bracketed_metric
23,489,3,"1 medium red bell pepper, roughly chopped",110.0,5,22.0,count_estimate
23,282,4,"1 small habanero chile, stem removed",70.0,5,14.0,count_estimate
23,399,5,"1 small onion, roughly chopped",70.0,5,14.0,count_estimate
23,522,6,"Salt, to taste",,5,,no_match
23,618,7,"Vegetable oil, for frying",,5,,no_match
23,88,8,"Bread, for serving",,5,,no_match
24,69,1,1 cup (151 g) dried black-eyed peas,151.0,5,30.2,bracketed_metric
24,399,2,½ cup (76 g) roughly chopped onion,76.0,5,15.2,bracketed_metric
24,489,3,½ large red bell pepper,75.0,5,15.0,count_estimate
24,282,4,"1 small habanero chile, stem removed",70.0,5,14.0,count_estimate
24,133,5,1 chicken bouillon cube,,5,,no_match
24,522,6,2 tsp (10 g) salt,10.0,5,2.0,bracketed_metric
24,409,7,2 tbsp (30 ml) palm oil,30.0,5,6.0,bracketed_metric
24,615,8,¼ cup (60 ml) vegetable oil,60.0,5,12.0,bracketed_metric
24,127,9,1 tsp cayenne pepper,5.0,5,1.0,volume_unit
24,191,10,2 tbsp (12 g) ground crayfish,12.0,5,2.4,bracketed_metric
24,287,11,"3 large hard-boiled eggs, peeled and halved",450.0,5,90.0,count_estimate
24,185,12,1 cup (230 g) canned corned beef,230.0,5,46.0,bracketed_metric
25,409,1,¾ cup (180 ml) palm oil,180.0,5,36.0,bracketed_metric
25,184,2,4 cups (577 g) fresh corn kernels,577.0,5,115.4,bracketed_metric
25,399,3,"½ large onion, finely chopped",75.0,5,15.0,count_estimate
25,282,4,"1 small habanero chile, stem removed",70.0,5,14.0,count_estimate
25,625,5,"¾ cup (180 ml) water, divided",180.0,5,36.0,bracketed_metric
25,652,6,1 cup (170 g) yellow cornmeal,170.0,5,34.0,bracketed_metric
25,522,7,2 tsp (10 g) salt,10.0,5,2.0,bracketed_metric
25,147,8,1 chicken or vegetable bouillon cube,,5,,no_match
25,344,9,"4 cups (120 g) loosely packed spinach, roughly chopped",120.0,5,24.0,bracketed_metric
25,30,10,"6 large banana leaves, soaked in hot water to soften and rinsed thoroughly (see note)",900.0,5,180.0,count_estimate
26,647,1,½ a medium yam,,4,,no_match
26,10,2,2 tbsp (16 g) all-purpose flour,16.0,4,4.0,bracketed_metric
26,625,3,2 tbsp (30 ml) water,30.0,4,7.5,bracketed_metric
26,209,4,1 large egg,150.0,4,37.5,count_estimate
26,523,5,"Salt, as needed",,4,,no_match
26,616,6,"Vegetable oil, as needed",,4,,no_match
26,428,7,"Pili Pili , for serving",,4,,no_match
27,408,1,1 (¼-oz [7-g]) packet active dry yeast,7.0,5,1.4,bracketed_metric
27,575,2,1 cup (192 g) granulated sugar,192.0,5,38.4,bracketed_metric
27,611,3,1 tsp vanilla extract,5.0,5,1.0,volume_unit
27,389,4,¼ tsp ground nutmeg,1.25,5,0.25,volume_unit
27,522,5,1 tsp salt,5.0,5,1.0,volume_unit
27,621,6,2 cups (480 ml) warm water,480.0,5,96.0,bracketed_metric
27,10,7,3½ cups (438 g) all-purpose flour,438.0,5,87.6,bracketed_metric
27,616,8,"Vegetable oil, as needed",,5,,no_match
27,576,9,"Powdered sugar, optional",,5,,no_match
28,475,1,8 oz (224 g) raw organic tigernuts,224.0,8,28.0,bracketed_metric
28,162,2,1 (2- to 4-inch [6- to 10-cm]) cinnamon stick,,8,,no_match
28,621,3,4 cups (960 ml) warm water,960.0,8,120.0,bracketed_metric
28,118,4,3 cardamom pods,,8,,no_match
28,404,5,½ cup (110 g) organic jaggery,110.0,8,13.75,bracketed_metric
29,145,1,2½ lb (1.1 kg) chicken thighs,1100.0,5,220.0,bracketed_metric
29,526,2,"Salt and black pepper, as needed",,5,,no_match
29,99,3,3 tbsp (42 g) butter,42.0,5,8.4,bracketed_metric
29,399,4,"2 medium onions, thinly sliced",220.0,5,44.0,count_estimate
29,109,5,¼ cup (60 ml) canola oil,60.0,5,12.0,bracketed_metric
29,251,6,1 tbsp (9 g) roughly chopped garlic,9.0,5,1.8,bracketed_metric
29,260,7,1 tsp minced fresh ginger,5.0,5,1.0,volume_unit
29,412,8,½ tbsp (4 g) paprika,4.0,5,0.8,bracketed_metric
29,53,9,2 tbsp (16 g) Berbere Spice Mix,16.0,5,3.2,bracketed_metric
29,625,10,3 cups (720 g) water,720.0,5,144.0,bracketed_metric
29,598,11,1 tbsp (10 g) tomato paste,10.0,5,2.0,bracketed_metric
29,559,12,"6 large soft-boiled eggs, peeled",900.0,5,180.0,count_estimate
29,510,13,"Rice or Injera , for serving",,5,,no_match
30,182,1,1 tsp coriander seeds,5.0,5,1.0,volume_unit
30,119,2,1 tsp cardamom seeds,5.0,5,1.0,volume_unit
30,225,3,1 tsp fenugreek seeds,5.0,5,1.0,volume_unit
30,411,4,3 tbsp (24 g) smoked paprika,24.0,5,4.8,bracketed_metric
30,127,5,1 tbsp (8 g) cayenne pepper,8.0,5,1.6,bracketed_metric
30,197,6,2 tsp (6 g) ground cumin,6.0,5,1.2,bracketed_metric
30,604,7,1 tsp ground turmeric,5.0,5,1.0,volume_unit
30,65,8,1 tsp freshly ground black peppercorns,5.0,5,1.0,volume_unit
30,,9,½ tsp ground cloves,2.5,5,0.5,volume_unit
30,16,10,½ tsp ground allspice,2.5,5,0.5,volume_unit
30,261,11,½ tsp ground ginger,2.5,5,0.5,volume_unit
30,160,12,½ tsp ground cinnamon,2.5,5,0.5,volume_unit
30,522,13,1 tsp salt,5.0,5,1.0,volume_unit
30,397,14,2 tbsp (30 ml) olive oil,30.0,5,6.0,bracketed_metric
30,399,15,"1 large onion, diced",150.0,5,30.0,count_estimate
30,53,16,3 tbsp (24 g) Berbere Spice Mix,24.0,5,4.8,bracketed_metric
30,597,17,"4 large tomatoes, diced",600.0,5,120.0,count_estimate
30,598,18,1 tbsp (10 g) tomato paste,10.0,5,2.0,bracketed_metric
