recipe_id,recipe_name,recipe_url,kept_id,kept_name,reason
70,Moroccan Couscous,https://www.allrecipes.com/recipe/105045/moroccan-couscous/,281,MOROCCAN COUSCOUS,"duplicate of kept_id=281 (norm_key=""moroccan couscou"")"
71,Moroccan Lentil Soup,https://www.allrecipes.com/recipe/12960/moroccan-lentil-soup/,282,MOROCCAN LENTIL SOUP,"duplicate of kept_id=282 (norm_key=""moroccan lentil soup"")"
73,African-Style Oxtail Stew,https://www.allrecipes.com/recipe/137967/african-style-oxtail-stew/,284,AFRICAN-STYLE OXTAIL STEW,"duplicate of kept_id=284 (norm_key=""africanstyle oxtail stew"")"
74,Marrakesh Vegetable Curry,https://www.allrecipes.com/recipe/13988/marrakesh-vegetable-curry/,285,MARRAKESH VEGETABLE CURRY,"duplicate of kept_id=285 (norm_key=""marrakesh vegetable curry"")"
75,Ras el Hanout,https://www.allrecipes.com/recipe/150574/ras-el-hanout/,1120,RAS EL HANOUT,"duplicate of kept_id=1120 (norm_key=""ras el hanout"")"
286,RAS EL HANOUT,https://www.allrecipes.com/recipe/150574/ras-el-hanout/,1120,RAS EL HANOUT,"duplicate of kept_id=1120 (norm_key=""ras el hanout"")"
1121,RAS EL HANOUT,https://www.food.com/recipe/ras-el-hanout-503579,1120,RAS EL HANOUT,"duplicate of kept_id=1120 (norm_key=""ras el hanout"")"
76,Ethiopian Cabbage Dish,https://www.allrecipes.com/recipe/152937/ethiopian-cabbage-dish/,287,ETHIOPIAN CABBAGE DISH,"duplicate of kept_id=287 (norm_key=""ethiopian cabbage dish"")"
77,Best Bobotie,https://www.allrecipes.com/recipe/157881/best-bobotie/,288,BEST BOBOTIE,"duplicate of kept_id=288 (norm_key=""best bobotie"")"
78,Milk Tart,https://www.allrecipes.com/recipe/16738/milk-tart/,457,MILK TART,"duplicate of kept_id=457 (norm_key=""milk tart"")"
289,MILK TART,https://www.allrecipes.com/recipe/16738/milk-tart/,457,MILK TART,"duplicate of kept_id=457 (norm_key=""milk tart"")"
79,Egyptian Koshary,https://www.allrecipes.com/recipe/173422/egyptian-koshary/,290,EGYPTIAN KOSHARY,"duplicate of kept_id=290 (norm_key=""egyptian koshary"")"
80,Moroccan Chicken,https://www.allrecipes.com/recipe/18182/moroccan-chicken/,291,MOROCCAN CHICKEN,"duplicate of kept_id=291 (norm_key=""moroccan chicken"")"
873,MOROCCAN CHICKEN,https://www.food.com/recipe/moroccan-chicken-86716,291,MOROCCAN CHICKEN,"duplicate of kept_id=291 (norm_key=""moroccan chicken"")"
81,Om Ali,https://www.allrecipes.com/recipe/19898/om-ali/,292,OM ALI,"duplicate of kept_id=292 (norm_key=""om ali"")"
82,Beghrir (Moroccan Pancakes),https://www.allrecipes.com/recipe/206740/beghrir-moroccan-pancakes/,293,BEGHRIR (MOROCCAN PANCAKES),"duplicate of kept_id=293 (norm_key=""beghrir moroccan pancakes"")"
83,Moroccan Shabbat Fish,https://www.allrecipes.com/recipe/213243/moroccan-shabbat-fish/,294,MOROCCAN SHABBAT FISH,"duplicate of kept_id=294 (norm_key=""moroccan shabbat fish"")"
85,South African Brown Pudding,https://www.allrecipes.com/recipe/214766/south-african-brown-pudding/,296,SOUTH AFRICAN BROWN PUDDING,"duplicate of kept_id=296 (norm_key=""south african brown pudding"")"
86,Make-Ahead Vegetarian Moroccan Stew,https://www.allrecipes.com/recipe/217109/make-ahead-vegetarian-moroccan-stew/,297,MAKE-AHEAD VEGETARIAN MOROCCAN STEW,"duplicate of kept_id=297 (norm_key=""makeahead vegetarian moroccan stew"")"
87,Moroccan Chickpea Stew,https://www.allrecipes.com/recipe/217947/moroccan-chickpea-stew/,298,MOROCCAN CHICKPEA STEW,"duplicate of kept_id=298 (norm_key=""moroccan chickpea stew"")"
88,West African Peanut Stew,https://www.allrecipes.com/recipe/217952/west-african-peanut-stew/,1291,WEST AFRICAN PEANUT STEW,"duplicate of kept_id=1291 (norm_key=""west african peanut stew"")"
299,WEST AFRICAN PEANUT STEW,https://www.allrecipes.com/recipe/217952/west-african-peanut-stew/,1291,WEST AFRICAN PEANUT STEW,"duplicate of kept_id=1291 (norm_key=""west african peanut stew"")"
89,Egyptian Lentil Soup,https://www.allrecipes.com/recipe/222661/egyptian-lentil-soup/,300,EGYPTIAN LENTIL SOUP,"duplicate of kept_id=300 (norm_key=""egyptian lentil soup"")"
90,African Cabbage Stew,https://www.allrecipes.com/recipe/228662/african-cabbage-stew/,301,AFRICAN CABBAGE STEW,"duplicate of kept_id=301 (norm_key=""african cabbage stew"")"
91,Couscous with Olives and Sun-Dried Tomato,https://www.allrecipes.com/recipe/232210/couscous-with-olives-and-sun-dried-tomato/,302,COUSCOUS WITH OLIVES AND SUN-DRIED TOMATO,"duplicate of kept_id=302 (norm_key=""couscous with olives and sundried tomato"")"
92,Traditional Baba Ghanoush,https://www.allrecipes.com/recipe/236310/traditional-baba-ghanoush/,303,TRADITIONAL BABA GHANOUSH,"duplicate of kept_id=303 (norm_key=""traditional baba ghanoush"")"
93,Berbere (Ethiopian Spice),https://www.allrecipes.com/recipe/236741/berbere-ethiopian-spice/,304,BERBERE (ETHIOPIAN SPICE),"duplicate of kept_id=304 (norm_key=""berbere ethiopian spice"")"
94,African Sweet Potato Stew,https://www.allrecipes.com/recipe/245682/african-sweet-potato-stew/,305,AFRICAN SWEET POTATO STEW,"duplicate of kept_id=305 (norm_key=""african sweet potato stew"")"
95,South African Traditional Vetkoek (Fried Bread),https://www.allrecipes.com/recipe/245683/south-african-traditional-vetkoek-fried-bread/,306,SOUTH AFRICAN TRADITIONAL VETKOEK (FRIED BREAD),"duplicate of kept_id=306 (norm_key=""south african traditional vetkoek fried bread"")"
96,Sabaayad (Somali Flatbread),https://www.allrecipes.com/recipe/246109/sabaayad-somali-flatbread/,307,SABAAYAD (SOMALI FLATBREAD),"duplicate of kept_id=307 (norm_key=""sabaayad somali flatbread"")"
97,Doro Wat: Ethiopian Chicken Dish,https://www.allrecipes.com/recipe/246340/doro-wat-ethiopian-chicken-dish/,308,DORO WAT: ETHIOPIAN CHICKEN DISH,"duplicate of kept_id=308 (norm_key=""doro wat ethiopian chicken dish"")"
98,Ta'ameya (Egyptian Falafel),https://www.allrecipes.com/recipe/254743/taameya-egyptian-falafel/,309,TA'AMEYA (EGYPTIAN FALAFEL),"duplicate of kept_id=309 (norm_key=""taameya egyptian falafel"")"
99,The Perfect Egyptian Rice with Vermicelli,https://www.allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli/,310,THE PERFECT EGYPTIAN RICE WITH VERMICELLI,"duplicate of kept_id=310 (norm_key=""the perfect egyptian rice with vermicelli"")"
100,Nigerian Suya,https://www.allrecipes.com/recipe/255142/nigerian-suya/,311,NIGERIAN SUYA,"duplicate of kept_id=311 (norm_key=""nigerian suya"")"
1072,NIGERIAN SUYA,https://www.food.com/recipe/nigerian-suya-309911,311,NIGERIAN SUYA,"duplicate of kept_id=311 (norm_key=""nigerian suya"")"
101,Berbere Spice Blend,https://www.allrecipes.com/recipe/255863/berbere-spice-blend/,312,BERBERE SPICE BLEND,"duplicate of kept_id=312 (norm_key=""berbere spice blend"")"
102,Ginger Malva Pudding,https://www.allrecipes.com/recipe/256679/ginger-malva-pudding/,313,GINGER MALVA PUDDING,"duplicate of kept_id=313 (norm_key=""ginger malva pudding"")"
103,Algerian Couscous,https://www.allrecipes.com/recipe/256729/algerian-couscous/,314,ALGERIAN COUSCOUS,"duplicate of kept_id=314 (norm_key=""algerian couscou"")"
555,ALGERIAN COUSCOUS,https://www.food.com/recipe/algerian-couscous-498167,314,ALGERIAN COUSCOUS,"duplicate of kept_id=314 (norm_key=""algerian couscou"")"
104,Nigerian Jollof Rice with Chicken and Fried Plantains,https://www.allrecipes.com/recipe/259978/nigerian-jollof-rice-with-chicken-and-fried-plantains/,315,NIGERIAN JOLLOF RICE WITH CHICKEN AND FRIED PLANTAINS,"duplicate of kept_id=315 (norm_key=""nigerian jollof rice with chicken and fried plantain"")"
105,Chapati (East African Bread),https://www.allrecipes.com/recipe/262203/chapati-east-african-bread/,316,CHAPATI (EAST AFRICAN BREAD),"duplicate of kept_id=316 (norm_key=""chapati east african bread"")"
106,Mandazi (African Donuts),https://www.allrecipes.com/recipe/262205/mandazi-african-donuts/,317,MANDAZI (AFRICAN DONUTS),"duplicate of kept_id=317 (norm_key=""mandazi african donuts"")"
107,Vegan Chickpea Curry without Coconut Milk,https://www.allrecipes.com/recipe/263337/vegan-chickpea-curry-without-coconut-milk/,318,VEGAN CHICKPEA CURRY WITHOUT COCONUT MILK,"duplicate of kept_id=318 (norm_key=""vegan chickpea curry without coconut milk"")"
108,Injera (Ethiopian Teff Bread),https://www.allrecipes.com/recipe/264651/injera-ethiopian-teff-bread/,319,INJERA (ETHIOPIAN TEFF BREAD),"duplicate of kept_id=319 (norm_key=""injera ethiopian teff bread"")"
109,Harissa Powder,https://www.allrecipes.com/recipe/276693/harissa-powder/,320,HARISSA POWDER,"duplicate of kept_id=320 (norm_key=""harissa powder"")"
110,Moroccan-Spiced Pork Roast,https://www.allrecipes.com/recipe/277576/moroccan-spiced-pork-roast/,321,MOROCCAN-SPICED PORK ROAST,"duplicate of kept_id=321 (norm_key=""moroccanspiced pork roast"")"
111,Moroccan Beef and Lentil Stew,https://www.allrecipes.com/recipe/278891/moroccan-beef-and-lentil-stew/,322,MOROCCAN BEEF AND LENTIL STEW,"duplicate of kept_id=322 (norm_key=""moroccan beef and lentil stew"")"
112,Harissa Paste,https://www.allrecipes.com/recipe/279059/harissa-paste/,323,HARISSA PASTE,"duplicate of kept_id=323 (norm_key=""harissa paste"")"
113,African Curry,https://www.allrecipes.com/recipe/47439/african-curry/,324,AFRICAN CURRY,"duplicate of kept_id=324 (norm_key=""african curry"")"
114,Sambusa,https://www.allrecipes.com/recipe/53603/sambusa/,325,SAMBUSA,"duplicate of kept_id=325 (norm_key=""sambusa"")"
115,African Sweet Potato and Peanut Soup,https://www.allrecipes.com/recipe/55207/african-sweet-potato-and-peanut-soup/,326,AFRICAN SWEET POTATO AND PEANUT SOUP,"duplicate of kept_id=326 (norm_key=""african sweet potato and peanut soup"")"
116,South African Malvapoeding (Marshmallow Pudding),https://www.allrecipes.com/recipe/58465/south-african-malvapoeding-marshmallow-pudding/,327,SOUTH AFRICAN MALVAPOEDING (MARSHMALLOW PUDDING),"duplicate of kept_id=327 (norm_key=""south african malvapoeding marshmallow pudding"")"
117,Fufu,https://www.allrecipes.com/recipe/60516/fufu/,328,FUFU,"duplicate of kept_id=328 (norm_key=""fufu"")"
118,Tomato Bredie,https://www.allrecipes.com/recipe/68735/tomato-bredie/,329,TOMATO BREDIE,"duplicate of kept_id=329 (norm_key=""tomato bredie"")"
119,Homemade Peri Peri Chicken,https://www.allrecipes.com/recipe/72064/peri-peri-african-chicken/,330,HOMEMADE PERI PERI CHICKEN,"duplicate of kept_id=330 (norm_key=""homemade peri peri chicken"")"
120,Umm Ali,https://www.allrecipes.com/recipe/73059/umm-ali/,331,UMM ALI,"duplicate of kept_id=331 (norm_key=""umm ali"")"
121,West African Peanut Soup,https://www.allrecipes.com/recipe/73090/african-peanut-soup/,1290,WEST AFRICAN PEANUT SOUP,"duplicate of kept_id=1290 (norm_key=""west african peanut soup"")"
332,WEST AFRICAN PEANUT SOUP,https://www.allrecipes.com/recipe/73090/african-peanut-soup/,1290,WEST AFRICAN PEANUT SOUP,"duplicate of kept_id=1290 (norm_key=""west african peanut soup"")"
122,South African Melktert (Milk Tart),https://www.allrecipes.com/recipe/80160/south-african-melktert-milk-tart/,333,SOUTH AFRICAN MELKTERT (MILK TART),"duplicate of kept_id=333 (norm_key=""south african melktert milk tart"")"
123,Sweet and Nutty Moroccan Couscous,https://www.allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous/,334,SWEET AND NUTTY MOROCCAN COUSCOUS,"duplicate of kept_id=334 (norm_key=""sweet and nutty moroccan couscou"")"
1238,SWEET AND NUTTY MOROCCAN COUSCOUS,https://www.food.com/recipe/sweet-and-nutty-moroccan-couscous-312710,334,SWEET AND NUTTY MOROCCAN COUSCOUS,"duplicate of kept_id=334 (norm_key=""sweet and nutty moroccan couscou"")"
124,Middle Eastern White Beans,https://www.allrecipes.com/recipe/82184/middle-eastern-white-beans/,335,MIDDLE EASTERN WHITE BEANS,"duplicate of kept_id=335 (norm_key=""middle eastern white bean"")"
125,Moroccan Harira Soup,https://www.allrecipes.com/recipe/8479335/moroccan-harira-soup/,336,MOROCCAN HARIRA SOUP,"duplicate of kept_id=336 (norm_key=""moroccan harira soup"")"
130,South African bobotie,https://www.bbc.co.uk/food/recipes/bobotie_95101,1177,SOUTH AFRICAN BOBOTIE,"duplicate of kept_id=1177 (norm_key=""south african bobotie"")"
1176,SOUTH AFRICAN BOBOTIE,https://www.food.com/recipe/south-african-bobotie-307845,1177,SOUTH AFRICAN BOBOTIE,"duplicate of kept_id=1177 (norm_key=""south african bobotie"")"
162,Sukuma Wiki |,,505,SUKUMA WIKI,"duplicate of kept_id=505 (norm_key=""sukuma wiki"")"
204,Grilled Plantains,https://cheflolaskitchen.com/grilled-plantains/,428,GRILLED PLANTAINS,"duplicate of kept_id=428 (norm_key=""grilled plantain"")"
1086,NSHIMA,https://www.food.com/recipe/nshima-455157,274,Nshima,"duplicate of kept_id=274 (norm_key=""nshima"")"
275,Okra Soup,https://www.lubzonline.com/okra-soup/,471,OKRA SOUP,"duplicate of kept_id=471 (norm_key=""okra soup"")"
343,AFRICAN CHICKEN STEW,https://www.africanbites.com/african-chicken-stew-and-coconut-rice/,531,AFRICAN CHICKEN STEW,"duplicate of kept_id=531 (norm_key=""african chicken stew"")"
625,CHICKEN TAGINE,https://www.food.com/recipe/chicken-tagine-52701,387,CHICKEN TAGINE,"duplicate of kept_id=387 (norm_key=""chicken tagine"")"
626,CHICKEN TAGINE,https://www.food.com/recipe/chicken-tagine-97399,387,CHICKEN TAGINE,"duplicate of kept_id=387 (norm_key=""chicken tagine"")"
712,ETHIOPIAN CABBAGE,https://www.food.com/recipe/ethiopian-cabbage-310482,409,ETHIOPIAN CABBAGE,"duplicate of kept_id=409 (norm_key=""ethiopian cabbage"")"
525,AFRICAN BANANA PEANUT CAKE,https://www.food.com/recipe/african-banana-peanut-cake-452388,526,AFRICAN BANANA PEANUT CAKE,"duplicate of kept_id=526 (norm_key=""african banana peanut cake"")"
529,AFRICAN CHICKEN CURRY,https://www.food.com/recipe/african-chicken-curry-455721,530,AFRICAN CHICKEN CURRY,"duplicate of kept_id=530 (norm_key=""african chicken curry"")"
662,COUSCOUS SALAD,https://www.food.com/recipe/couscous-salad-66867,661,COUSCOUS SALAD,"duplicate of kept_id=661 (norm_key=""couscous salad"")"
755,HERBED COUSCOUS,https://www.food.com/recipe/herbed-couscous-489818,756,HERBED COUSCOUS,"duplicate of kept_id=756 (norm_key=""herbed couscou"")"
853,MOROCCAN BEET SALAD,https://www.food.com/recipe/moroccan-beet-salad-99852,852,MOROCCAN BEET SALAD,"duplicate of kept_id=852 (norm_key=""moroccan beet salad"")"
863,MOROCCAN CARROT SALAD,https://www.food.com/recipe/moroccan-carrot-salad-50012,862,MOROCCAN CARROT SALAD,"duplicate of kept_id=862 (norm_key=""moroccan carrot salad"")"
867,MOROCCAN CARROTS,https://www.food.com/recipe/moroccan-carrots-43338,868,MOROCCAN CARROTS,"duplicate of kept_id=868 (norm_key=""moroccan carrot"")"
893,MOROCCAN CHICKEN WINGS,https://www.food.com/recipe/moroccan-chicken-wings-351089,894,MOROCCAN CHICKEN WINGS,"duplicate of kept_id=894 (norm_key=""moroccan chicken wing"")"
904,MOROCCAN CHICKPEA SOUP,https://www.food.com/recipe/moroccan-chickpea-soup-354407,907,MOROCCAN CHICKPEA SOUP,"duplicate of kept_id=907 (norm_key=""moroccan chickpea soup"")"
905,MOROCCAN CHICKPEA SOUP,https://www.food.com/recipe/moroccan-chickpea-soup-386245,907,MOROCCAN CHICKPEA SOUP,"duplicate of kept_id=907 (norm_key=""moroccan chickpea soup"")"
906,MOROCCAN CHICKPEA SOUP,https://www.food.com/recipe/moroccan-chickpea-soup-503143,907,MOROCCAN CHICKPEA SOUP,"duplicate of kept_id=907 (norm_key=""moroccan chickpea soup"")"
959,MOROCCAN MEATBALLS,https://www.food.com/recipe/moroccan-meatballs-81921,958,MOROCCAN MEATBALLS,"duplicate of kept_id=958 (norm_key=""moroccan meatball"")"
965,MOROCCAN MINT TEA,https://www.food.com/recipe/moroccan-mint-tea-55799,964,MOROCCAN MINT TEA,"duplicate of kept_id=964 (norm_key=""moroccan mint tea"")"
1069,NIGERIAN PEANUT SOUP,https://www.food.com/recipe/nigerian-peanut-soup-71416,1068,NIGERIAN PEANUT SOUP,"duplicate of kept_id=1068 (norm_key=""nigerian peanut soup"")"
1106,PIRI PIRI SAUCE,https://www.food.com/recipe/piri-piri-sauce-369728,1107,PIRI PIRI SAUCE,"duplicate of kept_id=1107 (norm_key=""piri piri sauce"")"
1281,WEST AFRICAN BANANA FRITTERS,https://www.food.com/recipe/west-african-banana-fritters-309737,1282,WEST AFRICAN BANANA FRITTERS,"duplicate of kept_id=1282 (norm_key=""west african banana fritter"")"
