recipe_id,ingredients_text
12,"1 (½-inch [13-mm]) piece fresh ginger, peeled 1 large onion, roughly chopped 1 tbsp (8 g) cayenne pepper 1 tbsp (8 g) white pepper 1½ lb (680 g) assorted boneless meats (e.g., beef, goat, chicken), cut into bite-size pieces 2 cloves garlic 3 beef or chicken bouillon cubes 3 tbsp (24 g) pepper soup spice mix 4 small habanero chiles, thinly sliced 6 cups (1.4 l) water salt, as needed yams, plantains or rice, for serving"
13,"1 beef or chicken bouillon cube 1 lb (450 g) fresh okra 1 medium onion, roughly chopped, divided 1 tbsp (6 g) ground crayfish 1 tbsp (8 g) cayenne pepper 1 tbsp (8 g) smoked paprika 2 cups (480 ml) water, divided 3 cups (90 g) tightly packed spinach, roughly chopped banku or fufu , for serving salt and black pepper, as needed ½ lb (225 g) beef stew meat ½ lb (225 g) bone-in chicken breast, cut into bite-size pieces"
14,"1 (4-oz [112-g]) can smoked sardines in olive oil 1 medium red or yellow bell pepper, diced 1 small habanero chile, minced 1 small onion, diced 1 tsp curry powder 2 tbsp (30 ml) olive oil 4 large eggs pinch of salt ¼ cup roughly chopped fresh basil ½ tsp cayenne pepper ½ tsp dried thyme ½ tsp garlic powder ⅛ tsp ground cumin ⅛ tsp ground turmeric"
15,"1 large tomato, roughly chopped 1 small onion, roughly chopped 1 small yellow or red bell pepper, roughly chopped 12 african bird’s eye chiles or 12 small habanero chiles 2 cloves garlic, roughly chopped salt, to taste ¼ cup (60 ml) olive oil"
16,"1 tbsp (8 g) smoked paprika 2 pinches of salt, divided 4 large green or ripe plantains vegetable oil, for frying"
17,"1 lb (450 g) frozen cod fillets, thawed 1 medium red bell pepper, roughly chopped 1 scallion, finely chopped 1 slice white bread 1 small jalapeño, finely chopped 1 small jalapeño, seeded and roughly chopped 1 tsp salt 2 large eggs 2 medium tomatoes, roughly chopped 2 scallions, minced 2 tbsp (30 ml) vegetable oil 2 tbsp (30 ml) water 2 tbsp (6 g) chopped fresh parsley 4 cloves garlic fresh parsley, for garnish salt, to taste vegetable oil, for frying ½ cup (120 ml) water ½ cup (63 g) all-purpose flour ½ tsp black pepper"
18,"1 cup (170 g) cornmeal 1 tsp cayenne pepper 1 tsp garlic powder 1 tsp grated fresh ginger 1 tsp salt 2 scallions, roughly chopped 3 tbsp (45 ml) canola oil 4 large overly ripe plantains, peeled 4 tbsp (60 ml) milk"
19,"1 tsp baking powder 3 cups (375 g) all-purpose flour vegetable oil, as needed ½ cup (115 g) margarine, cut into pieces ½ tsp african nutmeg (ehuru) ¾ cup (144 g) sugar ⅓ cup (80 ml) milk"
20,"1 large egg, beaten 1 lb (450 g) cold margarine, cut into tiny pieces 1 lb (450 g) ground beef 1 medium onion, diced 1 tsp dried thyme 1⅓ cups (320 ml) water, divided 2 beef bouillon cubes 2 medium carrots, chopped into bite-size pieces 2 medium russet potatoes, chopped into bite-size pieces 2 tbsp (16 g) all-purpose flour 2 tbsp (30 ml) vegetable oil 2 tsp (8 g) baking powder 8 cups (1 kg) all-purpose flour pinch of salt salt, as needed ½ cup (120 ml) ice-cold water"
21,"1 beef bouillon cube 1 lb (450 g) ground pork sausage 2 large eggs, beaten 8 medium hard-boiled eggs, peeled vegetable oil, as needed ½ cup (60 g) panko breadcrumbs ½ tsp black pepper ½ tsp cayenne pepper ½ tsp dried rosemary ½ tsp dried thyme ½ tsp salt ⅓ cup (42 g) all-purpose flour"
22,"1 large red onion, thinly sliced 1 large tomato, roughly chopped 1 medium cucumber, roughly chopped 2 large carrots, peeled and shredded 2 large hard-boiled eggs, peeled and sliced heinz salad cream, for serving ½ (14-oz [392-g]) can heinz brand baked beans ½ (15-oz [420-g]) can sweet corn, drained ½ large head green cabbage, shredded or finely chopped ½ large head lettuce, shredded or finely chopped"
23,"1 cup (151 g) dried black-eyed peas 1 medium red bell pepper, roughly chopped 1 small habanero chile, stem removed 1 small onion, roughly chopped bread, for serving salt, to taste vegetable oil, for frying ¼ cup (60 ml) water"
24,"1 chicken bouillon cube 1 cup (151 g) dried black-eyed peas 1 cup (230 g) canned corned beef 1 small habanero chile, stem removed 1 tsp cayenne pepper 2 tbsp (12 g) ground crayfish 2 tbsp (30 ml) palm oil 2 tsp (10 g) salt 3 large hard-boiled eggs, peeled and halved ¼ cup (60 ml) vegetable oil ½ cup (76 g) roughly chopped onion ½ large red bell pepper"
25,"1 chicken or vegetable bouillon cube 1 cup (170 g) yellow cornmeal 1 small habanero chile, stem removed 2 tsp (10 g) salt 4 cups (120 g) loosely packed spinach, roughly chopped 4 cups (577 g) fresh corn kernels 6 large banana leaves, soaked in hot water to soften and rinsed thoroughly (see note) ½ large onion, finely chopped ¾ cup (180 ml) palm oil ¾ cup (180 ml) water, divided"
26,"1 large egg 2 tbsp (16 g) all-purpose flour 2 tbsp (30 ml) water pili pili , for serving salt, as needed vegetable oil, as needed ½ a medium yam"
27,"1 (¼-oz [7-g]) packet active dry yeast 1 cup (192 g) granulated sugar 1 tsp salt 1 tsp vanilla extract 2 cups (480 ml) warm water 3½ cups (438 g) all-purpose flour powdered sugar, optional vegetable oil, as needed ¼ tsp ground nutmeg"
28,1 (2- to 4-inch [6- to 10-cm]) cinnamon stick 3 cardamom pods 4 cups (960 ml) warm water 8 oz (224 g) raw organic tigernuts ½ cup (110 g) organic jaggery
29,"1 tbsp (10 g) tomato paste 1 tbsp (9 g) roughly chopped garlic 1 tsp minced fresh ginger 2 medium onions, thinly sliced 2 tbsp (16 g) berbere spice mix 2½ lb (1.1 kg) chicken thighs 3 cups (720 g) water 3 tbsp (42 g) butter 6 large soft-boiled eggs, peeled rice or injera , for serving salt and black pepper, as needed ¼ cup (60 ml) canola oil ½ tbsp (4 g) paprika"
30,"1 large onion, diced 1 tbsp (10 g) tomato paste 1 tbsp (8 g) cayenne pepper 1 tsp cardamom seeds 1 tsp coriander seeds 1 tsp curry powder 1 tsp fenugreek seeds 1 tsp freshly ground black peppercorns 1 tsp ground turmeric 1 tsp salt 1½ cups (302 g) red lentils, washed and drained 2 cups (480 ml) coconut milk 2 tbsp (30 ml) olive oil 2 tsp (6 g) ground cumin 3 tbsp (24 g) berbere spice mix 3 tbsp (24 g) smoked paprika 4 large tomatoes, diced aunty bernie’s chapati or rice, for serving salt and black pepper, to taste ½ tsp ground allspice ½ tsp ground cinnamon ½ tsp ground ginger ½ tsp minced fresh ginger"
31,"1 cup (150 g) frozen peas, thawed 1 lb (450 g) ground beef 1 medium jalapeño chile, minced 1 small white onion, finely chopped 1 tsp ground coriander 1 tsp ground cumin 1 tsp ground turmeric 1 tsp salt 1½ cups (360 ml) warm water 2 tsp (6 g) grated fresh ginger 4 cups (500 g) all-purpose flour, plus more as needed 4 tbsp (60 ml) vegetable oil, plus more as needed 5 cloves garlic, minced salt and black pepper, as needed vegetable oil, as needed ½ tsp ground cardamom ½ tsp ground cinnamon"
32,"1 chicken bouillon cube 1 small habanero chile, stem removed 1 tsp black pepper 1 tsp dried thyme 1 tsp minced garlic 1 tsp white pepper 2 cups (480 ml) chicken stock 2 large tomatoes, diced 2 lb (900 g) chicken (any cut), cut into bite-size pieces 2 medium onions, sliced 2 tsp (10 g) salt, plus more as needed 2 tsp (4 g) smoked paprika, divided 20 pieces okra, sliced in half 4 cloves garlic, minced juice of ½ lemon rice, for serving ¼ cup (60 ml) canola oil ¼ cup (60 ml) palm oil ½ cup (120 ml) water ¾ lb (338 g) cubed butternut squash"
33,"1 (2- to 4-inch [6- to 10-cm]) cinnamon stick 1 bay leaf 1 cup (240 ml) vegetable oil 1 large onion, diced 1 tsp ground cumin 2 cups (422 g) basmati rice 2 medium tomatoes, roughly chopped 2 tsp (6 g) minced fresh ginger 4 cloves garlic, minced 4 cups (960 ml) chicken stock 4 medium yukon gold potatoes, peeled and diced kachumbari , for serving salt and black pepper, to taste ½ tsp curry powder ½ tsp ground cardamom ½ tsp ground star anise ½ tsp smoked paprika"
34,"1 (1-lb [450-g]) halibut fillet, skin removed 1 cup (240 ml) coconut milk 1 medium onion, diced 1 small bunch fresh cilantro, roughly chopped, for garnish 1 tbsp (15 ml) canola oil, plus more as needed 1 tbsp (8 g) plus ¾ tsp curry powder, divided 1 tsp black pepper, plus more as needed 1 tsp salt, plus more as needed 2 large tomatoes, roughly chopped 2 medium bell peppers (any color), diced 2 tbsp (30 ml) fresh lemon juice 2 tsp (6 g) minced fresh ginger 3 cloves garlic, minced 4 lemon wedges, for garnish"
35,"1 (14-oz [420-ml]) can coconut milk 1 large avocado, pitted, peeled and sliced, for serving 1 large green banana, cubed 1 large green bell pepper, diced 1 large onion, diced 2 large carrots, diced 2 large tomatoes, diced 2 tbsp (30 ml) vegetable oil 4 cloves garlic, minced 4 cups (960 ml) water 6 medium yukon gold potatoes, cubed salt and black pepper, to taste"
36,"1 medium cucumber, diced 2 cloves garlic, minced 2 large jalapeño chiles, seeded and diced 2 large tomatoes, diced juice of 1 lime salt and black pepper, to taste ½ cup (20 g) fresh cilantro, roughly chopped ½ large red onion, diced"
37,"1 tbsp (11 g) corn flour 1 tsp minced ginger 1 tsp pili pili or store-bought hot sauce 2 large russet potatoes 2 tsp (6 g) ground cumin kachumbari , for serving salt, to taste vegetable oil, as needed ½ cup (20 g) finely chopped fresh cilantro ½ cup (65 g) gram flour ⅓ cup (80 ml) water"
38,"1 tsp salt 1 tsp sugar 1½ cups (360 ml) warm water, plus more as needed 2 tbsp (30 ml) vegetable oil, plus more as needed 3 cups (375 g) all-purpose flour"
39,"1 cup (240 ml) water vegetable oil, as needed ¼ cup (33 g) teff flour ½ tsp salt ¾ cup (94 g) all-purpose flour"
40,"2 cups (165 g) roughly chopped, extremely ripe mango 2 cups (480 ml) water, divided 2 tbsp (30 ml) fresh lime juice fresh mint leaves, to taste ice cubes, as needed ½ cup (120 ml) fresh lemon juice ½ cup (120 ml) moscato, optional ¾ cup (180 ml) simple syrup"
41,"1 (14-oz [420-ml]) can coconut milk 1 cup (192 g) coconut sugar 1 cup (240 ml) canned coconut milk 1 tsp active dry yeast 1 tsp cardamom pods, crushed 1 tsp ground nutmeg 1 tsp salt 2 cups (422 g) jasmine rice 3 tbsp (14 g) raw unsweetened coconut flakes ½ tsp almond extract ½ tsp vanilla extract ¾ cup (108 g) brown sugar"
42,"1 large egg 1 tsp cardamom seeds, crushed 1 tsp salt 2 tsp (6 g) active dry yeast 3 cups (375 g) all-purpose flour 4 tbsp (19 g) freshly grated coconut or raw unsweetened coconut flakes powdered sugar, optional vegetable oil, as needed ¼ cup (60 ml) warm water ½ cup (120 ml) canned coconut milk ½ tsp ground cinnamon ½ tsp ground nutmeg ¾ cup (144 g) sugar"
43,"1 (15-oz [420-g]) can fire-roasted tomatoes, drained 1 small habanero chile 1 tbsp (8 g) garlic powder 1 tbsp (8 g) paprika 1 tsp black pepper 1 tsp ground cinnamon 10 oz (300 ml) harissa sauce 1½ tsp (8 g) salt 2 large jarred or fresh roasted red bell peppers 2 medium jalapeño chiles 2 tbsp (16 g) smoked paprika 5 cloves garlic 5 lb (2.3 kg) chicken drumsticks 6 tbsp (90 ml) olive oil crushed red pepper flakes, to taste ground coriander, to taste ground cumin, to taste ½ tbsp (4 g) ground cumin"
44,"1 (28-oz [784-g]) can whole peeled tomatoes 1 large bunch fresh cilantro, roughly chopped, divided 1 large red bell pepper, thinly sliced 1 medium onion, thinly sliced 1 small habanero chile, thinly sliced 1 tbsp (8 g) ground cumin 1½ tbsp (12 g) smoked paprika 3 cloves garlic, minced 3 tbsp (10 g) fresh parsley, roughly chopped, divided 3 tbsp (45 ml) extra-virgin olive oil 6 large eggs bread, for serving salt and black pepper, as needed"
45,"1 (14-oz [392-g]) can diced tomatoes 1 clove garlic, minced 1 cup (240 ml) chicken stock 1 large egg 1 large onion, roughly chopped 1 lb (450 g) ground beef 1 tsp brown sugar 1 tsp ground cinnamon 1 tsp ground coriander 1 tsp ground cumin 1 tsp paprika 1 tsp salt 2 (2- to 4-inch [6- to 10-cm]) cinnamon sticks 2 slices stale white bread, crusts removed and torn into pieces 2 tbsp (19 g) dried currants 2 tbsp (30 ml) olive oil 2 tsp (6 g) minced fresh ginger 1 tsp ground cumin olive oil, as needed salt and black pepper, as needed ½ tsp black pepper ½ tsp ground cardamom"
46,"1 tsp ground cardamom 1 tsp ground cumin 1 tsp salt 2 lb (900 g) lamb rib chops 3 cloves garlic, minced couscous or rice, for serving olive oil, as needed vegetable oil, as needed ¼ tsp black pepper ½ cup fresh cilantro, roughly chopped ½ tsp ground cinnamon ½ tsp ground ginger"
47,"1 cup (161 g) crushed tomatoes 1 large white onion, diced 2 cloves garlic, minced 2 tbsp (30 g) salt 2 tsp (2 g) crushed red pepper flakes 2 tsp (6 g) smoked paprika 3 (16-oz [448-g]) cans chickpeas, drained and rinsed 3 tsp (8 g) cumin seeds 4 tbsp (60 ml) olive oil aish baladi , for serving harissa sauce , for serving water, as needed ½ cup (20 g) fresh cilantro, roughly chopped"
48,"1 cup (240 ml) water 1 large onion, roughly chopped 1 lb (450 g) yukon gold potatoes, peeled and cut into ½-inch (6-mm) thick slices 1 tsp curry powder 1 tsp ground coriander 2 large roma tomatoes, roughly chopped 2 tbsp (16 g) chili powder 2 tbsp (30 ml) olive oil 2½ lb (1 kg) chicken (any cut), cut into 1-inch (3-cm) pieces 3 cloves garlic, minced 3 medium carrots, diced 3 tbsp (9 g) roughly chopped fresh parsley ¼ cup (38 g) frozen peas"
49,"1 clove garlic, minced 1 cup (240 ml) water 1 small onion, finely chopped 1 tbsp (3 g) dried oregano 1 tbsp (8 g) ground cumin 1 tbsp (8 g) ground turmeric 1 tsp black pepper 1 tsp ground cumin 1 tsp salt 1½ cups (317 g) basmati rice 1½ cups (360 ml) chicken stock 2 tbsp (16 g) ground turmeric 2 tbsp (30 ml) fresh lemon juice 2 tbsp (30 ml) olive oil, divided 4 cloves garlic, minced 5 skin-on, bone-in chicken thighs grilled lemon slices and fresh parsley, for garnishing ½ tbsp (4 g) ground coriander"
50,"1 (16-oz [448-g]) can chickpeas, drained and rinsed 1 cup (240 ml) chicken or vegetable stock 1 large yellow bell pepper, finely chopped 1 large zucchini, finely chopped 1 medium orange bell pepper, finely chopped 1 medium red onion, finely chopped 1 pint (161 g) cherry tomatoes, cut in half 1 tsp ground coriander 1 tsp ground cumin 1 tsp paprika 1½ cups (270 g) dry couscous 2 cups (300 g) frozen peas 2 tbsp (30 ml) olive oil 2 tbsp (6 g) fresh cilantro, minced 2 tsp (2 g) fresh parsley, minced 3 cloves garlic, minced salt and black pepper, to taste zest and juice of 2 lemons ½ cup (50 g) dried cranberries ½ tsp ground cinnamon ½ tsp ground turmeric"
51,"1 tsp garlic powder 1 tsp ground cumin 1 tsp ground turmeric 1 tsp onion powder 2 large eggs, beaten 2 lb (900 g) yukon gold potatoes, peeled and cut into large chunks 3 tbsp (9 g) fresh parsley, finely chopped all-purpose flour, as needed salt and black pepper, as needed vegetable oil, as needed ¼ cup (30 g) panko breadcrumbs"
52,"1 tsp crushed red pepper flakes 1 tsp cumin seeds 1 tsp ground cinnamon 1 tsp paprika 1½ tbsp (12 g) ras el hanout 1½ tsp (4 g) coriander seeds 2 lb (900 g) yukon gold potatoes, peeled and cut into 1-inch (3-cm) cubes 2 tbsp (30 ml) sherry vinegar 3 tbsp (45 ml) olive oil salt, as needed zest and juice of 1 lemon ½ cup (20 g) fresh mint, roughly chopped ½ cup (20 g) fresh parsley, roughly chopped ½ tsp ground cardamom ½ tsp ground ginger ½ tsp ground turmeric ¾ cup (184 g) greek yogurt"
53,1 tbsp (15 ml) olive oil 1 tsp salt 2 cups (250 g) all-purpose flour ¾ cup (180 ml) milk
54,"1 tsp crushed red pepper flakes 1 tsp smoked paprika 2 cloves garlic, minced 2 medium eggplants 2 tsp (10 g) salt 2 tsp (6 g) ground coriander 2 tsp (6 g) ground cumin rice or couscous, for serving ¼ cup (60 ml) olive oil ¾ tsp ground cinnamon"
55,"1 cup (170 g) african bird’s eye chiles or 8 red thai chiles and 2 small habanero chiles 1 large red onion, char-grilled 1 tbsp (8 g) smoked paprika 1 to 2 cups (240 to 480 ml) peri peri sauce 1½ tsp (2 g) dried oregano 2 bay leaves 2 large red bell peppers, chargrilled 2 tsp (10 g) salt 2 tsp (6 g) black pepper 2 tsp (6 g) garlic powder 2½ to 3 lb (1.1 to 1.4 kg) bone-in or boneless chicken (any cut) 4 cloves garlic salt and black pepper, to taste zest of 2 lemons, divided ½ cup (120 ml) apple cider vinegar, divided ½ cup (120 ml) extra-virgin olive oil ¾ cup (180 ml) fresh lemon juice, divided"
56,1 tsp salt 1 tsp smoked paprika 1½ cups (360 ml) vegetable oil 2 tbsp (18 g) crushed garlic 4 lb (1.8 kg) large prawns or shrimp 4 tbsp (60 ml) fresh lemon juice 8 african bird’s eye chiles or 8 small habanero chiles
57,1 tbsp (9 g) brown sugar 1½ tsp (5 g) ground turmeric 2 cups (422 g) jasmine rice 3 tbsp (42 g) unsalted butter 4 cups (960 ml) chicken stock ½ cup (76 g) raisins ½ tsp hot curry powder
58,"1 crusty hoagie roll, split in half and lightly toasted 1 tsp olive oil 4 slices bologna freshly cooked french fries, as needed ketchup, to taste peri peri sauce , to taste ½ cup (40 g) shredded lettuce"
59,"1 (15-oz [420-g]) can chickpeas, drained and rinsed 1 (2- to 4-inch [6- to 10-cm]) cinnamon stick 1 lb (450 g) boneless, skinless chicken breast, cut into bite-size pieces 1 medium onion, diced 1 tsp minced fresh ginger 1 tsp paprika 1½ cups (360 ml) chicken stock 2 cardamom pods 2 medium tomatoes, diced 2 medium yukon gold potatoes, peeled and cut into ½- to 1-inch (13-mm to 3-cm]) cubes 2 tsp (6 g) minced garlic 3 tbsp (24 g) curry powder 4 to 6 bread bowls, for serving salt, as needed ½ cup (120 ml) canola oil"
60,"1 cup (30 g) tightly packed spinach, roughly chopped 1 lb (450 g) halibut, cut into 2-inch (6-cm) pieces 1 tbsp (15 ml) vegetable oil 1 tsp black pepper 1 tsp salt 1½ cups (360 ml) vegetable stock 2 bay leaves 2 medium jalapeño chiles or serrano chiles, diced 2 medium white onions, diced 2 tbsp (30 ml) fresh lemon juice 3 cloves garlic, minced 4 medium tomatoes, diced ¼ cup (60 ml) palm oil ¾ cup (75 g) okra, trimmed and cut into ¼-inch (6-mm) rounds"
61,"1 cup (99 g) okra, whole 1 tsp cayenne pepper 1½ cups (270 g) peanut butter 2 cups (60 g) tightly packed spinach 2 medium carrots, roughly chopped 2 medium onions, roughly chopped 2 medium serrano chiles, diced 2 tbsp (20 g) tomato paste 2 tbsp (30 ml) olive oil 3 tbsp (45 ml) peri peri sauce 4 cloves garlic, minced 4 cups (960 ml) vegetable stock, divided salt, to taste"
62,"1 (¼-oz [7-g]) packet active dry yeast 1 cup (150 g) frozen peas and carrots, thawed 1 large onion, diced 1 lb (450 g) ground beef 1 tbsp (8 g) curry powder 1 tsp ground ginger 1 tsp paprika 1 tsp salt 2 cloves garlic, minced 2 cups (450 g) diced yukon gold potatoes 2 cups (480 ml) lukewarm water 2 medium tomatoes, finely chopped 2 tbsp (30 ml) vegetable oil 3 tbsp (36 g) sugar 4 cups (360 g) cake flour salt, as needed vegetable oil, as needed"
63,"1 lb (450 g) ground beef 1 tbsp (20 g) apricot jam 1 tbsp (8 g) curry powder 1 tsp dried oregano 1 tsp ground cumin 1 tsp ground turmeric 1 tsp tomato paste 1½ cups (360 ml) milk, divided 2 bay leaves 2 cloves garlic, minced 2 large eggs 2 large onions, roughly chopped 2 tbsp (30 ml) olive oil 3 slices white bread salt and black pepper, as needed zest and juice of 1 lemon ¼ cup (80 g) mango chutney"
64,"1 (12-oz [336-g]) jar mango chutney 1 to 2 tbsp (15 to 30 ml) vegetable oil 3 medium onions, thinly sliced 4 large tomatoes, thinly sliced 8 slices gruyère cheese 8 slices white bread butter, as needed salt and black pepper, to taste ½ tsp minced garlic"
65,"1 cup (240 ml) vegetable oil, plus more as needed 1 lb (450 g) ground beef 2 cloves garlic, minced 2 cups (250 g) all-purpose flour 3 small serrano chiles, diced 6 large eggs black pepper, as needed ½ cup (120 ml) water ½ medium red onion, finely chopped ½ tsp finely chopped fresh ginger ½ tsp salt, plus more as needed"
66,"1 cup (125 g) all-purpose flour 1 large egg 1 lb (450 g) sweet potatoes, peeled boiling water, as needed pinch of salt vegetable oil, as needed ¼ cup (58 g) butter, melted"
67,1 cup (125 g) all-purpose flour 1 cup (240 ml) evaporated milk 1 tbsp (14 g) room-temperature unsalted butter 1 tsp baking soda 1 tsp distilled white vinegar 1½ tsp (8 ml) vanilla extract 2 large eggs 4 tbsp (80 g) apricot jam 8 tbsp (112 g) butter zest from 1 orange ¼ cup (36 g) brown sugar ½ tsp salt ¾ cup (144 g) granulated sugar ¾ cup (180 ml) milk
68,nan
69,nan
70,nan
71,nan
72,nan
73,nan
74,nan
75,nan
76,nan
77,nan
78,nan
79,nan
80,nan
81,nan
82,nan
83,nan
84,nan
85,nan
86,nan
87,nan
88,nan
89,nan
90,nan
91,nan
92,nan
93,nan
94,nan
95,nan
96,nan
97,nan
98,nan
99,nan
100,nan
101,nan
102,nan
103,nan
104,nan
105,nan
106,nan
107,nan
108,nan
109,nan
110,nan
111,nan
112,nan
113,nan
114,nan
115,nan
116,nan
117,nan
118,nan
119,nan
120,nan
121,nan
122,nan
123,nan
124,nan
125,nan
126,nan
127,"1 tbsp harissa spice mix 1 tbsp olive oil 2 large red or orange peppers , de-seeded and cut into bite-sized chunks 2 red onions , cut into bite-sized chunks 2 sweet potatoes , scrubbed and cut into bite-sized chunks 200g/7oz cherry tomatoes sea salt and freshly ground black pepper"
128,"1 onion , sliced 1 red onion , grated 1 vegetable stock cube, crumbled 2 red birdâs-eye chillies , halved 2 sprigs fresh thyme , leaves only 2 tbsp olive oil 2cm/â¾in piece fresh root ginger , peeled and grated 3 red chillies , chopped 4 pointed red peppers , grated 5 garlic cloves, grated 6 cherry tomatoes , chopped"
129,"1 large onion , chopped 1 scotch bonnet chilli , chopped 1 tsp dried chilli flakes 2 beef stock cubes 2 sprigs fresh thyme 2 tbsp tomato purã©e 2 x 400g tins chopped tomatoes 3 ripe plantain , peeled and sliced 325ml/11â½fl oz vegetable oil 350g/12oz dried black-eyed beans 4 garlic cloves, finely chopped 4cm/2in piece fresh root ginger , grated 900g/2lb sirloin steak, cut into 1cm/â½ in cubes salt and freshly ground black pepper"
130,"1 bay leaf 1 tbsp cider vinegar 1 tbsp olive oil 1kg/2lb 4oz lamb mince 2 garlic cloves , crushed 2 onions , finely chopped 2 tbsp madras curry paste 2 tbsp mango chutney 2 tbsp worcestershire sauce 250ml/9fl oz lamb stock 4 large free-range eggs , beaten 400ml/14fl oz full-fat milk 50g/1â¾oz dried apricots , chopped 50g/1â¾oz fresh white breadcrumbs 50g/1â¾oz raisins butter , for greasing"
