recipe_ingredient_name,matched_fdc_id,matched_food_name,match_status,notes
boiling water as,NULL,NULL,unmatched,NULL
bologna,NULL,NULL,unmatched,NULL
bondwe,NULL,NULL,unmatched,NULL
bondwe leave,NULL,NULL,unmatched,NULL
bone-in boneles chicken,NULL,NULL,unmatched,NULL
bone-in chicken breast bite-size,NULL,NULL,unmatched,NULL
bone-in chicken thigh drumstick,NULL,NULL,unmatched,NULL
boneles pork loin roast,NULL,NULL,unmatched,NULL
boneles skinles chicken breast,NULL,NULL,unmatched,NULL
boneles skinles chicken breast bite-size,NULL,NULL,unmatched,NULL
boneles skinles chicken thigh breast,NULL,NULL,unmatched,NULL
bread,NULL,NULL,unmatched,NULL
bread bowl,NULL,NULL,unmatched,NULL
breadcrumb,NULL,NULL,unmatched,NULL
brown flour,NULL,NULL,unmatched,NULL
brown lentil,NULL,NULL,unmatched,NULL
brown onion,NULL,NULL,unmatched,NULL
brown spirit vinegar,NULL,NULL,unmatched,NULL
brown sugar,NULL,NULL,unmatched,NULL
bunch cilantro (fresh),NULL,NULL,unmatched,NULL
bunch cilantro garnish (fresh),NULL,NULL,unmatched,NULL
bunch coriander (fresh),NULL,NULL,unmatched,NULL
butter,NULL,NULL,unmatched,NULL
butter as,NULL,NULL,unmatched,NULL
butter extra greasing,NULL,NULL,unmatched,NULL
butter greasing,NULL,NULL,unmatched,NULL
butter margarine,NULL,NULL,unmatched,NULL
buttermilk plain them,NULL,NULL,unmatched,NULL
butternut,NULL,NULL,unmatched,NULL
butternut squash,NULL,NULL,unmatched,NULL
cabbage,NULL,NULL,unmatched,NULL
cake flour,NULL,NULL,unmatched,NULL
canola oil,NULL,NULL,unmatched,NULL
canola oil as,NULL,NULL,unmatched,NULL
canola oil end skin plantain half lengthwise,NULL,NULL,unmatched,NULL
canola oil oil,NULL,NULL,unmatched,NULL
canola oil sprinkle over onion (bouillon),NULL,NULL,unmatched,NULL
canola oil turmeric,NULL,NULL,unmatched,NULL
canola oil warm oil dutch oven other heavy,NULL,NULL,unmatched,NULL
cardamom (ground),NULL,NULL,unmatched,NULL
cardamom fat ghee egg yolk will start (ground),NULL,NULL,unmatched,NULL
cardamom pod,NULL,NULL,unmatched,NULL
cardamom seed,NULL,NULL,unmatched,NULL
carrot,NULL,NULL,unmatched,NULL
carrot bite-size,NULL,NULL,unmatched,NULL
carrot julienned,NULL,NULL,unmatched,NULL
carrot shredded,NULL,NULL,unmatched,NULL
cassava flour all-purpose,NULL,NULL,unmatched,NULL
caster sugar,NULL,NULL,unmatched,NULL
castor sugar,NULL,NULL,unmatched,NULL
cayenne pepper,NULL,NULL,unmatched,NULL
cayenne pepper nigerian red pepper,NULL,NULL,unmatched,NULL
celery stick,NULL,NULL,unmatched,NULL
chapati,NULL,NULL,unmatched,NULL
cheddar cheese,NULL,NULL,unmatched,NULL
cherry tomato,NULL,NULL,unmatched,NULL
chicken (bouillon),NULL,NULL,unmatched,NULL
chicken (stock),NULL,NULL,unmatched,NULL
chicken,NULL,NULL,unmatched,NULL
chicken -inch,NULL,NULL,unmatched,NULL
chicken bite-size,NULL,NULL,unmatched,NULL
chicken bone skin separated (whole),NULL,NULL,unmatched,NULL
chicken breast,NULL,NULL,unmatched,NULL
chicken breast -inch,NULL,NULL,unmatched,NULL
chicken breast julienned,NULL,NULL,unmatched,NULL
chicken drumstick,NULL,NULL,unmatched,NULL
chicken gizzard,NULL,NULL,unmatched,NULL
chicken quarter,NULL,NULL,unmatched,NULL
chicken thigh,NULL,NULL,unmatched,NULL
chicken thigh skin-on bone-in,NULL,NULL,unmatched,NULL
chicken vegetable (bouillon),NULL,NULL,unmatched,NULL
chicken vegetable (stock),NULL,NULL,unmatched,NULL
chicken wing,NULL,NULL,unmatched,NULL
chickpea,NULL,NULL,unmatched,NULL
chile pepper (dried),NULL,NULL,unmatched,NULL
chili (fresh),NULL,NULL,unmatched,NULL
chili (powder),NULL,NULL,unmatched,NULL
chilli (dried),NULL,NULL,unmatched,NULL
chilli (flakes),NULL,NULL,unmatched,NULL
chilli chutney plain chutney,NULL,NULL,unmatched,NULL
chily (fresh),NULL,NULL,unmatched,NULL
cider vinegar,NULL,NULL,unmatched,NULL
cilantro (fresh),NULL,NULL,unmatched,NULL
cinnamon (ground),NULL,NULL,unmatched,NULL
cinnamon extra dusting (ground),NULL,NULL,unmatched,NULL
cinnamon stick,NULL,NULL,unmatched,NULL
cm root ginger (fresh),NULL,NULL,unmatched,NULL
cob sweetcorn,NULL,NULL,unmatched,NULL
coconut milk (canned),NULL,NULL,unmatched,NULL
coconut milk,NULL,NULL,unmatched,NULL
coconut milk tin,NULL,NULL,unmatched,NULL
coconut oil medium-high,NULL,NULL,unmatched,NULL
coconut raw unsweetened coconut (flakes),NULL,NULL,unmatched,NULL
coconut sugar,NULL,NULL,unmatched,NULL
cod fillet thawed (frozen),NULL,NULL,unmatched,NULL
cold margarine tiny,NULL,NULL,unmatched,NULL
cold water,NULL,NULL,unmatched,NULL
cold water once bubble,NULL,NULL,unmatched,NULL
cooked french fry as,NULL,NULL,unmatched,NULL
cooked rice,NULL,NULL,unmatched,NULL
cooking oil,NULL,NULL,unmatched,NULL
cooking spray,NULL,NULL,unmatched,NULL
coriander (fresh),NULL,NULL,unmatched,NULL
coriander (ground),NULL,NULL,unmatched,NULL
coriander leave some stem attached (fresh),NULL,NULL,unmatched,NULL
coriander seed,NULL,NULL,unmatched,NULL
corn flour,NULL,NULL,unmatched,NULL
corn kernel (fresh),NULL,NULL,unmatched,NULL
corned beef (canned),NULL,NULL,unmatched,NULL
corned beef,NULL,NULL,unmatched,NULL
cornmeal,NULL,NULL,unmatched,NULL
couscous (dried),NULL,NULL,unmatched,NULL
couscous rice,NULL,NULL,unmatched,NULL
cranberry (dried),NULL,NULL,unmatched,NULL
crayfish (ground),NULL,NULL,unmatched,NULL
crayfish (powder),NULL,NULL,unmatched,NULL
cream mushroom soup bisto gravy thickener,NULL,NULL,unmatched,NULL
cream tomato soup (powder),NULL,NULL,unmatched,NULL
crusty hoagie roll split half lightly (toasted),NULL,NULL,unmatched,NULL
cucumber,NULL,NULL,unmatched,NULL
cumin (ground),NULL,NULL,unmatched,NULL
cumin (powder),NULL,NULL,unmatched,NULL
cumin seed,NULL,NULL,unmatched,NULL
cumin seed pestle mortar,NULL,NULL,unmatched,NULL
currant (dried),NULL,NULL,unmatched,NULL
curry (powder),NULL,NULL,unmatched,NULL
custard (powder),NULL,NULL,unmatched,NULL
desiccated coconut serve,NULL,NULL,unmatched,NULL
dijon mustard,NULL,NULL,unmatched,NULL
distilled white vinegar,NULL,NULL,unmatched,NULL
drumstick,NULL,NULL,unmatched,NULL
ear corn,NULL,NULL,unmatched,NULL
egg,NULL,NULL,unmatched,NULL
egg lightly,NULL,NULL,unmatched,NULL
eggplant,NULL,NULL,unmatched,NULL
egusi melon seed (ground),NULL,NULL,unmatched,NULL
egusi seed (toasted),NULL,NULL,unmatched,NULL
egusi seed pumpkin seed,NULL,NULL,unmatched,NULL
elbow macaroni,NULL,NULL,unmatched,NULL
enough water go just below potato,NULL,NULL,unmatched,NULL
evaporated milk,NULL,NULL,unmatched,NULL
ewedu leave (fresh),NULL,NULL,unmatched,NULL
extra hot chilli (powder),NULL,NULL,unmatched,NULL
extra-virgin olive oil,NULL,NULL,unmatched,NULL
extra-virgin olive oil ae,NULL,NULL,unmatched,NULL
extra-virgin olive oil garnish,NULL,NULL,unmatched,NULL
extremely ripe mango,NULL,NULL,unmatched,NULL
fennel seed,NULL,NULL,unmatched,NULL
fenugreek seed,NULL,NULL,unmatched,NULL
filo pastry sheet,NULL,NULL,unmatched,NULL
fire-roasted tomato,NULL,NULL,unmatched,NULL
fish fillet your choice,NULL,NULL,unmatched,NULL
fl brandy,NULL,NULL,unmatched,NULL
fl chicken (stock),NULL,NULL,unmatched,NULL
fl full-fat milk,NULL,NULL,unmatched,NULL
fl full-fat milk warmed,NULL,NULL,unmatched,NULL
fl lamb (stock),NULL,NULL,unmatched,NULL
fl milk,NULL,NULL,unmatched,NULL
fl tomato ketchup,NULL,NULL,unmatched,NULL
fl vegetable oil,NULL,NULL,unmatched,NULL
flaky sea salt,NULL,NULL,unmatched,NULL
flavored salt,NULL,NULL,unmatched,NULL
flour,NULL,NULL,unmatched,NULL
fonio,NULL,NULL,unmatched,NULL
free-range egg,NULL,NULL,unmatched,NULL
free-range egg free-range egg yolk,NULL,NULL,unmatched,NULL
free-range egg white,NULL,NULL,unmatched,NULL
free-range egg yolk,NULL,NULL,unmatched,NULL
fufu,NULL,NULL,unmatched,NULL
full-fat plain yoghurt,NULL,NULL,unmatched,NULL
full-fat unsweetened,NULL,NULL,unmatched,NULL
full-fat unsweetened other heavy pot,NULL,NULL,unmatched,NULL
full-fat unsweetened reserved bone,NULL,NULL,unmatched,NULL
garam masala,NULL,NULL,unmatched,NULL
garlic (fresh),NULL,NULL,unmatched,NULL
garlic (granulated),NULL,NULL,unmatched,NULL
garlic (powder),NULL,NULL,unmatched,NULL
garlic (whole),NULL,NULL,unmatched,NULL
garlic half (fresh),NULL,NULL,unmatched,NULL
garri,NULL,NULL,unmatched,NULL
generou red chilli extra if desired (flakes),NULL,NULL,unmatched,NULL
ghee,NULL,NULL,unmatched,NULL
ghee unsalted,NULL,NULL,unmatched,NULL
ginger (fresh),NULL,NULL,unmatched,NULL
ginger (ground),NULL,NULL,unmatched,NULL
ginger (powder),NULL,NULL,unmatched,NULL
ginger cumin (fresh),NULL,NULL,unmatched,NULL
grain hub mhunga,NULL,NULL,unmatched,NULL
grain hub mupunga,NULL,NULL,unmatched,NULL
grain hub sorghum,NULL,NULL,unmatched,NULL
grain hub zviyo,NULL,NULL,unmatched,NULL
greek yogurt,NULL,NULL,unmatched,NULL
green banana,NULL,NULL,unmatched,NULL
green bell pepper,NULL,NULL,unmatched,NULL
green chilli,NULL,NULL,unmatched,NULL
green onion,NULL,NULL,unmatched,NULL
green pepper,NULL,NULL,unmatched,NULL
green ripe plantain,NULL,NULL,unmatched,NULL
green yellow pepper,NULL,NULL,unmatched,NULL
grilled lemon parsley garnishing (fresh),NULL,NULL,unmatched,NULL
groundnut oil vegetable oil,NULL,NULL,unmatched,NULL
gruy re cheese,NULL,NULL,unmatched,NULL
guinea pepper,NULL,NULL,unmatched,NULL
habanero chile,NULL,NULL,unmatched,NULL
habanero chile seeded,NULL,NULL,unmatched,NULL
habanero chile stem removed,NULL,NULL,unmatched,NULL
habanero pepper,NULL,NULL,unmatched,NULL
halibut -inch,NULL,NULL,unmatched,NULL
halibut fillet skin removed,NULL,NULL,unmatched,NULL
handful spring onion green tip,NULL,NULL,unmatched,NULL
hard-boiled egg,NULL,NULL,unmatched,NULL
harissa sauce,NULL,NULL,unmatched,NULL
harissa spice mix,NULL,NULL,unmatched,NULL
head green cabbage shredded,NULL,NULL,unmatched,NULL
head lettuce shredded,NULL,NULL,unmatched,NULL
heaped ancho habanero chilli (flakes),NULL,NULL,unmatched,NULL
heaped butter margarine,NULL,NULL,unmatched,NULL
heaped flour,NULL,NULL,unmatched,NULL
heaped peanut butter,NULL,NULL,unmatched,NULL
heinz brand baked bean,NULL,NULL,unmatched,NULL
heinz salad cream,NULL,NULL,unmatched,NULL
homemade shop bought puff pastry thawed egg,NULL,NULL,unmatched,NULL
hot curry (powder),NULL,NULL,unmatched,NULL
hot paprika,NULL,NULL,unmatched,NULL
hot water,NULL,NULL,unmatched,NULL
hot water chicken (stock),NULL,NULL,unmatched,NULL
ice cube as,NULL,NULL,unmatched,NULL
ice-cold water,NULL,NULL,unmatched,NULL
icing sugar dusting,NULL,NULL,unmatched,NULL
impwa,NULL,NULL,unmatched,NULL
instant yeast,NULL,NULL,unmatched,NULL
jalape,NULL,NULL,unmatched,NULL
jalape chile,NULL,NULL,unmatched,NULL
jalape chile seeded,NULL,NULL,unmatched,NULL
jalape chile serrano chile,NULL,NULL,unmatched,NULL
jalape seeded,NULL,NULL,unmatched,NULL
jar mango chutney,NULL,NULL,unmatched,NULL
jarred red bell pepper (fresh),NULL,NULL,unmatched,NULL
jasmine rice,NULL,NULL,unmatched,NULL
jollof rice,NULL,NULL,unmatched,NULL
juice lemon,NULL,NULL,unmatched,NULL
juice lime,NULL,NULL,unmatched,NULL
kabulangeti bean (dried),NULL,NULL,unmatched,NULL
kachumbari,NULL,NULL,unmatched,NULL
kalembula,NULL,NULL,unmatched,NULL
kapenta (dried),NULL,NULL,unmatched,NULL
kariba bream gutted scaled,NULL,NULL,unmatched,NULL
ketchup,NULL,NULL,unmatched,NULL
kosher salt,NULL,NULL,unmatched,NULL
kosher salt kitchen,NULL,NULL,unmatched,NULL
lamb meat inch cube,NULL,NULL,unmatched,NULL
lamb mince,NULL,NULL,unmatched,NULL
lamb rib chop,NULL,NULL,unmatched,NULL
lamb shoulder coarsely,NULL,NULL,unmatched,NULL
lemon,NULL,NULL,unmatched,NULL
lemon essence,NULL,NULL,unmatched,NULL
lemon juice (fresh),NULL,NULL,unmatched,NULL
lemon juice,NULL,NULL,unmatched,NULL
lemon juice only,NULL,NULL,unmatched,NULL
lemon rind,NULL,NULL,unmatched,NULL
lemon wedge garnish,NULL,NULL,unmatched,NULL
lemon zest only,NULL,NULL,unmatched,NULL
light brown sugar,NULL,NULL,unmatched,NULL
lime juice (fresh),NULL,NULL,unmatched,NULL
litre boiling water,NULL,NULL,unmatched,NULL
long grain rice,NULL,NULL,unmatched,NULL
long grain white rice,NULL,NULL,unmatched,NULL
loosely packed spinach,NULL,NULL,unmatched,NULL
low-sodium chicken (stock),NULL,NULL,unmatched,NULL
lukewarm water,NULL,NULL,unmatched,NULL
lumanda leave,NULL,NULL,unmatched,NULL
mackerel,NULL,NULL,unmatched,NULL
madra curry (paste),NULL,NULL,unmatched,NULL
malt vinegar,NULL,NULL,unmatched,NULL
mango,NULL,NULL,unmatched,NULL
mango chutney,NULL,NULL,unmatched,NULL
mango chutney other chutney,NULL,NULL,unmatched,NULL
margarine,NULL,NULL,unmatched,NULL
mature cheddar,NULL,NULL,unmatched,NULL
mayonnaise,NULL,NULL,unmatched,NULL
mealie meal white cornmeal,NULL,NULL,unmatched,NULL
meat,NULL,NULL,unmatched,NULL
medium-large potato,NULL,NULL,unmatched,NULL
mild curry (powder),NULL,NULL,unmatched,NULL
mild hot red chile pepper,NULL,NULL,unmatched,NULL
milk (fresh),NULL,NULL,unmatched,NULL
milk (powder),NULL,NULL,unmatched,NULL
milk,NULL,NULL,unmatched,NULL
milk (whole),NULL,NULL,unmatched,NULL
milk alternatively (whole),NULL,NULL,unmatched,NULL
milk maa,NULL,NULL,unmatched,NULL
mint (fresh),NULL,NULL,unmatched,NULL
mint leave (fresh),NULL,NULL,unmatched,NULL
mixed offal,NULL,NULL,unmatched,NULL
moscato,NULL,NULL,unmatched,NULL
mr sauce bbq sauce,NULL,NULL,unmatched,NULL
mr sauce beef burger sauce,NULL,NULL,unmatched,NULL
mr sauce ketchup,NULL,NULL,unmatched,NULL
mr sauce lemon herb marinade,NULL,NULL,unmatched,NULL
mr sauce lemon juice,NULL,NULL,unmatched,NULL
mr sauce miri piri sauce,NULL,NULL,unmatched,NULL
mr sauce mustard sauce,NULL,NULL,unmatched,NULL
mr sauce smokey bbq marinade,NULL,NULL,unmatched,NULL
mr sauce soy sauce,NULL,NULL,unmatched,NULL
mr sauce sticky bbq basting,NULL,NULL,unmatched,NULL
mr sauce sweet chilli sauce,NULL,NULL,unmatched,NULL
mr sauce tomato sauce,NULL,NULL,unmatched,NULL
mr sauce worcester sauce,NULL,NULL,unmatched,NULL
mufushwa wemunyemba,NULL,NULL,unmatched,NULL
new mexico chile (ground),NULL,NULL,unmatched,NULL
nigerian red pepper,NULL,NULL,unmatched,NULL
nigerian red pepper cayenne pepper,NULL,NULL,unmatched,NULL
nutmeg (ground),NULL,NULL,unmatched,NULL
oil,NULL,NULL,unmatched,NULL
oil frying,NULL,NULL,unmatched,NULL
okra (fresh),NULL,NULL,unmatched,NULL
okra,NULL,NULL,unmatched,NULL
okra (whole),NULL,NULL,unmatched,NULL
okra half,NULL,NULL,unmatched,NULL
okra trimmed -inch round,NULL,NULL,unmatched,NULL
olive oil,NULL,NULL,unmatched,NULL
olive oil as,NULL,NULL,unmatched,NULL
onion (fresh),NULL,NULL,unmatched,NULL
onion (powder),NULL,NULL,unmatched,NULL
onion salt,NULL,NULL,unmatched,NULL
orange bell pepper,NULL,NULL,unmatched,NULL
oregano (dried),NULL,NULL,unmatched,NULL
organic jaggery,NULL,NULL,unmatched,NULL
overly ripe plantain,NULL,NULL,unmatched,NULL
overripe banana,NULL,NULL,unmatched,NULL
ox kidney,NULL,NULL,unmatched,NULL
packet active yeast (dried),NULL,NULL,unmatched,NULL
palm oil,NULL,NULL,unmatched,NULL
panko breadcrumb,NULL,NULL,unmatched,NULL
paprika (smoked),NULL,NULL,unmatched,NULL
paprika,NULL,NULL,unmatched,NULL
paprika curry (smoked),NULL,NULL,unmatched,NULL
parsley (dried),NULL,NULL,unmatched,NULL
parsley (fresh),NULL,NULL,unmatched,NULL
parsley garnish (fresh),NULL,NULL,unmatched,NULL
parsley garnish,NULL,NULL,unmatched,NULL
pea (frozen),NULL,NULL,unmatched,NULL
pea carrot thawed (frozen),NULL,NULL,unmatched,NULL
pea thawed (frozen),NULL,NULL,unmatched,NULL
peanut (ground),NULL,NULL,unmatched,NULL
peanut butter,NULL,NULL,unmatched,NULL
peanut oil,NULL,NULL,unmatched,NULL
penne pasta,NULL,NULL,unmatched,NULL
pepper (fresh),NULL,NULL,unmatched,NULL
pepper soup spice mix,NULL,NULL,unmatched,NULL
peri peri sauce,NULL,NULL,unmatched,NULL
pili pili,NULL,NULL,unmatched,NULL
pili pili store-bought hot sauce,NULL,NULL,unmatched,NULL
pimento-stuffed olive,NULL,NULL,unmatched,NULL
pint cherry tomato half,NULL,NULL,unmatched,NULL
pint lamb (stock),NULL,NULL,unmatched,NULL
pint sunflower oil deep-frying,NULL,NULL,unmatched,NULL
piri piri sauce refrigerator let marinate,NULL,NULL,unmatched,NULL
plain flour,NULL,NULL,unmatched,NULL
plantain,NULL,NULL,unmatched,NULL
plum tomato,NULL,NULL,unmatched,NULL
plum tomato (whole),NULL,NULL,unmatched,NULL
plum tomato seed removed strip,NULL,NULL,unmatched,NULL
pointed red pepper,NULL,NULL,unmatched,NULL
pork,NULL,NULL,unmatched,NULL
pork chop,NULL,NULL,unmatched,NULL
pork chop trimmed,NULL,NULL,unmatched,NULL
pork fillet,NULL,NULL,unmatched,NULL
pork sausage (ground),NULL,NULL,unmatched,NULL
pork shoulder belly coarsely,NULL,NULL,unmatched,NULL
potato,NULL,NULL,unmatched,NULL
pound beef (ground),NULL,NULL,unmatched,NULL
pound bone-in,NULL,NULL,unmatched,NULL
pound boneles,NULL,NULL,unmatched,NULL
pound boneles salt cod bowl,NULL,NULL,unmatched,NULL
pound each,NULL,NULL,unmatched,NULL
pound kale collard,NULL,NULL,unmatched,NULL
pound lamb stew meat,NULL,NULL,unmatched,NULL
pound oxtail,NULL,NULL,unmatched,NULL
pound red potato,NULL,NULL,unmatched,NULL
pound shredded,NULL,NULL,unmatched,NULL
pound skirt steak flank steak,NULL,NULL,unmatched,NULL
pounded groundnut,NULL,NULL,unmatched,NULL
prawn shrimp,NULL,NULL,unmatched,NULL
puff pastry sheet thawed (frozen),NULL,NULL,unmatched,NULL
puff pastry thawed (frozen),NULL,NULL,unmatched,NULL
punnet cauliflower,NULL,NULL,unmatched,NULL
punnet green bean,NULL,NULL,unmatched,NULL
punnet mushroom,NULL,NULL,unmatched,NULL
punnet oyster mushroom,NULL,NULL,unmatched,NULL
punnet oyster mushroom julienned,NULL,NULL,unmatched,NULL
punnet pea (fresh),NULL,NULL,unmatched,NULL
punnet pea,NULL,NULL,unmatched,NULL
pure vanilla extract,NULL,NULL,unmatched,NULL
purple onion,NULL,NULL,unmatched,NULL
rack pork rib,NULL,NULL,unmatched,NULL
raisin,NULL,NULL,unmatched,NULL
ras el hanout,NULL,NULL,unmatched,NULL
raw organic tigernut,NULL,NULL,unmatched,NULL
raw unsweetened coconut (flakes),NULL,NULL,unmatched,NULL
real premium spice black pepper (ground),NULL,NULL,unmatched,NULL
real premium spice cayenne pepper,NULL,NULL,unmatched,NULL
real premium spice chisa nyama,NULL,NULL,unmatched,NULL
real premium spice cinnamon (ground),NULL,NULL,unmatched,NULL
real premium spice coriander,NULL,NULL,unmatched,NULL
real premium spice curry (powder),NULL,NULL,unmatched,NULL
real premium spice lemon garlic herb seasoning,NULL,NULL,unmatched,NULL
real premium spice mild curry (powder),NULL,NULL,unmatched,NULL
real premium spice paprika,NULL,NULL,unmatched,NULL
real premium spice potato mate,NULL,NULL,unmatched,NULL
real premium spice sour cream chive,NULL,NULL,unmatched,NULL
real premium spice turmeric,NULL,NULL,unmatched,NULL
red bell pepper,NULL,NULL,unmatched,NULL
red bell pepper chargrilled,NULL,NULL,unmatched,NULL
red bell pepper thin strip,NULL,NULL,unmatched,NULL
red bird s-eye chilly,NULL,NULL,unmatched,NULL
red chili (powder),NULL,NULL,unmatched,NULL
red chilly,NULL,NULL,unmatched,NULL
red chily,NULL,NULL,unmatched,NULL
red lentil washed,NULL,NULL,unmatched,NULL
red onion,NULL,NULL,unmatched,NULL
red onion bite-sized chunk,NULL,NULL,unmatched,NULL
red onion char-grilled,NULL,NULL,unmatched,NULL
red orange pepper de-seeded bite-sized chunk,NULL,NULL,unmatched,NULL
red pepper (flakes),NULL,NULL,unmatched,NULL
red pepper,NULL,NULL,unmatched,NULL
red pepper deseeded,NULL,NULL,unmatched,NULL
red wine vinegar,NULL,NULL,unmatched,NULL
red yellow bell pepper,NULL,NULL,unmatched,NULL
regular salt seasoned salt,NULL,NULL,unmatched,NULL
rice (parboiled),NULL,NULL,unmatched,NULL
rice,NULL,NULL,unmatched,NULL
rice couscous,NULL,NULL,unmatched,NULL
rice injera,NULL,NULL,unmatched,NULL
ripe plantain,NULL,NULL,unmatched,NULL
ripe plantain -inch thick round,NULL,NULL,unmatched,NULL
ripe tomato,NULL,NULL,unmatched,NULL
roma tomato,NULL,NULL,unmatched,NULL
room temperature water,NULL,NULL,unmatched,NULL
room-temperature unsalted butter,NULL,NULL,unmatched,NULL
rosemary (dried),NULL,NULL,unmatched,NULL
runny honey,NULL,NULL,unmatched,NULL
russet potato,NULL,NULL,unmatched,NULL
russet potato bite-size,NULL,NULL,unmatched,NULL
sadza remhunga,NULL,NULL,unmatched,NULL
salt,NULL,NULL,unmatched,NULL
salt as,NULL,NULL,unmatched,NULL
salt black pepper (ground),NULL,NULL,unmatched,NULL
salt black pepper,NULL,NULL,unmatched,NULL
salt black pepper as,NULL,NULL,unmatched,NULL
salt pepper (ground),NULL,NULL,unmatched,NULL
salt pepper,NULL,NULL,unmatched,NULL
salt white pepper black pepper (ground),NULL,NULL,unmatched,NULL
samp,NULL,NULL,unmatched,NULL
sardine olive oil (smoked),NULL,NULL,unmatched,NULL
scallion,NULL,NULL,unmatched,NULL
scotch bonnet chile habanero chile,NULL,NULL,unmatched,NULL
scotch bonnet chilli,NULL,NULL,unmatched,NULL
scotch bonnet chilli de-seeded,NULL,NULL,unmatched,NULL
scotch bonnet chilly left (whole),NULL,NULL,unmatched,NULL
sea salt,NULL,NULL,unmatched,NULL
sea salt black pepper (ground),NULL,NULL,unmatched,NULL
self raising flour,NULL,NULL,unmatched,NULL
self-raising flour,NULL,NULL,unmatched,NULL
semolina,NULL,NULL,unmatched,NULL
semolina flour,NULL,NULL,unmatched,NULL
serrano chile,NULL,NULL,unmatched,NULL
sharp white bread,NULL,NULL,unmatched,NULL
sheet ready-rolled puff pastry,NULL,NULL,unmatched,NULL
shelled unsalted pistachio nut,NULL,NULL,unmatched,NULL
